ability	hide_description	order	collection
#ability_to_ui_collection_junctions_tables;0;db/ability_to_ui_collection_junctions_tables/data__			
wh2_dlc09_unit_passive_unstable_mark_ii_sand	true	2	wh_ability_collection_undead
wh2_dlc09_unit_passive_unstable_sand	true	1	wh_ability_collection_undead
wh3_dlc24_unit_passive_construct_instability	true	1	wh_ability_collection_construct
wh3_dlc24_unit_passive_construct_instability_ii	true	2	wh_ability_collection_construct
wh3_dlc24_unit_passive_elemental_instability	true	1	wh_ability_collection_elemental
wh3_dlc24_unit_passive_elemental_instability_ii	true	2	wh_ability_collection_elemental
wh3_dlc24_unit_passive_feral_rage_i	false	0	wh_ability_collection_rampage
wh3_dlc24_unit_passive_feral_rage_ii	true	1	wh_ability_collection_rampage
wh3_dlc24_unit_passive_spawn_kin_kroxigors	true	1	wh_ability_collection_spawn_kin_kroxigor
wh3_dlc24_unit_passive_spawn_kin_skinks	true	1	wh_ability_collection_spawn_kin_skink
wh3_main_unit_passive_daemonic_instability_daemon	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_daemon_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_khorne	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_khorne_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_nurgle	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_nurgle_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_slaanesh	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_slaanesh_ii	true	2	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_tzeentch	true	1	wh3_ability_collection_daemonic
wh3_main_unit_passive_daemonic_instability_tzeentch_ii	true	2	wh3_ability_collection_daemonic
wh_dlc07_unit_passive_the_peasants_duty	true	1	wh_ability_collection_peasant
wh_main_unit_passive_unstable	true	1	wh_ability_collection_undead
wh_main_unit_passive_unstable_mark_ii	true	2	wh_ability_collection_undead
