achievement_key	condition_key
#achievement_subculture_condition_junctions_tables;0;db/achievement_subculture_condition_junctions_tables/data__	
WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL	WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL
WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER	WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER
WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR	WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR
WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE	WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE
WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS	WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS
WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE	WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_BEASTMEN
WH3_ACHIEVEMENT_WINNING_BEASTMEN_2	WH3_ACHIEVEMENT_WINNING_BEASTMEN
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_BRETONNIA
WH3_ACHIEVEMENT_WINNING_BRETONNIA_2	WH3_ACHIEVEMENT_WINNING_BRETONNIA
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_CATHAY
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_CATHAY
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_CHAOS
WH3_ACHIEVEMENT_WINNING_CHAOS_2	WH3_ACHIEVEMENT_WINNING_CHAOS
WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS_1	WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS
