achievement	pooled_resource_threshold_operation_set
#achievement_unlocks_tables;0;db/achievement_unlocks_tables/data__	
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_0	wh3_pro10_operation_set_dae_trial_set_bronze_01
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_1	wh3_pro10_operation_set_dae_trial_set_bronze_02
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_2	wh3_pro10_operation_set_dae_trial_set_bronze_03
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_3	wh3_pro10_operation_set_dae_trial_set_bronze_04
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_BRONZE_4	wh3_pro10_operation_set_dae_trial_set_bronze_05
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_0	wh3_pro10_operation_set_dae_trial_set_gold_01
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_1	wh3_pro10_operation_set_dae_trial_set_gold_02
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_2	wh3_pro10_operation_set_dae_trial_set_gold_03
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_3	wh3_pro10_operation_set_dae_trial_set_gold_04
WH3_PRO10_MOM_ACHIEVEMENT_TRIAL_GOLD_4	wh3_pro10_operation_set_dae_trial_set_gold_05
