agent_subtype	vow
#agent_subtype_to_vows_tables;0;db/agent_subtype_to_vows_tables/data__	
wh2_dlc14_brt_henri_le_massif	grail_vow_agent
wh2_dlc14_brt_henri_le_massif	knights_vow_agent
wh2_dlc14_brt_henri_le_massif	questing_vow_agent
wh2_dlc14_brt_repanse	grail_vow
wh2_dlc14_brt_repanse	knights_vow
wh2_dlc14_brt_repanse	questing_vow
wh_dlc07_brt_alberic	grail_vow
wh_dlc07_brt_alberic	knights_vow
wh_dlc07_brt_alberic	questing_vow
wh_dlc07_brt_fay_enchantress	troth_of_protection
wh_dlc07_brt_fay_enchantress	troth_of_virtue_fay
wh_dlc07_brt_fay_enchantress	troth_of_wisdom
wh_dlc07_brt_prophetess_beasts	troth_of_protection
wh_dlc07_brt_prophetess_beasts	troth_of_virtue
wh_dlc07_brt_prophetess_beasts	troth_of_wisdom
wh_dlc07_brt_prophetess_heavens	troth_of_protection
wh_dlc07_brt_prophetess_heavens	troth_of_virtue
wh_dlc07_brt_prophetess_heavens	troth_of_wisdom
wh_dlc07_brt_prophetess_life	troth_of_protection
wh_dlc07_brt_prophetess_life	troth_of_virtue
wh_dlc07_brt_prophetess_life	troth_of_wisdom
wh_main_brt_lord	grail_vow
wh_main_brt_lord	knights_vow
wh_main_brt_lord	questing_vow
wh_main_brt_louen_leoncouer	grail_vow
wh_main_brt_louen_leoncouer	knights_vow
wh_main_brt_louen_leoncouer	questing_vow
wh_main_brt_paladin	grail_vow_agent
wh_main_brt_paladin	knights_vow_agent
wh_main_brt_paladin	questing_vow_agent
