attribute	agent	default_value
#agent_to_agent_attributes_tables;2;db/agent_to_agent_attributes_tables/data__		
authority	champion	3
authority	dignitary	3
authority	engineer	3
authority	general	3
authority	runesmith	3
authority	spy	3
authority	wizard	3
subterfuge	champion	3
subterfuge	dignitary	3
subterfuge	engineer	3
subterfuge	general	3
subterfuge	runesmith	3
subterfuge	spy	3
subterfuge	wizard	3
zeal	champion	3
zeal	dignitary	3
zeal	engineer	3
zeal	general	3
zeal	runesmith	3
zeal	spy	3
zeal	wizard	3
