armory_item	variant	ui_info	battle_animation	campaign_animation	use_as_default
#armory_item_variants_tables;0;db/armory_item_variants_tables/data__					
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh3_main_dae_cha_daemon_prince_arm_armoured_01	wh3_main_dae_cha_daemon_prince_arm_l_armoured_01			true
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh3_main_dae_cha_daemon_prince_arm_armoured_02	wh3_main_dae_cha_daemon_prince_arm_l_armoured_02			true
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh3_main_dae_cha_daemon_prince_arm_armoured_03	wh3_main_dae_cha_daemon_prince_arm_l_armoured_03			true
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh3_main_dae_cha_daemon_prince_arm_armoured_04	wh3_main_dae_cha_daemon_prince_arm_l_armoured_04			true
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh3_main_dae_cha_daemon_prince_arm_armoured_05	wh3_main_dae_cha_daemon_prince_arm_l_armoured_05			true
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh3_main_dae_cha_daemon_prince_arm_armoured_06	wh3_main_dae_cha_daemon_prince_arm_l_armoured_06			true
wh3_main_dae_cha_daemon_prince_arm_l_base_1	wh3_main_dae_cha_daemon_prince_arm_base_01	wh3_main_dae_cha_daemon_prince_arm_l_base_01			true
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh3_main_dae_cha_daemon_prince_arm_base_02	wh3_main_dae_cha_daemon_prince_arm_l_base_02			true
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh3_main_dae_cha_daemon_prince_arm_base_03	wh3_main_dae_cha_daemon_prince_arm_l_base_03			true
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh3_main_dae_cha_daemon_prince_arm_base_04	wh3_main_dae_cha_daemon_prince_arm_l_base_04			true
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh3_main_dae_cha_daemon_prince_arm_base_05	wh3_main_dae_cha_daemon_prince_arm_l_base_05			true
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh3_main_dae_cha_daemon_prince_arm_base_06	wh3_main_dae_cha_daemon_prince_arm_l_base_06			true
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	wh3_main_dae_cha_daemon_prince_arm_bird_01	wh3_main_dae_cha_daemon_prince_arm_l_bird_01			true
