army_special_ability	unit_special_ability	unique_id	enables_siege_assault
#army_special_abilities_tables;2;db/army_special_abilities_tables/data__			
wh2_dlc09_army_abilities_barrage_of_the_legion	wh2_dlc09_army_abilities_barrage_of_the_legion	1665673474	false
wh2_dlc09_army_abilities_realm_of_souls_ushabti	wh2_dlc09_army_abilities_realm_of_souls_ushabti	29622168	false
wh2_dlc09_army_abilities_rictus_clanstone	wh2_dlc09_army_abilities_rictus_clanstone	1441154358	false
wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_army_abilities_sand_veil	401276912	false
wh2_dlc09_army_abilities_tomb_swarm	wh2_dlc09_army_abilities_tomb_swarm	178775093	false
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	1727003775	false
wh2_dlc11_army_abilities_norse_roar	wh2_dlc11_army_abilities_norse_roar	1721495792	true
wh2_dlc11_army_abilities_rod_of_the_storm	wh2_dlc11_army_abilities_rod_of_the_storm	167696279	false
wh2_dlc11_army_abilities_sartosa_grapeshot	wh2_dlc11_army_abilities_sartosa_grapeshot	624201190	true
wh2_dlc11_army_abilities_shanty_verse_1	wh2_dlc11_army_abilities_shanty_verse_1	1866479082	false
wh2_dlc11_army_abilities_shanty_verse_1_ai	wh2_dlc11_army_abilities_shanty_verse_1_ai	712388538	false
wh2_dlc11_army_abilities_shanty_verse_2	wh2_dlc11_army_abilities_shanty_verse_2	1177509027	false
wh2_dlc11_army_abilities_shanty_verse_2_ai	wh2_dlc11_army_abilities_shanty_verse_2_ai	1133713573	false
wh2_dlc11_army_abilities_shanty_verse_3	wh2_dlc11_army_abilities_shanty_verse_3	246812882	false
wh2_dlc11_army_abilities_shanty_verse_3_ai	wh2_dlc11_army_abilities_shanty_verse_3_ai	2142369433	false
wh2_dlc11_army_abilities_wraith_storm	wh2_dlc11_army_abilities_wraith_storm	1607073629	false
wh2_dlc11_army_abilities_zhufbar_42_pounders	wh2_dlc11_army_abilities_zhufbar_42_pounders	493458635	false
wh2_dlc11_quest_battle_supply	wh2_dlc11_quest_battle_supply	198830335	false
wh2_dlc12_army_abilities_great_invocation_of_sotek	wh2_dlc12_army_abilities_great_invocation_of_sotek	84500184	false
wh2_dlc12_army_abilities_jungle_swarm	wh2_dlc12_army_abilities_jungle_swarm	213725573	false
wh2_dlc12_army_abilities_warpstorm_doomrocket	wh2_dlc12_army_abilities_warpstorm_doomrocket	595334393	true
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded	2102054367	true
wh2_dlc13_army_abilities_amber_bow_cannons	wh2_dlc13_army_abilities_amber_bow_cannons	835953443	false
wh2_dlc13_army_abilities_beasts_of_itzl	wh2_dlc13_army_abilities_beasts_of_itzl	1332417480	false
wh2_dlc13_army_abilities_beasts_of_itzl_upgraded	wh2_dlc13_army_abilities_beasts_of_itzl_upgraded	861537476	false
wh2_dlc13_army_abilities_protection_of_quetzl	wh2_dlc13_army_abilities_protection_of_quetzl	629412009	false
wh2_dlc13_army_abilities_protection_of_quetzl_upgraded	wh2_dlc13_army_abilities_protection_of_quetzl_upgraded	2088078256	false
wh2_dlc13_army_abilities_storm_of_xholankha	wh2_dlc13_army_abilities_storm_of_xholankha	1664100801	false
wh2_dlc13_army_abilities_storm_of_xholankha_upgraded	wh2_dlc13_army_abilities_storm_of_xholankha_upgraded	481040777	false
wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	1828983684	false
wh2_dlc14_final_battle_ability_summon_snikch	wh2_dlc14_final_battle_ability_summon_snikch	1408239994	false
wh2_dlc15_army_abilities_azhags_big_waaagh	wh2_dlc15_army_abilities_azhags_big_waaagh	173577354	false
wh2_dlc15_army_abilities_azhags_waaagh	wh2_dlc15_army_abilities_azhags_waaagh	446025981	false
wh2_dlc15_army_abilities_big_waaagh	wh2_dlc15_army_abilities_big_waaagh	1654085671	false
wh2_dlc15_army_abilities_doom_diver_strike	wh2_dlc15_army_abilities_doom_diver_strike	290931439	false
wh2_dlc15_army_abilities_doom_diver_strike_enhanced	wh2_dlc15_army_abilities_doom_diver_strike_enhanced	1460604411	false
wh2_dlc15_army_abilities_envelop_in_mist	wh2_dlc15_army_abilities_envelop_in_mist	1053476131	false
wh2_dlc15_army_abilities_flood_trap	wh2_dlc15_army_abilities_flood_trap	1345577668	false
wh2_dlc15_army_abilities_grimgors_big_waaagh	wh2_dlc15_army_abilities_grimgors_big_waaagh	194056372	false
wh2_dlc15_army_abilities_grimgors_waaagh	wh2_dlc15_army_abilities_grimgors_waaagh	2062838957	false
wh2_dlc15_army_abilities_groms_big_waaagh	wh2_dlc15_army_abilities_groms_big_waaagh	2065951158	false
wh2_dlc15_army_abilities_groms_waaagh	wh2_dlc15_army_abilities_groms_waaagh	1330005838	false
wh2_dlc15_army_abilities_invocation_of_ending	wh2_dlc15_army_abilities_invocation_of_ending	1150194407	false
wh2_dlc15_army_abilities_lightning_trap_1	wh2_dlc15_army_abilities_lightning_trap_1	1532217605	false
wh2_dlc15_army_abilities_lightning_trap_2	wh2_dlc15_army_abilities_lightning_trap_2	2108607961	false
wh2_dlc15_army_abilities_oath_of_replenishment	wh2_dlc15_army_abilities_oath_of_replenishment	531410041	false
wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	904500624	false
wh2_dlc15_army_abilities_skarsniks_big_waaagh	wh2_dlc15_army_abilities_skarsniks_big_waaagh	940691788	false
wh2_dlc15_army_abilities_skarsniks_waaagh	wh2_dlc15_army_abilities_skarsniks_waaagh	1886282576	false
wh2_dlc15_army_abilities_summon_the_sentinels	wh2_dlc15_army_abilities_summon_the_sentinels	661315755	false
wh2_dlc15_army_abilities_summon_the_sentinels_upgraded	wh2_dlc15_army_abilities_summon_the_sentinels_upgraded	1052347921	false
wh2_dlc15_army_abilities_unleash_the_winds	wh2_dlc15_army_abilities_unleash_the_winds	881101624	false
wh2_dlc15_army_abilities_waaagh	wh2_dlc15_army_abilities_waaagh	1719545623	false
wh2_dlc15_army_abilities_wind_trap_1a	wh2_dlc15_army_abilities_wind_trap_1a	453389621	false
wh2_dlc15_army_abilities_wind_trap_1b	wh2_dlc15_army_abilities_wind_trap_1b	723718251	false
wh2_dlc15_army_abilities_wind_trap_2a	wh2_dlc15_army_abilities_wind_trap_2a	713916900	false
wh2_dlc15_army_abilities_wind_trap_2b	wh2_dlc15_army_abilities_wind_trap_2b	1331606644	false
wh2_dlc15_army_abilities_wind_trap_3a	wh2_dlc15_army_abilities_wind_trap_3a	1921428438	false
wh2_dlc15_army_abilities_wind_trap_3b	wh2_dlc15_army_abilities_wind_trap_3b	1765894398	false
wh2_dlc15_army_abilities_wurrzags_big_waaagh	wh2_dlc15_army_abilities_wurrzags_big_waaagh	1547663744	false
wh2_dlc15_army_abilities_wurrzags_waaagh	wh2_dlc15_army_abilities_wurrzags_waaagh	582972795	false
wh2_dlc15_character_abilities_wardens_cage	wh2_dlc15_character_abilities_wardens_cage	1875966824	false
wh2_dlc16_army_abilities_call_to_ceithin_har	wh2_dlc16_army_abilities_call_to_ceithin_har	364400026	false
wh2_dlc16_army_abilities_roused_to_wrath_3	wh2_dlc16_lord_abilities_roused_to_wrath_3	162014166	false
wh2_dlc16_army_abilities_siege_attacker_hidden	wh2_dlc16_army_abilities_siege_attacker_hidden	981569158	true
wh2_dlc16_army_abilities_transformation_of_kadon	wh2_dlc16_army_abilities_transformation_of_kadon	1159921820	true
wh2_dlc17_army_abilities_ancestral_rune_of_grimnir	wh2_dlc17_army_abilities_ancestral_rune_of_grimnir	233618658	false
wh2_dlc17_army_abilities_ancestral_rune_of_grungni	wh2_dlc17_army_abilities_ancestral_rune_of_grungni	2104807265	false
wh2_dlc17_army_abilities_ancestral_rune_of_valaya	wh2_dlc17_army_abilities_ancestral_rune_of_valaya	316287144	false
wh2_dlc17_army_abilities_cacophonous_assault	wh2_dlc17_army_abilities_cacophonous_assault	984399084	false
wh2_dlc17_army_abilities_cacophonous_assault_upgraded	wh2_dlc17_army_abilities_cacophonous_assault_upgraded	1424447977	false
wh2_dlc17_army_abilities_chaos_spawn_summon_qb_scripted	wh2_dlc17_army_abilities_chaos_spawn_summon_qb_scripted	762558599	false
wh2_dlc17_army_abilities_cygor_summon_qb_scripted	wh2_dlc17_army_abilities_cygor_summon_qb_scripted	813531757	true
wh2_dlc17_army_abilities_ghorgon_summon_qb_scripted	wh2_dlc17_army_abilities_ghorgon_summon_qb_scripted	1676324802	false
wh2_dlc17_army_abilities_shatterstone	wh2_dlc17_army_abilities_shatterstone	1339996009	true
wh2_dlc17_army_abilities_soteks_sanctum	wh2_dlc17_army_abilities_soteks_sanctum	567895825	false
wh2_dlc17_army_abilities_touched_by_the_moon	wh2_dlc17_army_abilities_touched_by_the_moon	1795509274	false
wh2_dlc17_army_abilities_tzcatlis_sanctum	wh2_dlc17_army_abilities_tzcatlis_sanctum	1868114485	false
wh2_dlc17_army_abilities_vile_entropy	wh2_dlc17_army_abilities_vile_entropy	1502619671	false
wh2_dlc17_army_abilities_viletide	wh2_dlc17_army_abilities_viletide	1215643405	false
wh2_dlc17_army_abilities_xapatis_sanctum	wh2_dlc17_army_abilities_xapatis_sanctum	1833969063	false
wh2_dlc17_army_abilities_zhufbar_42_pounders_engineer	wh2_dlc17_army_abilities_zhufbar_42_pounders_engineer	1066167270	false
wh2_main_army_abilities_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron	76	false
wh2_main_army_abilities_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite	84	false
wh2_main_army_abilities_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron	62	false
wh2_main_army_abilities_carnosaur_qb_scripted	wh2_main_army_abilities_carnosaur_qb_scripted	1530846356	false
wh2_main_army_abilities_channeling_spire	wh2_main_army_abilities_channeling_spire	211770093	false
wh2_main_army_abilities_dark_conduit	wh2_main_army_abilities_dark_conduit	487601050	false
wh2_main_army_abilities_eagle_sanctuary	wh2_main_army_abilities_eagle_sanctuary	41480480	false
wh2_main_army_abilities_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone	16556503	false
wh2_main_army_abilities_feral_cold_ones	wh2_main_army_abilities_feral_cold_ones	889702284	false
wh2_main_army_abilities_feral_cold_ones_qb_scripted	wh2_main_army_abilities_feral_cold_ones_qb_scripted	1108157632	false
wh2_main_army_abilities_geomantic_nexus	wh2_main_army_abilities_geomantic_nexus	1945700588	false
wh2_main_army_abilities_heal_splosion	wh2_main_army_abilities_vortic_enrichment	1701168890	false
wh2_main_army_abilities_holy_stela	wh2_main_army_abilities_holy_stela	504788177	false
