key	event	max_time	min_time	use_reverb	use_obstruction	limitation_scale	min_probability	max_probability
#audio_entity_random_vocalisations_tables;3;db/audio_entity_random_vocalisations_tables/data__								
wh2_ancient_salamander_running	Battle_Individual_Vocalisation_Salamander_Ancient_Running	10.0000	5.0000	true	false	0.1000	100.0000	20.0000
wh2_ancient_salamander_walking	Battle_Individual_Vocalisation_Salamander_Ancient_Walking	12.0000	5.0000	true	false	0.2000	100.0000	20.0000
wh2_cold_one_running	Battle_Individual_Vocalisation_Cold_One_Running	20.0000	10.0000	true	false	0.1000	100.0000	20.0000
wh2_cold_one_walking	Battle_Individual_Vocalisation_Cold_One_Walking	20.0000	10.0000	true	false	0.2000	100.0000	20.0000
wh2_cst_cylostra_idle	Battle_Individual_Vocalisation_Cylostra_Idle	15.0000	8.0000	true	false	0.5000	100.0000	100.0000
wh2_cst_depth_guard_fatigue	Battle_Individual_Vocalisation_Depth_Guard_Fatigue	20.0000	10.0000	false	false	0.2000	100.0000	0.0000
wh2_cst_depth_guard_idle	Battle_Individual_Vocalisation_Depth_Guard_Idle	20.0000	10.0000	false	false	0.0500	100.0000	0.0000
wh2_cst_depth_guard_running	Battle_Individual_Vocalisation_Depth_Guard_Running	20.0000	10.0000	false	false	0.1000	100.0000	0.0000
wh2_cst_depth_guard_walking	Battle_Individual_Vocalisation_Depth_Guard_Walking	20.0000	10.0000	false	false	0.1000	100.0000	0.0000
wh2_cst_fleet_ad_female_fatigue	Play_Battle_Individual_Vocalisation_FA_Female_Fatigue_Stop	20.0000	10.0000	false	false	0.2000	100.0000	100.0000
wh2_cst_fleet_ad_female_idle	Play_Battle_Individual_Vocalisation_FA_Female_Idle	20.0000	10.0000	false	false	0.0500	100.0000	100.0000
wh2_cst_fleet_ad_female_running	Play_Battle_Individual_Vocalisation_FA_Female_Running	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_fleet_ad_female_walking	Play_Battle_Individual_Vocalisation_FA_Female_Walking	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_fleet_ad_male_fatigue	Battle_Individual_Vocalisation_FA_Male_Fatigue_Stop	20.0000	10.0000	false	false	0.2000	100.0000	100.0000
wh2_cst_fleet_ad_male_idle	Battle_Individual_Vocalisation_FA_Male_Idle	20.0000	10.0000	false	false	0.0500	100.0000	100.0000
wh2_cst_fleet_ad_male_running	Battle_Individual_Vocalisation_FA_Male_Running	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_fleet_ad_male_walking	Battle_Individual_Vocalisation_FA_Male_Walking	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_fleet_captain_female_fatigue	Battle_Individual_Vocalisation_Vampire_fleet_Captain_Fatigue_Stop	20.0000	10.0000	false	false	0.2000	100.0000	100.0000
wh2_cst_fleet_captain_female_idle	Battle_Individual_Vocalisation_Vampire_fleet_Captain_Idle	20.0000	10.0000	false	false	0.0500	100.0000	100.0000
wh2_cst_fleet_captain_female_running	Battle_Individual_Vocalisation_Vampire_fleet_Captain_Running	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_fleet_captain_female_walking	Battle_Individual_Vocalisation_Vampire_fleet_Captain_Walking	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_gunnery_wight_fatigue	Battle_Individual_Vocalisation_Gunnery_Wight_Fatigue_Stop	20.0000	10.0000	false	false	0.2000	100.0000	100.0000
wh2_cst_gunnery_wight_idle	Battle_Individual_Vocalisation_Gunnery_Wight_Idle	20.0000	10.0000	false	false	0.0500	100.0000	100.0000
wh2_cst_gunnery_wight_running	Battle_Individual_Vocalisation_Gunnery_Wight_Running	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_gunnery_wight_walking	Battle_Individual_Vocalisation_Gunnery_Wight_Walking	20.0000	10.0000	false	false	0.1000	100.0000	100.0000
wh2_cst_luthor_harkon_fatigue	Battle_Individual_Vocalisation_Luthor_Harkon_Fatigue_Stop	20.0000	10.0000	false	false	0.2000	100.0000	100.0000
wh2_cst_luthor_harkon_idle	Battle_Individual_Vocalisation_Luthor_Harkon_Idle	20.0000	10.0000	false	false	0.0500	100.0000	100.0000
