key	attack	decay	fall_off_distance	horizontal_amplitude	horizontal_frequency	octave_amplitude_multiplier	octave_frequency_multiplier	octaves	pitch_amplitude	pitch_frequency	release	roll_amplitude	roll_frequency	sustain	sustain_multiplier	vertical_amplitude	vertical_frequency	yaw_amplitude	yaw_frequency
#battle_camera_shake_parameters_tables;0;db/battle_camera_shake_parameters_tables/data__																			
Spell_breath_heavy	1.0	0.2	40.0	1.5	4.0	1.2	1.4	1	1.0	6.0	0.2	1.0	6.0	1.0	1.0	1.0	6.0	1.0	6.0
Spell_breath_light	1.0	0.2	20.0	0.5	2.0	0.8	1.0	1	0.5	4.0	0.2	0.5	4.0	1.0	0.5	0.4	4.0	0.5	4.0
Spell_breath_medium	1.0	0.2	30.0	1.0	3.0	1.0	1.4	1	0.5	5.0	0.2	0.8	5.0	1.0	0.5	0.7	5.0	0.8	5.0
Spell_explosion_heavy	2.0	0.3	40.0	1.5	6.0	1.2	1.4	1	1.0	6.0	0.7	1.0	6.0	5.0	1.0	1.0	6.0	1.0	6.0
Spell_explosion_light	2.0	0.3	20.0	0.5	4.0	0.8	1.0	1	0.5	4.0	0.7	0.5	4.0	5.0	0.5	0.4	4.0	0.5	4.0
Spell_explosion_medium	2.0	0.3	30.0	1.0	5.0	1.0	1.2	1	0.5	5.0	0.7	0.8	5.0	5.0	0.5	0.7	5.0	0.8	5.0
Spell_summoning_multiple	0.5	0.1	30.0	1.0	3.0	1.0	1.0	1	0.5	3.0	0.1	0.5	4.0	0.3	0.5	0.7	3.0	0.5	3.0
Spell_summoning_single	0.5	0.1	20.0	1.0	2.0	0.8	1.0	1	0.2	2.0	0.050000004	0.5	3.0	0.3	0.5	0.4	2.0	0.5	2.0
Spell_vortex_heavy	1.0	0.4	40.0	1.5	6.0	1.2	1.4	1	1.5	6.0	1.0	1.5	6.0	23.0	1.0	1.5	6.0	1.5	6.0
Spell_vortex_heavy_upg	1.0	0.4	40.0	1.5	6.0	1.2	1.4	1	1.5	6.0	1.0	1.5	6.0	50.0	1.0	1.5	6.0	1.5	6.0
Spell_vortex_light	1.0	0.4	20.0	0.8999999	4.0	0.8	1.0	1	0.8999999	4.0	0.6	0.0	4.0	23.0	0.5	0.8999999	4.0	0.8999999	4.0
Spell_vortex_light_upg	1.0	0.4	20.0	0.8999999	4.0	0.8	1.0	1	0.8999999	4.0	0.6	0.8999999	4.0	50.0	0.5	0.8999999	4.0	0.8999999	4.0
Spell_vortex_medium	1.0	0.4	30.0	1.2	5.0	1.0	1.2	1	1.2	5.0	0.6	1.2	5.0	23.0	0.5	1.2	5.0	1.2	5.0
Spell_vortex_medium_upg	1.0	0.4	30.0	1.2	5.0	1.0	1.2	1	1.2	5.0	0.6	1.2	5.0	50.0	0.5	1.2	5.0	1.2	5.0
Spell_wind_heavy	2.0	0.6	40.0	1.5	6.0	1.2	1.4	1	1.0	6.0	0.4	1.0	6.0	5.0	1.0	1.0	6.0	1.0	6.0
Spell_wind_light	2.0	0.6	20.0	0.5	4.0	1.0	1.0	1	0.5	4.0	0.4	0.5	4.0	5.0	0.5	0.4	4.0	0.5	4.0
Spell_wind_medium	2.0	0.6	30.0	1.0	5.0	1.2	1.4	1	0.5	5.0	0.4	0.8	5.0	5.0	0.5	0.7	5.0	0.8	5.0
wh2_vauls_hammer	1.0	0.5	150.0	0.2	10.0	1.0	1.4	2	0.6	10.0	5.0	0.4	10.0	0.5	0.5	0.2	8.0	0.3	6.0
wh3_howling_citadel	0.2	1.0	40000.0	2.0	7.0	4.0	2.0	2	2.0	3.0	7.0	2.0	1.0	1.0	1.0	2.0	7.0	1.0	9.0
wh_main_composite_spell_11	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	7.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_12	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	8.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_13	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	9.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_14	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	10.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_15	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	11.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_18	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	14.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_20	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	16.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_21	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	17.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_22	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	18.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_24	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	20.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_26	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	22.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_3	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	0.5	0.5	4.0	0.5	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_40	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	36.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_52	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	48.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_54	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	50.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_6	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	1.0	0.5	4.0	3.0	1.0	0.4	3.0	0.5	5.0
wh_main_composite_spell_8	0.5	1.5	40.0	1.0	3.0	1.2	1.4	2	0.5	5.0	2.0	0.5	4.0	4.0	1.0	0.4	3.0	0.5	5.0
wh_main_unit_artillery_footstep	0.1	0.1	20.0	0.050000004	5.0	1.0	1.0	1	0.1	2.0	0.1	0.1	2.0	0.1	0.5	0.050000004	5.0	0.1	3.0
wh_main_unit_cavalry_footstep	0.1	0.1	40.0	0.050000004	6.0	1.0	1.0	1	0.1	3.0	0.1	0.1	3.0	0.1	0.5	0.050000004	6.0	0.1	4.0
wh_main_unit_combat	0.1	0.050000004	40.0	0.0	5.0	1.0	1.0	2	2.0	15.0	0.2	2.0	15.0	0.4	0.5	0.0	5.0	2.0	15.0
wh_main_unit_explosion_heavy	0.3	0.3	65.0	0.0	6.0	3.0	1.0	2	1.0	10.0	1.2	0.0	10.0	0.1	0.4	0.0	8.0	1.0	10.0
