currency_type	item_type	cost_value
#battle_currency_unit_abilities_cost_values_tables;0;db/battle_currency_unit_abilities_cost_values_tables/data__		
army_ability_bar_fill	wh2_dlc09_faction_passive_realm_of_souls_tier_1	150.0000
army_ability_bar_fill	wh2_dlc09_faction_passive_realm_of_souls_tier_2	300.0000
army_ability_bar_fill	wh2_dlc09_faction_passive_realm_of_souls_tier_3	500.0000
supplies_currency	wh3_supplies_replenishment_ability_recharge_01	200.0000
supplies_currency	wh3_supplies_replenishment_ammunition_01	400.0000
supplies_currency	wh3_supplies_replenishment_encourage_01	200.0000
supplies_currency	wh3_supplies_replenishment_fatigue_01	400.0000
supplies_currency	wh3_supplies_replenishment_regen_01	400.0000
supplies_currency	wh3_supplies_replenishment_winds_of_magic_01	600.0000
supplies_currency	wh3_supplies_upgrade_armour_01	800.0000
supplies_currency	wh3_supplies_upgrade_armour_02	1600.0000
supplies_currency	wh3_supplies_upgrade_armour_03	2400.0000
supplies_currency	wh3_supplies_upgrade_missiles_01	800.0000
supplies_currency	wh3_supplies_upgrade_missiles_02	1600.0000
supplies_currency	wh3_supplies_upgrade_missiles_03	2400.0000
supplies_currency	wh3_supplies_upgrade_shields_01	800.0000
supplies_currency	wh3_supplies_upgrade_shields_02	1600.0000
supplies_currency	wh3_supplies_upgrade_shields_03	2400.0000
supplies_currency	wh3_supplies_upgrade_weapons_01	800.0000
supplies_currency	wh3_supplies_upgrade_weapons_02	1600.0000
supplies_currency	wh3_supplies_upgrade_weapons_03	2400.0000
