key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/data__							
test_goblin_riders	hu5_goblin_sword_bow	wh_grn_goblin_bowmen	wh_main_infantry_rider		false	true	false
wh2_cst_vampire_fleet_admiral_female_promethean	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh2_dlc11_cst_rotting_promethean_rider_360_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
wh2_cst_vampire_fleet_captain_promethean	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	wh2_dlc11_cst_ch_vampire_fleet_captain	wh2_dlc11_cst_rotting_promethean_rider_360_blood	wh2_cst_vampire_fleet_captain_promethean	true	true	false
wh2_def_dreadlord_dragon	hu1d_elf_dr1_dragon_wb_sword_and_crossbow	wh2_main_def_dreadlord	wh2_main_def_cavarly_rider_170_hero_blood	wh2_def_dreadlord_dragon	true	true	false
wh2_def_dreadlord_female_dragon	hu1b_elf_dr1_dragon_wb_sword_and_shield	wh2_main_def_dreadlord_female	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc09_tmb_arkhan_chariot_steed1	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_chariot	wh2_dlc09_tmb_skeletal_steed_chariot_rider_arkhan		false	true	false
wh2_dlc09_tmb_arkhan_chariot_steed2	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_chariot	wh2_dlc09_tmb_skeletal_steed_chariot_rider_arkhan		false	true	false
wh2_dlc09_tmb_arkhan_chariot_steed3	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_chariot	wh2_dlc09_tmb_skeletal_steed_chariot_rider_arkhan		false	true	false
wh2_dlc09_tmb_arkhan_chariot_steed4	hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_skeletal_steed_chariot	wh2_dlc09_tmb_skeletal_steed_chariot_rider_arkhan		false	true	false
wh2_dlc09_tmb_casket_of_souls_khatep	hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_casket_of_souls_rider1	hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_liche_priest_casket	wh_main_infantry_rider		false	true	false
wh2_dlc09_tmb_chariot_rider_0	hu1_tomb_wm_tomb_chariot01_whip	wh2_dlc09_tmb_skeleton_charioteer_whip	wh2_dlc09_tmb_skeleton		false	true	false
wh2_dlc09_tmb_chariot_rider_0_arkhan	hu1_tomb_wm_tomb_chariot01_whip	wh2_dlc09_tmb_skeleton_charioteer_whip	wh2_dlc09_tmb_skeleton_chariot_rider_arkhan		false	true	false
wh2_dlc09_tmb_chariot_rider_1	hu1_tomb_wm_tomb_chariot01_2handed_halberd	wh2_dlc09_tmb_tomb_guard_halberd	wh2_dlc09_tmb_skeleton		false	true	false
wh2_dlc09_tmb_chariot_rider_1_archer	hu1_tomb_wm_tomb_chariot01_sword_and_bow	wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_chariot_rider_bow_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh2_dlc09_tmb_chariot_rider_1_arkhan	hu1_arkhan_wm_tomb_chariot01_staff_and_sword	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_arkhan_chariot_rider		true	true	false
wh2_dlc09_tmb_chariot_rider_1_khalida	hu1b_tomb_wm_chariot01_staff_and_sword	wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_chariot_rider_1_khatep	hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_chariot_rider_1_king	hu1_tomb_wm_tomb_chariot01_sword_and_shield	wh2_dlc09_tmb_ch_tomb_king	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_chariot_rider_1_necrotect	hu1_tomb_sword_and_whip	wh2_dlc09_tmb_necrotect	wh2_dlc09_tmb_skeleton_infantry_hero		true	true	false
wh2_dlc09_tmb_chariot_rider_1_prince	hu1_tomb_wm_tomb_chariot01_2handed_halberd	wh2_dlc09_tmb_ch_tomb_prince	wh2_dlc09_tmb_skeleton_infantry_hero		true	true	false
wh2_dlc09_tmb_chariot_rider_1_settra	hu1_settra_wm_tomb_chariot01_2handed_halberd	wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_warsphinx_rider_0	hu1_tomb_wb_bigcat01_bow	wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh2_dlc09_tmb_warsphinx_rider_1	hu1_tomb_wb_bigcat01_bow	wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh2_dlc09_tmb_warsphinx_rider_2	hu1_tomb_wb_bigcat01_bow	wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh2_dlc09_tmb_warsphinx_rider_3	hu1_tomb_wb_bigcat01_bow	wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx_rider_360	wh2_dlc09_tmb_chariot_bow	false	true	false
wh2_dlc09_tmb_warsphinx_rider_settra	hu1_settra_2handed_halberd	wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc09_tmb_warsphinx_rider_tomb_king	hu1_tomb_skeleton_sword_and_shield	wh2_dlc09_tmb_skeleton_sword_shield	wh2_dlc09_tmb_skeleton_infantry_hero_lord		true	true	false
wh2_dlc10_def_cha_crone_manticore_rider1	hu1b_elf_bc3_manticore_wb_dual_sword	wh2_dlc10_def_crone_hellebron	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_beasts_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_beasts_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_dark_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_dark_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_death_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh2_main_hef_rider_360_hero_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_death_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	wh2_main_def_sorceress_campaign_02	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_fire_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	wh2_main_def_sorceress_campaign_01	wh2_main_hef_rider_360_hero_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_fire_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	wh2_main_def_sorceress_campaign_01	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_shadow_dragon_rider1	hu1b_elf_dr1_dragon_wb_staff_and_sword	wh2_main_def_sorceress_campaign_03	wh2_main_hef_rider_360_hero_blood		true	true	false
wh2_dlc10_def_cha_supreme_sorceress_shadow_manticore_rider1	hu1b_elf_bc3_manticore_wb_staff_and_sword	wh2_main_def_sorceress_campaign_03	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_def_veh_cauldron_of_blood_crone	hu1b_elf_dual_sword	wh2_dlc10_def_crone_hellebron	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc10_hef_alarielle_the_radiant_eagle_rider1	hu1b_elf_bi1_alarielle_wb_staff_and_sword	wh2_dlc10_hef_alarielle	wh2_main_hef_rider_360_alarielle_blood		false	true	false
wh2_dlc10_hef_chariot_mage_heavens	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high		true	true	false
wh2_dlc10_hef_chariot_mage_shadows	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high		true	true	false
wh2_dlc11_cst_cha_aranessa_1	hu1b_cst_aranessa_cr1_promethean_wb_halberd	wh2_dlc11_cst_ch_aranessa_saltspite	wh_main_cavalry_rider_standard_blood		true	true	false
wh2_dlc11_cst_cha_gunnery_wight_1	hu1_cst_gunnery_cr1_promethean_wb_rifle	wh2_dlc11_cst_gunnery_wight	wh_main_cavalry_rider_standard_blood	wh2_dlc11_cst_cha_gunnery_wight_1	true	true	false
wh2_dlc11_cst_cha_luthor_harkon_1	hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	wh2_dlc11_cst_cha_luthor_harkon	wh2_dlc11_infantry_luthor_harkon_hero_blood	wh2_dlc11_cst_cha_luthor_harkon_1	true	true	false
wh2_dlc11_cst_cha_vampire_fleet_admiral_1	hu1_cst_admiral_cr1_promethean_wb_halberd	wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	hu1_cst_admiral_cr1_promethean_wb_halberd	wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	hu1_cst_admiral_cr1_promethean_wb_halberd	wh2_dlc11_cst_ch_vampire_fleet_admiral	wh_main_cavalry_rider_standard_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_cavalry_rider_standard_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	hu1b_cst_admiral_cr1_promethean_wb_cutlass_and_pistol	wh2_dlc11_cst_ch_vampire_fleet_admiral_female	wh_main_cavalry_rider_standard_blood	wh2_cst_vampire_fleet_admiral_female_promethean	true	true	false
