battle_set_piece_army	effect_bundle
#battle_set_piece_armies_effect_bundles_tables;0;db/battle_set_piece_armies_effect_bundles_tables/data__	
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_1	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_2	wh2_dlc15_bundle_greenskins_quest_battle_waaagh
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_attacker	wh2_dlc09_faction_trait_tomb_kings
wh2_dlc09_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay_defender	wh2_dlc09_bundle_quest_battle_full_hide
wh2_dlc11_qb_cst_final_battle_luthor	wh2_dlc11_bundle_tmb_final_battle_army_abilities_battle_supply
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_nuke_ability_enable
wh2_dlc12_skv_ikit_claw_storm_daemon_player	wh2_dlc12_qb_ikit_enable_storm_daemon
wh2_dlc13_emp_final_battle_gorrok_enemy	wh2_dlc13_effect_unit_stat_mod_ward_save_final_battle_gorrok
wh2_dlc13_emp_final_battle_nakai_enemy	wh2_dlc13_effect_unit_stat_mod_ward_save_final_battle_gorrok
wh2_dlc13_emp_final_battle_nakai_enemy	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones
wh2_dlc13_emp_final_battle_summoner_1_enemy	wh2_main_bundle_quest_battle_feral_cold_ones_scripted
wh2_dlc13_emp_final_battle_summoner_2_enemy	wh2_main_bundle_quest_battle_feral_cold_ones_scripted
wh2_dlc13_emp_final_battle_wulfhart_player	wh2_dlc13_hunter_final_battle_effect_jorek
wh2_dlc13_emp_final_battle_wulfhart_player	wh2_dlc13_hunter_final_battle_effect_jorek_dummy
