army_ability	battle_set_piece_army
#battle_set_piece_army_to_army_ability_junctions_tables;0;db/battle_set_piece_army_to_army_ability_junctions_tables/data__	
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro_mom_qb_01_player_army
wh3_pro10_army_abilities_inevitable_fate	wh3_pro_mom_qb_01_player_army
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro_mom_qb_01_player_army
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro_mom_qb_02_player_army
wh3_pro10_army_abilities_inevitable_fate	wh3_pro_mom_qb_02_player_army
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro_mom_qb_02_player_army
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro_mom_qb_03_player_army
wh3_pro10_army_abilities_inevitable_fate	wh3_pro_mom_qb_03_player_army
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro_mom_qb_03_player_army
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro_mom_qb_04_player_army
wh3_pro10_army_abilities_inevitable_fate	wh3_pro_mom_qb_04_player_army
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro_mom_qb_04_player_army
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro_mom_qb_05_player_army
wh3_pro10_army_abilities_inevitable_fate	wh3_pro_mom_qb_05_player_army
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro_mom_qb_05_player_army
