army_name	siege_item	amount
#battle_set_pieces_siege_items_tables;0;db/battle_set_pieces_siege_items_tables/data__		
wh3_dlc24_cth_yuan_bo_compass_enemy_mazdamundi	lzd_battering_ram	1
wh3_dlc24_cth_yuan_bo_compass_enemy_mazdamundi	lzd_siege_tower	2
wh3_dlc24_cth_yuan_bo_compass_enemy_tehenhauin	lzd_battering_ram	1
wh3_dlc24_cth_yuan_bo_compass_enemy_tehenhauin	lzd_siege_tower	2
wh_dlc15_qb_grn_grom_final_battle_battle_boyz_ally_reinforcements	grn_siege_tower	2
wh_dlc15_qb_grn_grom_final_battle_gobbo_waaagh_ally	grn_siege_tower	2
wh_dlc15_qb_grn_grom_final_battle_player	grn_battering_ram	1
wh_dlc15_qb_grn_grom_final_battle_player	grn_siege_tower	2
wh_dlc15_qb_hef_eltharion_final_battle_grom_enemy	grn_siege_tower	2
wh_dlc15_qb_hef_eltharion_final_battle_spider_squad_enemy_flanks	grn_siege_tower	2
