battlefield_building	special_ability	tier
#battlefield_buildings_to_special_abilities_tables;0;db/battlefield_buildings_to_special_abilities_tables/data__		
brt_barricade_blocker_01	wh3_main_barricade_blocker	1
brt_barricade_monument_01	wh3_main_barricade_monument_brt	1
brt_barricade_platform_01	wh3_main_barricade_platform	1
brt_barricade_trap_01	wh3_main_barricade_trap	1
brt_lotl_01	wh3_main_siege_defender	1
bst_barricade_blocker_01	wh3_main_barricade_blocker	1
bst_barricade_monument_01	wh3_main_barricade_monument_bst	1
bst_barricade_platform_01	wh3_main_barricade_platform	1
bst_barricade_trap_01	wh3_main_barricade_trap	1
chd_barricade_01	wh3_main_barricade_platform	1
chd_barricade_blocker_01	wh3_main_barricade_blocker	1
chd_barricade_monument_01	wh3_dlc23_barricade_monument_chd	1
chd_barricade_platform_01	wh3_main_barricade_platform	1
chd_barricade_trap_01	wh3_main_barricade_trap	1
chd_chimney_med_01_top	wh3_main_siege_defender	1
chd_drill_support_03	wh3_dlc23_building_passive_the_hellshard_drill	1
chd_factory_bridge_01	wh3_main_siege_defender	1
chd_girder_16m_01a	wh3_dlc23_building_passive_the_hellshard_pumps	1
chd_statue_centaur_01	wh3_main_siege_defender	1
chd_statue_dwarf_standing_01	wh3_main_siege_defender	1
chs_altar_rockspike_01	wh3_dlc20_survival_aob_altar_of_battle	1
chs_barricade_blocker_01	wh3_main_barricade_blocker	1
chs_barricade_monument_01	wh3_main_barricade_monument_chs	1
chs_barricade_platform_01	wh3_main_barricade_platform	1
chs_barricade_trap_01	wh3_main_barricade_trap	1
chs_barricade_trap_02	wh3_main_barricade_trap	1
chs_khorne_icon_01	wh3_survival_khorne_1_icon_of_ruin	1
chs_khorne_icon_02	wh3_survival_khorne_3_icon_of_torment	1
chs_khorne_platform_01	wh3_survival_forge_2_soul_of_the_forge	1
chs_khorne_skull_large_01	wh3_survival_khorne_2_icon_of_blood	1
chs_khorne_skull_large_06b	wh3_survival_forge_1_face_of_the_forge	1
chs_obelisk_01	wh3_main_siege_defender	1
chs_ruins_hero_church_07	wh3_main_siege_defender	1
chs_statue_death_bronze_01	wh3_main_siege_defender	1
chs_statue_woman_bronze_01	wh3_dlc20_survival_aob_mark_of_putrefier	1
chs_statue_woman_bronze_02	wh3_dlc20_survival_aob_mark_of_murderer	1
chs_statue_woman_stone_01	wh3_dlc20_survival_aob_mark_of_reveler	1
chs_statue_woman_stone_02	wh3_dlc20_survival_aob_mark_of_sorcerer	1
chs_tzeentch_birdspike_01	wh3_survival_tzeentch_1_burning_crystal	1
chs_tzeentch_birdspike_02	wh3_survival_tzeentch_2_deviating_crystal	1
chs_tzeentch_birdspike_03	wh3_survival_tzeentch_3_everclimbing_crystal	1
chs_tzeentch_symbol_01	wh3_pro10_army_abilities_shard_of_tzeentch	1
cst_barricade_blocker_01	wh3_main_barricade_blocker	1
