effect_bundle	book	faction
#books_of_nagash_to_faction_effect_bundle_junctions_tables;0;db/books_of_nagash_to_faction_effect_bundle_junctions_tables/data__		
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_1	wh2_dlc09_books_of_nagash_1	wh3_main_emp_cult_of_sigmar
wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_1	wh3_main_tmb_deserters_of_khatep
wh3_main_books_of_nagash_mannfred_reward_1	wh2_dlc09_books_of_nagash_1	wh_main_vmp_vampire_counts
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_2	wh2_dlc09_books_of_nagash_2	wh3_main_emp_cult_of_sigmar
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_2	wh3_main_tmb_deserters_of_khatep
wh3_main_books_of_nagash_mannfred_reward_2	wh2_dlc09_books_of_nagash_2	wh_main_vmp_vampire_counts
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_3	wh2_dlc09_books_of_nagash_3	wh3_main_emp_cult_of_sigmar
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_3	wh3_main_tmb_deserters_of_khatep
wh3_main_books_of_nagash_mannfred_reward_3	wh2_dlc09_books_of_nagash_3	wh_main_vmp_vampire_counts
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_4	wh2_dlc09_books_of_nagash_4	wh3_main_emp_cult_of_sigmar
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_books_of_nagash_4	wh3_main_tmb_deserters_of_khatep
wh3_main_books_of_nagash_mannfred_reward_4	wh2_dlc09_books_of_nagash_4	wh_main_vmp_vampire_counts
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_5	wh2_dlc09_books_of_nagash_5	wh3_main_emp_cult_of_sigmar
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_books_of_nagash_5	wh3_main_tmb_deserters_of_khatep
wh3_main_books_of_nagash_mannfred_reward_5	wh2_dlc09_books_of_nagash_5	wh_main_vmp_vampire_counts
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_khemri
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_lybaras
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_numas
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tomb_kings_rebels
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb1
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb2
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb3
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb4
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb_exiles_of_nehek
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb_followers_of_nagash
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb_khemri
wh2_dlc09_books_of_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh2_dlc09_tmb_tombking_qb_lybaras
wh3_dlc29_books_of_nagash_nagash_reward_6	wh2_dlc09_books_of_nagash_6	wh3_dlc29_nag_host_of_nagash
wh3_main_books_of_nagash_volkmar_reward_6	wh2_dlc09_books_of_nagash_6	wh3_main_emp_cult_of_sigmar
