key	order	image
#bretonnia_vows_tables;1;db/bretonnia_vows_tables/data__		
grail_vow	3	grail_vow
grail_vow_agent	3	grail_vow
knights_vow	1	knights_vow
knights_vow_agent	1	knights_vow
questing_vow	2	questing_vow
questing_vow_agent	2	questing_vow
troth_of_protection	1	troth_of_protection
troth_of_protection_agent	1	troth_of_protection
troth_of_virtue	3	troth_of_virtue
troth_of_virtue_agent	3	troth_of_virtue
troth_of_virtue_fay	3	troth_of_virtue
troth_of_wisdom	2	troth_of_wisdom
troth_of_wisdom_agent	2	troth_of_wisdom
