from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/data__	
wh2_dlc09_special_settlement_khemri_tmb_1	wh2_dlc09_special_settlement_khemri_tmb_1
wh2_dlc09_special_settlement_khemri_tmb_2	wh2_dlc09_special_settlement_khemri_tmb_2
wh2_dlc09_special_settlement_khemri_tmb_3	wh2_dlc09_special_settlement_khemri_tmb_3
wh2_dlc09_special_settlement_khemri_tmb_4	wh2_dlc09_special_settlement_khemri_tmb_4
wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_special_settlement_khemri_tmb_5
wh2_dlc09_special_settlement_khemri_tmb_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_dlc09_special_settlement_lahmia_tmb_1	wh2_dlc09_special_settlement_lahmia_tmb_1
wh2_dlc09_special_settlement_lahmia_tmb_2	wh2_dlc09_special_settlement_lahmia_tmb_2
wh2_dlc09_special_settlement_lahmia_tmb_3	wh2_dlc09_special_settlement_lahmia_tmb_3
wh2_dlc09_special_settlement_lahmia_tmb_4	wh2_dlc09_special_settlement_lahmia_tmb_4
wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_dlc09_special_settlement_lahmia_tmb_5
wh2_dlc09_special_settlement_lahmia_tmb_ruin	wh2_dlc09_special_settlement_lahmia_tmb_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_1
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_2
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_3
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_4
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_5
wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_floating_ruin
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_1
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_2
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_3
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_4
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_ruin
wh2_dlc09_tmb_port_1	wh2_dlc09_tmb_port_1
wh2_dlc09_tmb_port_2	wh2_dlc09_tmb_port_2
wh2_dlc09_tmb_port_3	wh2_dlc09_tmb_port_3
wh2_dlc09_tmb_port_ruin	wh2_dlc09_tmb_port_ruin
wh2_dlc09_tmb_settlement_major_1	wh2_dlc09_tmb_settlement_major_1
wh2_dlc09_tmb_settlement_major_2	wh2_dlc09_tmb_settlement_major_2
wh2_dlc09_tmb_settlement_major_3	wh2_dlc09_tmb_settlement_major_3
wh2_dlc09_tmb_settlement_major_4	wh2_dlc09_tmb_settlement_major_4
wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5
wh2_dlc09_tmb_settlement_major_ruin	wh2_dlc09_tmb_settlement_major_ruin
wh2_dlc09_tmb_settlement_minor_1	wh2_dlc09_tmb_settlement_minor_1
wh2_dlc09_tmb_settlement_minor_2	wh2_dlc09_tmb_settlement_minor_2
wh2_dlc09_tmb_settlement_minor_3	wh2_dlc09_tmb_settlement_minor_3
wh2_dlc09_tmb_settlement_minor_ruin	wh2_dlc09_tmb_settlement_minor_ruin
wh2_dlc11_special_settlement_galleons_graveyard_1	wh2_dlc11_special_settlement_galleons_graveyard_1
wh2_dlc11_special_settlement_galleons_graveyard_2	wh2_dlc11_special_settlement_galleons_graveyard_2
wh2_dlc11_special_settlement_galleons_graveyard_3	wh2_dlc11_special_settlement_galleons_graveyard_3
wh2_dlc11_special_settlement_galleons_graveyard_4	wh2_dlc11_special_settlement_galleons_graveyard_4
wh2_dlc11_special_settlement_galleons_graveyard_5	wh2_dlc11_special_settlement_galleons_graveyard_5
wh2_dlc11_special_settlement_galleons_graveyard_other_1	wh2_dlc11_special_settlement_galleons_graveyard_other_1
wh2_dlc11_special_settlement_galleons_graveyard_other_ruin	wh2_dlc11_special_settlement_galleons_graveyard_other_ruin
wh2_dlc11_special_settlement_galleons_graveyard_ruin	wh2_dlc11_special_settlement_galleons_graveyard_ruin
wh2_dlc11_vampirecoast_port_1	wh2_dlc11_vampirecoast_port_1
wh2_dlc11_vampirecoast_port_2	wh2_dlc11_vampirecoast_port_2
wh2_dlc11_vampirecoast_port_3	wh2_dlc11_vampirecoast_port_3
wh2_dlc11_vampirecoast_port_ruin	wh2_dlc11_vampirecoast_port_ruin
wh2_dlc11_vampirecoast_settlement_major_1	wh2_dlc11_vampirecoast_settlement_major_1
wh2_dlc11_vampirecoast_settlement_major_2	wh2_dlc11_vampirecoast_settlement_major_2
wh2_dlc11_vampirecoast_settlement_major_3	wh2_dlc11_vampirecoast_settlement_major_3
wh2_dlc11_vampirecoast_settlement_major_4	wh2_dlc11_vampirecoast_settlement_major_4
wh2_dlc11_vampirecoast_settlement_major_5	wh2_dlc11_vampirecoast_settlement_major_5
wh2_dlc11_vampirecoast_settlement_major_ruin	wh2_dlc11_vampirecoast_settlement_major_ruin
wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_settlement_minor_1
wh2_dlc11_vampirecoast_settlement_minor_2	wh2_dlc11_vampirecoast_settlement_minor_2
wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_3
wh2_dlc11_vampirecoast_settlement_minor_ruin	wh2_dlc11_vampirecoast_settlement_minor_ruin
wh2_dlc11_vampirecoast_ship_captains_cabin_1	wh2_dlc11_vampirecoast_ship_captains_cabin_1
wh2_dlc11_vampirecoast_ship_captains_cabin_2	wh2_dlc11_vampirecoast_ship_captains_cabin_2
wh2_dlc11_vampirecoast_ship_captains_cabin_3	wh2_dlc11_vampirecoast_ship_captains_cabin_3
wh2_dlc11_vampirecoast_ship_captains_cabin_4	wh2_dlc11_vampirecoast_ship_captains_cabin_4
wh2_dlc11_vampirecoast_ship_captains_cabin_5	wh2_dlc11_vampirecoast_ship_captains_cabin_5
wh2_dlc12_dummy_nuclear_ruins_0	wh2_dlc12_dummy_nuclear_ruins_0
wh2_dlc12_dummy_nuclear_ruins_1	wh2_dlc12_dummy_nuclear_ruins_1
wh2_dlc12_dummy_nuclear_ruins_2	wh2_dlc12_dummy_nuclear_ruins_2
wh2_dlc12_dummy_nuclear_ruins_3	wh2_dlc12_dummy_nuclear_ruins_3
wh2_dlc12_dummy_nuclear_ruins_4	wh2_dlc12_dummy_nuclear_ruins_4
wh2_dlc12_dummy_nuclear_ruins_5	wh2_dlc12_dummy_nuclear_ruins_5
wh2_dlc12_dummy_nuclear_ruins_lzd_0	wh2_dlc12_dummy_nuclear_ruins_lzd_0
wh2_dlc12_dummy_nuclear_ruins_lzd_1	wh2_dlc12_dummy_nuclear_ruins_lzd_1
wh2_dlc12_dummy_nuclear_ruins_lzd_2	wh2_dlc12_dummy_nuclear_ruins_lzd_2
wh2_dlc12_dummy_nuclear_ruins_lzd_3	wh2_dlc12_dummy_nuclear_ruins_lzd_3
wh2_dlc12_dummy_nuclear_ruins_lzd_4	wh2_dlc12_dummy_nuclear_ruins_lzd_4
wh2_dlc12_dummy_nuclear_ruins_lzd_5	wh2_dlc12_dummy_nuclear_ruins_lzd_5
wh2_dlc12_dummy_nuclear_ruins_tmb_0	wh2_dlc12_dummy_nuclear_ruins_tmb_0
wh2_dlc12_dummy_nuclear_ruins_tmb_1	wh2_dlc12_dummy_nuclear_ruins_tmb_1
wh2_dlc12_dummy_nuclear_ruins_tmb_2	wh2_dlc12_dummy_nuclear_ruins_tmb_2
wh2_dlc12_dummy_nuclear_ruins_tmb_3	wh2_dlc12_dummy_nuclear_ruins_tmb_3
wh2_dlc12_dummy_nuclear_ruins_tmb_4	wh2_dlc12_dummy_nuclear_ruins_tmb_4
wh2_dlc12_dummy_nuclear_ruins_tmb_5	wh2_dlc12_dummy_nuclear_ruins_tmb_5
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_0	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_0
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_1	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_1
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_2	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_2
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_3	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_3
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_4	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_4
wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_5	wh2_dlc12_dummy_nuclear_ruins_tmb_nagash_5
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_0	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_0
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_1	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_1
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_2	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_2
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_3	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_3
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_4	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_4
wh2_dlc12_dummy_nuclear_ruins_tmb_settra_5	wh2_dlc12_dummy_nuclear_ruins_tmb_settra_5
wh2_dlc13_horde_lizardmen_ziggurat_1	wh2_dlc13_horde_lizardmen_ziggurat_1
wh2_dlc13_horde_lizardmen_ziggurat_2	wh2_dlc13_horde_lizardmen_ziggurat_2
wh2_dlc13_horde_lizardmen_ziggurat_3	wh2_dlc13_horde_lizardmen_ziggurat_3
wh2_dlc13_horde_lizardmen_ziggurat_4	wh2_dlc13_horde_lizardmen_ziggurat_4
wh2_dlc13_horde_lizardmen_ziggurat_5	wh2_dlc13_horde_lizardmen_ziggurat_5
wh2_dlc13_horde_lizardmen_ziggurat_minor_1	wh2_dlc13_horde_lizardmen_ziggurat_minor_1
wh2_dlc13_horde_lizardmen_ziggurat_minor_2	wh2_dlc13_horde_lizardmen_ziggurat_minor_2
wh2_dlc13_horde_lizardmen_ziggurat_minor_3	wh2_dlc13_horde_lizardmen_ziggurat_minor_3
wh2_dlc13_lzd_nakai_settlement_major_1	wh2_dlc13_lzd_nakai_settlement_major_1
wh2_dlc13_lzd_nakai_settlement_major_ruin	wh2_dlc13_lzd_nakai_settlement_major_ruin
wh2_dlc13_lzd_nakai_settlement_minor_1	wh2_dlc13_lzd_nakai_settlement_minor_1
wh2_dlc13_lzd_nakai_settlement_minor_ruin	wh2_dlc13_lzd_nakai_settlement_minor_ruin
wh2_dlc13_lzd_port_nakai_itzl	wh2_dlc13_lzd_port_nakai_itzl
wh2_dlc13_lzd_port_nakai_itzl_ruin	wh2_dlc13_lzd_port_nakai_itzl_ruin
wh2_dlc13_lzd_port_nakai_quetzl	wh2_dlc13_lzd_port_nakai_quetzl
wh2_dlc13_lzd_port_nakai_quetzl_ruin	wh2_dlc13_lzd_port_nakai_quetzl_ruin
wh2_dlc13_lzd_port_nakai_xholankha	wh2_dlc13_lzd_port_nakai_xholankha
wh2_dlc13_lzd_port_nakai_xholankha_ruin	wh2_dlc13_lzd_port_nakai_xholankha_ruin
wh2_dlc14_special_copher_port_1	wh2_dlc14_special_copher_port_1
wh2_dlc14_special_copher_port_1_brettonia	wh2_dlc14_special_copher_port_1_brettonia
wh2_dlc14_special_copher_port_2	wh2_dlc14_special_copher_port_2
wh2_dlc14_special_copher_port_2_bretonnia	wh2_dlc14_special_copher_port_2_bretonnia
wh2_dlc14_special_copher_port_ruin	wh2_dlc14_special_copher_port_ruin
wh2_dlc14_special_copher_port_ruin_bretonnia	wh2_dlc14_special_copher_port_ruin_bretonnia
wh2_dlc14_special_dragon_isle_port_1	wh2_dlc14_special_dragon_isle_port_1
wh2_dlc14_special_dragon_isle_port_1_grn	wh2_dlc14_special_dragon_isle_port_1_grn
wh2_dlc14_special_dragon_isle_port_1_tmb	wh2_dlc14_special_dragon_isle_port_1_tmb
wh2_dlc14_special_dragon_isle_port_2	wh2_dlc14_special_dragon_isle_port_2
wh2_dlc14_special_dragon_isle_port_2_grn	wh2_dlc14_special_dragon_isle_port_2_grn
wh2_dlc14_special_dragon_isle_port_2_tmb	wh2_dlc14_special_dragon_isle_port_2_tmb
wh2_dlc14_special_dragon_isle_port_3	wh2_dlc14_special_dragon_isle_port_3
wh2_dlc14_special_dragon_isle_port_3_grn	wh2_dlc14_special_dragon_isle_port_3_grn
wh2_dlc14_special_dragon_isle_port_3_tmb	wh2_dlc14_special_dragon_isle_port_3_tmb
wh2_dlc14_special_dragon_isle_port_ruin	wh2_dlc14_special_dragon_isle_port_ruin
wh2_dlc14_special_dragon_isle_port_ruin_grn	wh2_dlc14_special_dragon_isle_port_ruin_grn
wh2_dlc14_special_dragon_isle_port_ruin_tmb	wh2_dlc14_special_dragon_isle_port_ruin_tmb
wh2_dlc14_under_empire_annexation_plague_cauldron_2	wh2_dlc14_under_empire_annexation_plague_cauldron_1
wh2_dlc15_special_settlement_massif_orcal_brt_1	wh2_dlc15_special_settlement_massif_orcal_brt_1
wh2_dlc15_special_settlement_massif_orcal_brt_2	wh2_dlc15_special_settlement_massif_orcal_brt_2
wh2_dlc15_special_settlement_massif_orcal_brt_3	wh2_dlc15_special_settlement_massif_orcal_brt_3
wh2_dlc15_special_settlement_massif_orcal_brt_4	wh2_dlc15_special_settlement_massif_orcal_brt_4
wh2_dlc15_special_settlement_massif_orcal_brt_5	wh2_dlc15_special_settlement_massif_orcal_brt_5
wh2_dlc15_special_settlement_massif_orcal_brt_ruin	wh2_dlc15_special_settlement_massif_orcal_brt_ruin
wh2_dlc15_special_settlement_massif_orcal_grn_1	wh2_dlc15_special_settlement_massif_orcal_grn_1
wh2_dlc15_special_settlement_massif_orcal_grn_2	wh2_dlc15_special_settlement_massif_orcal_grn_2
wh2_dlc15_special_settlement_massif_orcal_grn_3	wh2_dlc15_special_settlement_massif_orcal_grn_3
wh2_dlc15_special_settlement_massif_orcal_grn_4	wh2_dlc15_special_settlement_massif_orcal_grn_4
wh2_dlc15_special_settlement_massif_orcal_grn_5	wh2_dlc15_special_settlement_massif_orcal_grn_5
wh2_dlc15_special_settlement_massif_orcal_grn_ruin	wh2_dlc15_special_settlement_massif_orcal_grn_ruin
wh2_dlc15_special_settlement_massif_orcal_savage_1	wh2_dlc15_special_settlement_massif_orcal_savage_1
wh2_dlc15_special_settlement_massif_orcal_savage_2	wh2_dlc15_special_settlement_massif_orcal_savage_2
wh2_dlc15_special_settlement_massif_orcal_savage_3	wh2_dlc15_special_settlement_massif_orcal_savage_3
wh2_dlc15_special_settlement_massif_orcal_savage_ruin	wh2_dlc15_special_settlement_massif_orcal_savage_ruin
wh2_dlc15_special_settlement_tor_yvresse_def_1	wh2_dlc15_special_settlement_tor_yvresse_def_1
wh2_dlc15_special_settlement_tor_yvresse_def_2	wh2_dlc15_special_settlement_tor_yvresse_def_2
wh2_dlc15_special_settlement_tor_yvresse_def_3	wh2_dlc15_special_settlement_tor_yvresse_def_3
