building_level	campaign_bmd_layer_group
#building_levels_campaign_bmd_layer_group_junctions_tables;0;db/building_levels_campaign_bmd_layer_group_junctions_tables/data__	
wh2_dlc09_tmb_defence_major_1	settlement_towers_level_1
wh2_dlc09_tmb_defence_major_2	settlement_towers_level_2
wh2_dlc09_tmb_defence_major_3	settlement_towers_level_3
wh2_dlc11_vampirecoast_defence_walls_1	settlement_towers_level_1
wh2_dlc11_vampirecoast_defence_walls_2	settlement_towers_level_2
wh2_dlc11_vampirecoast_defence_walls_3	settlement_towers_level_3
wh2_dlc11_vampirecoast_settlement_major_2	settlement_level_1
wh2_dlc11_vampirecoast_settlement_major_3	settlement_level_2
wh2_dlc11_vampirecoast_settlement_major_4	settlement_level_3
wh2_dlc11_vampirecoast_settlement_major_5	settlement_level_4
wh2_dlc11_vampirecoast_settlement_major_ruin	razed_settlement_generic
wh2_dlc11_vampirecoast_settlement_minor_2	settlement_level_1
wh2_dlc11_vampirecoast_settlement_minor_3	settlement_level_2
wh2_dlc11_vampirecoast_settlement_minor_ruin	razed_settlement_generic
wh2_main_def_defence_major_1	settlement_towers_level_1
wh2_main_def_defence_major_2	settlement_towers_level_2
wh2_main_def_defence_major_3	settlement_towers_level_3
wh2_main_hef_defence_major_1	settlement_towers_level_1
wh2_main_hef_defence_major_2	settlement_towers_level_2
wh2_main_hef_defence_major_3	settlement_towers_level_3
wh2_main_lzd_defence_major_1	settlement_towers_level_1
wh2_main_lzd_defence_major_2	settlement_towers_level_2
wh2_main_lzd_defence_major_3	settlement_towers_level_3
wh2_main_skv_defence_major_1	settlement_towers_level_1
wh2_main_skv_defence_major_2	settlement_towers_level_2
wh2_main_skv_defence_major_3	settlement_towers_level_3
wh2_main_special_empire_fort_chaos_1	settlement_towers_level_1
wh2_main_special_empire_fort_chaos_2	settlement_towers_level_1
wh2_main_special_empire_fort_chaos_3	settlement_towers_level_2
wh2_main_special_empire_fort_chaos_4	settlement_towers_level_3
wh2_main_special_empire_fort_chaos_5	settlement_towers_level_3
wh2_main_special_empire_fort_chaos_ruin	razed_settlement_generic
wh2_main_special_empire_fort_cst_1	settlement_towers_level_1
wh2_main_special_empire_fort_cst_2	settlement_towers_level_1
wh2_main_special_empire_fort_cst_3	settlement_towers_level_2
wh2_main_special_empire_fort_cst_4	settlement_towers_level_3
wh2_main_special_empire_fort_cst_5	settlement_towers_level_3
wh2_main_special_empire_fort_cst_ruin	razed_settlement_generic
wh2_main_special_empire_fort_emp_1	settlement_towers_level_1
wh2_main_special_empire_fort_emp_2	settlement_towers_level_1
wh2_main_special_empire_fort_emp_3	settlement_towers_level_2
wh2_main_special_empire_fort_emp_4	settlement_towers_level_3
wh2_main_special_empire_fort_emp_5	settlement_towers_level_3
wh2_main_special_empire_fort_emp_ruin	razed_settlement_generic
wh2_main_special_empire_fort_skaven_1	settlement_towers_level_1
wh2_main_special_empire_fort_skaven_2	settlement_towers_level_1
wh2_main_special_empire_fort_skaven_3	settlement_towers_level_2
wh2_main_special_empire_fort_skaven_4	settlement_towers_level_3
wh2_main_special_empire_fort_skaven_5	settlement_towers_level_3
wh2_main_special_empire_fort_skaven_ruin	razed_settlement_generic
wh2_main_special_empire_fort_untainted_1	settlement_towers_level_1
wh2_main_special_empire_fort_untainted_2	settlement_towers_level_1
wh2_main_special_empire_fort_untainted_3	settlement_towers_level_2
wh2_main_special_empire_fort_untainted_4	settlement_towers_level_3
wh2_main_special_empire_fort_untainted_5	settlement_towers_level_3
wh2_main_special_empire_fort_untainted_ruin	razed_settlement_generic
wh2_main_special_empire_fort_vmp_1	settlement_towers_level_1
wh2_main_special_empire_fort_vmp_2	settlement_towers_level_1
wh2_main_special_empire_fort_vmp_3	settlement_towers_level_2
wh2_main_special_empire_fort_vmp_4	settlement_towers_level_3
wh2_main_special_empire_fort_vmp_5	settlement_towers_level_3
wh2_main_special_empire_fort_vmp_ruin	razed_settlement_generic
wh2_main_special_empire_fort_wef_1	settlement_towers_level_1
wh2_main_special_empire_fort_wef_ruin	razed_settlement_generic
wh2_main_special_fortress_gate_eagle_chaos_2	settlement_towers_level_1
wh2_main_special_fortress_gate_eagle_chaos_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_chaos_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_chaos_5	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_chd_2	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_chd_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_chd_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_chd_5	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_cst_2	settlement_towers_level_1
wh2_main_special_fortress_gate_eagle_cst_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_cst_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_cst_5	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_hef_1	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_hef_2	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_hef_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_hef_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_hef_5	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_skaven_2	settlement_towers_level_1
wh2_main_special_fortress_gate_eagle_skaven_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_skaven_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_skaven_5	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_vmp_2	settlement_towers_level_1
wh2_main_special_fortress_gate_eagle_vmp_3	settlement_towers_level_2
wh2_main_special_fortress_gate_eagle_vmp_4	settlement_towers_level_3
wh2_main_special_fortress_gate_eagle_vmp_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_chaos_2	settlement_towers_level_1
wh2_main_special_fortress_gate_griffon_chaos_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_chaos_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_chaos_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_chd_2	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_chd_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_chd_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_chd_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_cst_2	settlement_towers_level_1
wh2_main_special_fortress_gate_griffon_cst_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_cst_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_cst_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_hef_1	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_hef_2	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_hef_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_hef_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_hef_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_skaven_2	settlement_towers_level_1
wh2_main_special_fortress_gate_griffon_skaven_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_skaven_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_skaven_5	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_vmp_2	settlement_towers_level_1
wh2_main_special_fortress_gate_griffon_vmp_3	settlement_towers_level_2
wh2_main_special_fortress_gate_griffon_vmp_4	settlement_towers_level_3
wh2_main_special_fortress_gate_griffon_vmp_5	settlement_towers_level_3
wh2_main_special_fortress_gate_phoenix_chaos_2	settlement_towers_level_1
wh2_main_special_fortress_gate_phoenix_chaos_3	settlement_towers_level_2
wh2_main_special_fortress_gate_phoenix_chaos_4	settlement_towers_level_3
