cai_construction_system_strategic_context_policy	cai_construction_system_template	cai_strategic_context
#cai_construction_system_strategic_context_template_policy_junctions_tables;0;db/cai_construction_system_strategic_context_template_policy_junctions_tables/data__		
cai_cs_basic_context_template_assignment_policy	cai_construction_system_template_basic_military	cai_strategic_context_type_last_stand
cai_cs_basic_context_template_assignment_policy	cai_construction_system_template_basic_economic	cai_strategic_context_type_peace
cai_cs_basic_context_template_assignment_policy	cai_construction_system_template_basic_balanced	cai_strategic_context_type_tension
cai_cs_basic_context_template_assignment_policy	cai_construction_system_template_basic_military	cai_strategic_context_type_total_war
cai_cs_basic_context_template_assignment_policy	cai_construction_system_template_basic_military	cai_strategic_context_type_war
cai_cs_coc_context_template_assignment_policy	cai_construction_system_template_coc_balanced	cai_strategic_context_type_last_stand
cai_cs_coc_context_template_assignment_policy	cai_construction_system_template_coc_balanced	cai_strategic_context_type_peace
cai_cs_coc_context_template_assignment_policy	cai_construction_system_template_coc_balanced	cai_strategic_context_type_tension
cai_cs_coc_context_template_assignment_policy	cai_construction_system_template_coc_balanced	cai_strategic_context_type_total_war
cai_cs_coc_context_template_assignment_policy	cai_construction_system_template_coc_balanced	cai_strategic_context_type_war
cai_cs_economist_context_template_assignment_policy	cai_construction_system_template_economist_military	cai_strategic_context_type_last_stand
cai_cs_economist_context_template_assignment_policy	cai_construction_system_template_economist_economic	cai_strategic_context_type_peace
cai_cs_economist_context_template_assignment_policy	cai_construction_system_template_economist_balanced	cai_strategic_context_type_tension
cai_cs_economist_context_template_assignment_policy	cai_construction_system_template_economist_military	cai_strategic_context_type_total_war
cai_cs_economist_context_template_assignment_policy	cai_construction_system_template_economist_military	cai_strategic_context_type_war
cai_cs_militaristic_context_template_assignment_policy	cai_construction_system_template_militaristic_military	cai_strategic_context_type_last_stand
cai_cs_militaristic_context_template_assignment_policy	cai_construction_system_template_militaristic_economic	cai_strategic_context_type_peace
cai_cs_militaristic_context_template_assignment_policy	cai_construction_system_template_militaristic_balanced	cai_strategic_context_type_tension
cai_cs_militaristic_context_template_assignment_policy	cai_construction_system_template_militaristic_military	cai_strategic_context_type_total_war
cai_cs_militaristic_context_template_assignment_policy	cai_construction_system_template_militaristic_military	cai_strategic_context_type_war
