region_hint_group_key	region_hint_profile_key
#cai_region_hint_profiles_to_region_hint_groups_tables;0;db/cai_region_hint_profiles_to_region_hint_groups_tables/data__	
DLC10_CAPTURE_VICTORY_CONDITIONS_SHRINE	DLC10_REGION_HINT_PROFILE_SHRINE
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN
CAPTURE_VICTORY_CONDITION_REGIONS_BRT	REGION_HINT_PROFILE_BRT
CAPTURE_VICTORY_CONDITION_REGIONS_BST	REGION_HINT_PROFILE_BST
CAPTURE_VICTORY_CONDITION_REGIONS_BST_ALLY	REGION_HINT_PROFILE_BST_ALLY
CAPTURE_VICTORY_CONDITION_REGIONS_BST_CHAOS	REGION_HINT_PROFILE_BST_CHAOS
CAPTURE_VICTORY_CONDITION_REGIONS_DEF	REGION_HINT_PROFILE_DEF
CAPTURE_VICTORY_CONDITION_REGIONS_DWF	REGION_HINT_PROFILE_DWF
CAPTURE_VICTORY_CONDITIONS_EMP	REGION_HINT_PROFILE_EMP
CAPTURE_VICTORY_CONDITIONS_HEF	REGION_HINT_PROFILE_HEF
CAPTURE_VICTORY_CONDITIONS_HEF	REGION_HINT_PROFILE_HEF_NONGUARDIAN
CAPTURE_VICTORY_CONDITIONS_KHALIDA	REGION_HINT_PROFILE_KHALIDA
CAPTURE_VICTORY_CONDITION_REGIONS_LZD	REGION_HINT_PROFILE_LZD
CAPTURE_VICTORY_CONDITION_REGIONS_SKV	REGION_HINT_PROFILE_SKV
CAPTURE_VICTORY_CONDITIONS_COMMON_OAK	REGION_HINT_PROFILE_SKV_COMMON_OAK
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_TMB	REGION_HINT_PROFILE_TMB
CAPTURE_VICTORY_CONDITIONS_TMB	REGION_HINT_PROFILE_TMB
wh3_main_region_hint_group_capture_other_subculture_Cathay	wh3_main_region_hint_profile_Cathay
wh3_main_region_hint_group_capture_other_subculture_Chaos_vs_Cathay	wh3_main_region_hint_profile_Chaos_vs_Cathay
wh3_main_region_hint_group_capture_other_subculture_Chaos	wh3_main_region_hint_profile_Chaos
wh3_main_region_hint_group_capture_other_subculture_Daemon_Prince	wh3_main_region_hint_profile_Daemon_Prince
wh3_main_region_hint_group_capture_other_subculture_Greenskin	wh3_main_region_hint_profile_Greenskin
wh3_main_region_hint_group_capture_other_subculture_Khorne	wh3_main_region_hint_profile_Khorne
wh3_main_region_hint_group_capture_other_subculture_Norsca	wh3_main_region_hint_profile_Norsca
wh3_main_region_hint_group_capture_other_subculture_Nurgle	wh3_main_region_hint_profile_Nurgle
wh3_main_region_hint_group_capture_other_subculture_Ogre	wh3_main_region_hint_profile_Ogre
wh3_main_region_hint_group_capture_other_subculture_Slaanesh	wh3_main_region_hint_profile_Slaanesh
wh3_main_region_hint_group_capture_other_subculture_Tzeentch	wh3_main_region_hint_profile_Tzeentch
wh3_main_region_hint_profile_theatre_ulthuan	wh3_main_region_hint_profile_theatre_ulthuan
