cai_variable_key	campaign_key	optional_campaign_type	optional_difficulty_level	value
#cai_variables_overides_tables;0;db/cai_variables_overides_tables/data__				
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	wh3_main_chaos		-1	1.2500
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	wh3_main_chaos		-2	1.7500
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	wh3_main_chaos		-3	2.5000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	wh3_main_chaos		-1	1.0500
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	wh3_main_chaos		0	1.0500
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	wh3_main_chaos		1	1.0500
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	wh3_main_chaos		-1	0.9500
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	wh3_main_chaos		0	0.8500
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	wh3_main_chaos		1	0.7000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	wh3_main_chaos		-1	1.1000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	wh3_main_chaos		0	1.1000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	wh3_main_chaos		1	1.1000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	wh3_main_chaos		-1	0.9000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	wh3_main_chaos		0	0.8000
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	wh3_main_chaos		1	0.5500
