battle_context_key	force_status_key	is_yours
#campaign_bonus_value_battle_context_force_status_junctions_tables;0;db/campaign_bonus_value_battle_context_force_status_junctions_tables/data__		
fighting_force_status_theirs_besieging	defending	true
fighting_force_status_yours_ambushing	ambushing	true
fighting_force_status_yours_attacking_at_sea	attacking	true
fighting_force_status_yours_attacking_at_sea	sea	true
fighting_force_status_yours_attacking_lightning_strike	attacking	true
fighting_force_status_yours_attacking	attacking	true
fighting_force_status_yours_besieging	beseiging	true
fighting_force_status_yours_defending	defending	true
fighting_territory_enemy_or_neutral_or_allied_army	land	true
fighting_territory_enemy_or_neutral_or_allied_army	sea	true
