key	campaign_key	faction_key	resource_filepath	is_benchmark
#campaign_cinematic_resources_tables;2;db/campaign_cinematic_resources_tables/data__				
bloodthirster_reveal	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/bloodthirster_reveal.CindySceneManager	false
campaign_benchmark_01	wh3_main_chaos		script/benchmarks/campaign_benchmark/scenes/scene_file_01.CindyScene	true
campaign_benchmark_ie_01	wh3_main_combi		script/benchmarks/ie_benchmark/scenes/scene_file_01.CindyScene	true
campaign_benchmark_prologue	wh3_main_prologue		script/benchmarks/prologue_benchmark/scenes/prologue_scene.CindyScene	true
chs_azazel	wh3_main_chaos	wh3_dlc20_chs_azazel	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_azazel/managers/chs_azazel.CindySceneManager	false
chs_festus	wh3_main_chaos	wh3_dlc20_chs_festus	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_festus/managers/chs_festus.CindySceneManager	false
chs_prince	wh3_main_chaos	wh3_main_dae_daemon_prince	script/campaign/wh3_main_chaos/factions/wh3_main_dae_daemon_prince/managers/chs_prince.CindySceneManager	false
chs_skarbrand	wh3_main_chaos	wh3_main_kho_exiles_of_khorne	script/campaign/wh3_main_chaos/factions/wh3_main_kho_exiles_of_khorne/managers/chs_skarbrand.CindySceneManager	false
chs_valkia	wh3_main_chaos	wh3_dlc20_chs_valkia	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_valkia/managers/chs_valkia.CindySceneManager	false
chs_vilitch	wh3_main_chaos	wh3_dlc20_chs_vilitch	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_vilitch/managers/chs_vilitch.CindySceneManager	false
citadel_reveal_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/citadel_reveal_01.CindySceneManager	false
cth_miaoying	wh3_main_chaos	wh3_main_cth_the_northern_provinces	script/campaign/wh3_main_chaos/factions/wh3_main_cth_the_northern_provinces/managers/cth_miaoying.CindySceneManager	false
cth_zhaoming	wh3_main_chaos	wh3_main_cth_the_western_provinces	script/campaign/wh3_main_chaos/factions/wh3_main_cth_the_western_provinces/managers/cth_zhaoming.CindySceneManager	false
intro_sh01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/intro_sh01.CindyScene	false
ksl_boris	wh3_main_chaos	wh3_main_ksl_ursun_revivalists	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_ursun_revivalists/managers/ksl_boris.CindySceneManager	false
ksl_ice_court	wh3_main_chaos	wh3_main_ksl_the_ice_court	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_the_ice_court/managers/ksl_ice_court.CindySceneManager	false
ksl_kostaltyn	wh3_main_chaos	wh3_main_ksl_the_great_orthodoxy	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_the_great_orthodoxy/managers/ksl_kostaltyn.CindySceneManager	false
