member	attitude
#campaign_group_member_criteria_diplomatic_attitudes_tables;0;db/campaign_group_member_criteria_diplomatic_attitudes_tables/data__	
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDwarf_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionEmpire_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionGreenskin_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionHighElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionLizardmen_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionSkaven_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionTombKings_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVamp_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionVampireCoast_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionWoodElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDwarf_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionEmpire_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionGreenskin_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionHighElves_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionLizardmen_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionSkaven_&_Positive	friendly
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Negative	hostile
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionTombKings_&_Positive	friendly
