member	force_type
#campaign_group_member_criteria_military_force_types_tables;0;db/campaign_group_member_criteria_military_force_types_tables/data__	
wh3_main_ogr_meat	ARMY
wh3_main_winds_of_magic_ARMY	ARMY
wh3_main_winds_of_magic_ARMY_UNIQUE_NO_UPKEEP	ARMY_UNIQUE_NO_UPKEEP
wh3_main_winds_of_magic_CHARACTER_BOUND_HORDE	CHARACTER_BOUND_HORDE
wh3_main_winds_of_magic_DISCIPLE_ARMY	DISCIPLE_ARMY
wh3_main_winds_of_magic_HORDE	HORDE
wh3_main_winds_of_magic_HORDE_KHAZRAK	HORDE_KHAZRAK
wh3_main_winds_of_magic_HORDE_MALAGOR	HORDE_MALAGOR
wh3_main_winds_of_magic_HORDE_MORGHUR	HORDE_MORGHUR
wh3_main_winds_of_magic_HORDE_TAUROX	HORDE_TAUROX
wh3_main_winds_of_magic_NAKAI_BOUND_HORDE	NAKAI_BOUND_HORDE
wh3_main_winds_of_magic_NAVAL_HORDE	NAVAL_HORDE
wh3_main_winds_of_magic_NAVY	NAVY
wh3_main_winds_of_magic_OXYOTL	OXYOTL
wh3_main_winds_of_magic_SEA_LOCKED_HORDE	SEA_LOCKED_HORDE
wh3_main_winds_of_magic_SPECIALIST_HORDE	SPECIALIST_HORDE
wh3_main_winds_of_magic_SUPPORT_ARMY	SUPPORT_ARMY
