member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/data__	
brt_chivalry_1	brt_chivalry
brt_chivalry_2	brt_chivalry
brt_chivalry_3	brt_chivalry
brt_chivalry_4	brt_chivalry
brt_chivalry_5	brt_chivalry
wh2_dlc09_pooled_resource_canopic	tmb_canopic_jars
wh2_dlc10_pooled_resource_oathgold	dwf_oathgold
wh2_dlc11_vmp_pooled_resource_blood_kiss	vmp_blood_kiss
wh2_dlc12_skv_pooled_resource_nuke	skv_nuke
wh2_dlc12_skv_pooled_resource_reactor_core	skv_reactor_core
wh2_dlc13_pooled_resource_imperial_authority_1	emp_imperial_authority
wh2_dlc13_pooled_resource_imperial_authority_2	emp_imperial_authority
wh2_dlc13_pooled_resource_imperial_authority_3	emp_imperial_authority
wh2_dlc13_pooled_resource_imperial_authority_4	emp_imperial_authority
wh2_dlc13_pooled_resource_imperial_authority_5	emp_imperial_authority
wh2_dlc13_pooled_resource_imperial_authority_6	emp_imperial_authority
wh2_dlc13_progress_level_0	emp_progress
wh2_dlc13_progress_level_1	emp_progress
wh2_dlc13_progress_level_2	emp_progress
wh2_dlc13_progress_level_3	emp_progress
wh2_dlc13_progress_level_4	emp_progress
wh2_dlc13_progress_level_5	emp_progress
wh2_dlc13_wanted_level_0	emp_wanted
wh2_dlc13_wanted_level_1	emp_wanted
wh2_dlc13_wanted_level_2	emp_wanted
wh2_dlc13_wanted_level_3	emp_wanted
wh2_dlc13_wanted_level_4	emp_wanted
wh2_dlc13_wanted_level_5	emp_wanted
wh2_dlc14_pooled_resource_eshin_reputation_mors_1	skv_clan_mors
wh2_dlc14_pooled_resource_eshin_reputation_mors_2	skv_clan_mors
wh2_dlc14_pooled_resource_eshin_reputation_mors_3	skv_clan_mors
wh2_dlc14_pooled_resource_eshin_reputation_mors_4	skv_clan_mors
wh2_dlc14_pooled_resource_eshin_reputation_mors_5	skv_clan_mors
