key	marker_type
#campaign_interactable_marker_infos_tables;1;db/campaign_interactable_marker_infos_tables/data__	
dragon_marker	dragon_marker
encounter_marker_1	island_01
encounter_marker_10	island_10
encounter_marker_11	island_11
encounter_marker_12	island_12
encounter_marker_13	island_13
encounter_marker_15	island_15
encounter_marker_16	island_16
encounter_marker_17	island_17
encounter_marker_18	island_18
encounter_marker_19	island_19
encounter_marker_2	island_02
encounter_marker_20	island_20
encounter_marker_21	island_21
encounter_marker_22	island_22
encounter_marker_23	island_23
encounter_marker_24	island_24
encounter_marker_25	island_25
encounter_marker_26	island_26
encounter_marker_27	island_27
encounter_marker_28	island_28
encounter_marker_29	island_29
encounter_marker_3	island_03
encounter_marker_30	island_30
encounter_marker_31	island_31
encounter_marker_32	island_32
encounter_marker_4	island_04
encounter_marker_5	island_05
encounter_marker_6	island_06
encounter_marker_7	island_07
encounter_marker_8	island_08
encounter_marker_9	island_09
endgame_vermintide_marker	interactable_marker
food_merchant	food_merchant
gotrek_marker	gotrek_marker
invasion_marker_1	imminent_invasion_level3
invasion_marker_2	imminent_invasion_level2
invasion_marker_3	imminent_invasion_level1
oxyotl_chaos_mission	oxyotl_mission_marker
prologue_marker_1	prologue_test_marker
tzeentch_poi_marker_dead_king	chaos_realm_aoi_marker
tzeentch_poi_marker_eternity_stair	chaos_realm_aoi_marker
tzeentch_poi_marker_eyrie	chaos_realm_aoi_marker
tzeentch_poi_marker_heavenward	chaos_realm_aoi_marker
tzeentch_poi_marker_iron_knight	chaos_realm_aoi_marker
tzeentch_poi_marker_liars_monolith	chaos_realm_aoi_marker
wh3_main_kho_machina_daemonium	chaos_realm_aoi_marker
wh3_main_kho_skull_of_the_first	chaos_realm_aoi_marker
wh3_main_kho_skull_pile	wh3_main_kho_skull_pile
wh3_main_kho_tree_of_souls	chaos_realm_aoi_marker
wh3_main_kho_wrathgate	chaos_realm_aoi_marker
wh3_main_nur_arghus_the_plague_moon	chaos_realm_aoi_marker
wh3_main_nur_lair_of_the_maggot_lord	chaos_realm_aoi_marker
wh3_main_nur_the_great_tree	chaos_realm_aoi_marker
wh3_main_nur_the_septic_isle	chaos_realm_aoi_marker
wh3_main_sla_portal	wh3_main_sla_portal
wh3_main_tze_waystone	wh3_main_tze_waystone
worldroots_encounter	imminent_invasion_level1
