campaign_map_event_area	region	province	exclude
#campaign_map_event_area_province_region_junctions_tables;0;db/campaign_map_event_area_province_region_junctions_tables/data__			
wh3_dlc20_combi_province_frigid_wasteland_crater		wh3_dlc20_combi_province_frigid_wasteland	false
wh3_dlc20_combi_province_middle_mountains_chasm		wh3_dlc20_combi_province_middle_mountains	false
wh3_dlc29_combi_province_east_mountains_of_heaven_chasm			false
wh3_dlc29_combi_province_kraken_coast_crater		wh3_dlc29_combi_province_kraken_coast	false
wh3_dlc29_combi_province_west_mountains_of_heaven_chasm			false
wh3_main_combi_province_albion_crater		wh3_main_combi_province_albion	false
wh3_main_combi_province_ancient_giant_lands_fire		wh3_main_combi_province_ancient_giant_lands	false
wh3_main_combi_province_ashen_coast_chasm		wh3_main_combi_province_ashen_coast	false
wh3_main_combi_province_atalan_mountains_chasm		wh3_main_combi_province_atalan_mountains	false
wh3_main_combi_province_avelorn_chasm		wh3_main_combi_province_avelorn	false
wh3_main_combi_province_averland_fire		wh3_main_combi_province_averland	false
wh3_main_combi_province_aymara_swamps_crater		wh3_main_combi_province_aymara_swamps	false
wh3_main_combi_province_barrier_idols_chasm		wh3_main_combi_province_barrier_idols	false
wh3_main_combi_province_barrows_of_cuileux_crater		wh3_main_combi_province_barrows_of_cuileux	false
wh3_main_combi_province_bastonne_chasm		wh3_main_combi_province_bastonne	false
wh3_main_combi_province_black_blood_pass_chasm		wh3_main_combi_province_black_blood_pass	false
wh3_main_combi_province_black_mountains_fire		wh3_main_combi_province_black_mountains	false
wh3_main_combi_province_black_water_chasm		wh3_main_combi_province_black_water	false
wh3_main_combi_province_blightwater_crater		wh3_main_combi_province_blightwater	false
wh3_main_combi_province_blood_river_valley_crater		wh3_main_combi_province_blood_river_valley	false
wh3_main_combi_province_bloodfire_falls_fire		wh3_main_combi_province_bloodfire_falls	false
wh3_main_combi_province_bone_road_fire		wh3_main_combi_province_bone_road	false
wh3_main_combi_province_broken_lands_of_tian_li_chasm		wh3_main_combi_province_broken_lands_of_tian_li	false
wh3_main_combi_province_broken_teeth_crater		wh3_main_combi_province_broken_teeth	false
wh3_main_combi_province_caledor_fire		wh3_main_combi_province_caledor	false
wh3_main_combi_province_carcassonne_crater		wh3_main_combi_province_carcassonne	false
wh3_main_combi_province_cathayan_hinterlands_chasm		wh3_main_combi_province_cathayan_hinterlands	false
wh3_main_combi_province_celestial_lake_fire		wh3_main_combi_province_celestial_lake	false
wh3_main_combi_province_celestial_riverlands_crater		wh3_main_combi_province_celestial_riverlands	false
