group	marker_type	file
#campaign_markers_tables;2;db/campaign_markers_tables/data__		
wh_main_feature_all	area_of_interest_red	prefabs\campaign\wh3_dlc25_campaign_malakai_marker.bmd
wh_main_feature_all	chaos_realm_aoi_marker	prefabs\campaign\chaos_poi_marker.bmd
wh_main_feature_all	dragon_marker	prefabs/campaign/dragon_battle_marker.bmd
wh_main_feature_all	famous_battle_event_marker	prefabs/campaign/famous_battle_marker.bmd
wh_main_feature_all	food_merchant	prefabs/campaign/food_merchant.bmd
wh_main_feature_all	forest_encounters	prefabs\campaign\forest_encounters.bmd
wh3_main_gotrek_felix_marker_available_cultures	gotrek_marker	prefabs/campaign/gotrek_felix.bmd
wh3_dlc24_cth_empowered_compass_invasion_markers	imminent_invasion_level1	prefabs\campaign\cth_imminent_invasion_level1.bmd
wh_main_feature_all	imminent_invasion_level1	prefabs\campaign\imminent_invasion_level1.bmd
wh3_dlc24_cth_empowered_compass_invasion_markers	imminent_invasion_level2	prefabs\campaign\cth_imminent_invasion_level2.bmd
wh_main_feature_all	imminent_invasion_level2	prefabs\campaign\imminent_invasion_level2.bmd
wh3_dlc24_cth_empowered_compass_invasion_markers	imminent_invasion_level3	prefabs\campaign\cth_imminent_invasion_level3.bmd
wh_main_feature_all	imminent_invasion_level3	prefabs\campaign\imminent_invasion_level3.bmd
wh_main_feature_all	interactable_marker	prefabs/campaign/quest_battle_marker.bmd
wh_main_feature_all	island_01	prefabs/campaign/island_01.bmd
wh_main_feature_all	island_02	prefabs/campaign/island_02.bmd
wh_main_feature_all	island_03	prefabs/campaign/island_03.bmd
wh_main_feature_all	island_04	prefabs/campaign/island_04.bmd
wh_main_feature_all	island_05	prefabs/campaign/island_05.bmd
wh_main_feature_all	island_06	prefabs/campaign/island_06.bmd
wh_main_feature_all	island_07	prefabs/campaign/island_07.bmd
wh_main_feature_all	island_08	prefabs/campaign/island_08.bmd
wh_main_feature_all	island_09	prefabs/campaign/island_09.bmd
wh_main_feature_all	island_10	prefabs/campaign/island_10.bmd
wh_main_feature_all	island_11	prefabs/campaign/island_11.bmd
wh_main_feature_all	island_12	prefabs/campaign/island_12.bmd
wh_main_feature_all	island_13	prefabs/campaign/island_13.bmd
wh_main_feature_all	island_15	prefabs/campaign/island_15.bmd
wh_main_feature_all	island_16	prefabs/campaign/island_16.bmd
wh_main_feature_all	island_17	prefabs/campaign/island_17.bmd
wh_main_feature_all	island_18	prefabs/campaign/island_18.bmd
wh_main_feature_all	island_19	prefabs/campaign/island_19.bmd
wh_main_feature_all	island_20	prefabs/campaign/island_20.bmd
wh_main_feature_all	island_21	prefabs/campaign/island_21.bmd
wh_main_feature_all	island_22	prefabs/campaign/island_22.bmd
wh_main_feature_all	island_23	prefabs/campaign/island_23.bmd
wh_main_feature_all	island_24	prefabs/campaign/island_24.bmd
wh_main_feature_all	island_25	prefabs/campaign/island_25.bmd
wh_main_feature_all	island_26	prefabs/campaign/island_26.bmd
wh_main_feature_all	island_27	prefabs/campaign/island_27.bmd
wh_main_feature_all	island_28	prefabs/campaign/island_28.bmd
wh_main_feature_all	island_29	prefabs/campaign/island_29.bmd
wh_main_feature_all	island_30	prefabs/campaign/island_30.bmd
wh_main_feature_all	island_31	prefabs/campaign/island_31.bmd
wh_main_feature_all	island_32	prefabs/campaign/island_32.bmd
wh_main_feature_all	mission_quest_marker	prefabs/campaign/quest_battle_marker.bmd
wh_main_feature_all	nemesis_crown_marker	prefabs/campaign/wh3_dlc25_campaign_nemesis_crown_marker.bmd
wh_main_feature_all	oxyotl_mission_marker	prefabs/campaign/campaign_oxyotl_marker.bmd
wh_main_feature_all	prologue_test_marker	prefabs/campaign/quest_battle_marker.bmd
wh_main_feature_all	wh3_main_kho_skull_pile	prefabs/campaign/kho_skull_pile.bmd
wh_main_feature_all	wh3_main_sla_portal	prefabs/campaign/collision_cube.bmd
wh_main_feature_all	wh3_main_tze_waystone	prefabs/campaign/tze_waystone.bmd
