id	head_material	shaft_material
#campaign_movement_spline_materials_tables;1;db/campaign_movement_spline_materials_tables/data__		
1	materials/ui/arrow_head_turn_1.xml.material	materials/ui/arrow_shaft_turn_1.xml.material
10	materials/ui/arrow_head_turn_5.xml.material	materials/ui/arrow_shaft_turn_5.xml.material
2	materials/ui/arrow_head_turn_2.xml.material	materials/ui/arrow_shaft_turn_2.xml.material
3	materials/ui/arrow_head_turn_3.xml.material	materials/ui/arrow_shaft_turn_3.xml.material
4	materials/ui/arrow_head_turn_4.xml.material	materials/ui/arrow_shaft_turn_4.xml.material
5	materials/ui/arrow_head_turn_5.xml.material	materials/ui/arrow_shaft_turn_5.xml.material
6	materials/ui/arrow_head_turn_1.xml.material	materials/ui/arrow_shaft_turn_1.xml.material
7	materials/ui/arrow_head_turn_2.xml.material	materials/ui/arrow_shaft_turn_2.xml.material
8	materials/ui/arrow_head_turn_3.xml.material	materials/ui/arrow_shaft_turn_3.xml.material
9	materials/ui/arrow_head_turn_4.xml.material	materials/ui/arrow_shaft_turn_4.xml.material
