payload_key	priority	plan_type	application_phase
#campaign_payload_chaotic_plans_tables;0;db/campaign_payload_chaotic_plans_tables/data__			
wh3_dlc29_any_action_draw_warlock_negative_low_chance	15		drawn_in_plan_single_application
wh3_dlc29_any_red_alarm_action_cost_1	15		drawn_in_plan_single_application
wh3_dlc29_any_red_alarm_action_cost_1_single_turn	15		drawn_in_plan_single_application
wh3_dlc29_any_red_alarm_action_cost_2	15		drawn_in_plan_single_application
wh3_dlc29_any_red_alarm_action_cost_2_single_turn	15		drawn_in_plan_single_application
wh3_dlc29_any_red_attention_generated_chance_on_token	20		drawn_in_plan_single_application
wh3_dlc29_bundle_action_increase_drawn_tokens	15		drawn_in_plan_single_application
wh3_dlc29_magic_summon_verminlord_corruptor_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_corruptor_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_corruptor_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_corruptor_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_corruptor_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_deceiver_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_deceiver_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_deceiver_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_deceiver_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_deceiver_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_eshin_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_eshin_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_eshin_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_eshin_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_eshin_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_moulder_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_moulder_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_moulder_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_moulder_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_moulder_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_pestilens_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_pestilens_3	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_pestilens_4	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_pestilens_5	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_skryre_1	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_skryre_2	1		drawn_in_plan
wh3_dlc29_magic_summon_verminlord_piece_skryre_3	1		drawn_in_plan
