payload	resource_transaction	apply_immediately	duration	required
#campaign_payload_resource_transactions_tables;0;db/campaign_payload_resource_transactions_tables/data__				
wh3_dlc20_payload_eye_of_the_gods_progress_cost	wh3_dlc20_ritual_eye_of_the_gods_required	true	-1	false
wh3_dlc20_ritual_tze_cotw_vilitch_drain_magic	wh3_main_tunnel_tze_winds_of_magic	true	-1	false
wh3_dlc23_ritual_chd_labour_example_upgraded	wh3_dlc23_ritual_chd_set_example_labour_cost	true	-1	true
wh3_dlc23_ritual_chd_labour_example	wh3_dlc23_ritual_chd_set_example_labour_cost	true	-1	true
wh3_dlc23_ritual_chd_labour_gift_zhar_naggrund_upgraded	wh3_dlc23_ritual_chd_gain_conf_inf_labour_cost	true	-1	true
wh3_dlc23_ritual_chd_labour_gift_zhar_naggrund	wh3_dlc23_ritual_chd_gain_conf_inf_labour_cost	true	-1	true
wh3_dlc23_ritual_chd_labour_sell_upgraded	wh3_dlc23_ritual_chd_sell_labour_reward_labour_cost	true	-1	true
wh3_dlc23_ritual_chd_labour_sell	wh3_dlc23_ritual_chd_sell_labour_reward_labour_cost	true	-1	true
wh3_main_compass_desert	wh3_main_compas_remove_corruption	true	-1	false
wh3_main_nor_dilemma_crow	nor_dilemma_crow	true	-1	false
wh3_main_nor_dilemma_eagle	nor_dilemma_eagle	true	-1	false
wh3_main_nor_dilemma_hound	nor_dilemma_hound	true	-1	false
wh3_main_nor_dilemma_serpent	nor_dilemma_serpent	true	-1	false
