category	chain	order
#chaotic_plan_shop_category_to_object_chain_junctions_tables;0;db/chaotic_plan_shop_category_to_object_chain_junctions_tables/data__		
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_action_any_remove_red	3
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_any_action_assassin_sell_instant	11
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_economic_green_eshin_all	8
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_economy_action_assassin_draw	7
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_action_assassin	5
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_action_assassin_draw	9
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_action_eshin_sorcerer	4
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_green_death_runners	2
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_green_eshin_runners	1
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_green_eshin_triads_dlc	6
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_mod_pool_basic_infantry_spears	0
wh3_dlc29_skv_shop_assassin	wh3_dlc29_shop_military_mod_pool_stormvermin_rank_9	10
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_military_mod_pool_clanrats_grey_seer	1
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_economic_action_instant_warpstone	8
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_economic_green_rictus_warpstone	6
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large	10
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_magic_draw_combo_piece_verminlord	9
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_magic_summon_verminlord	5
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_action_skill_grey_seer_draw_units	0
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes	11
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination	7
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_green_basic_pusbags	2
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc	3
wh3_dlc29_skv_shop_grey_seer	wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult	4
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_any_action_experience	0
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp	7
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp	6
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_rank_up_artillery	5
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_rank_up_melee_infantry	1
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_rank_up_missile_infantry	2
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_rank_up_monsters	3
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_shop_rank_up_weapon_teams	4
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_eshin	12
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_mors	8
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_moulder	13
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_pestilens	9
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_rictus	10
wh3_dlc29_skv_shop_thanquol	wh3_dlc29_skv_shop_final_battle_support_skryre	11
wh3_dlc29_skv_shop_warlock	wh3_dlc29_economic_action_draw_warlock	10
wh3_dlc29_skv_shop_warlock	wh3_dlc29_military_mod_pool_cannons_warlock	7
wh3_dlc29_skv_shop_warlock	wh3_dlc29_military_mod_pool_stormfiends_warlock	5
wh3_dlc29_skv_shop_warlock	wh3_dlc29_military_upgrade_double_units_warlock	11
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_any_action_skill_copy_green	6
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_economic_green_skryre_treasury	9
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_economic_green_skryre_warpstone	2
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_military_action_skill_spawn_warp_doom_magma_cannon	8
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_military_green_poison_wind_globadiers	1
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc	4
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_military_green_skryre_warpfire_throwers	0
wh3_dlc29_skv_shop_warlock	wh3_dlc29_shop_military_green_warp_grinders_dlc	3
wh3_dlc29_skv_shop_warlord	wh3_dlc29_military_mod_pool_stormfiends_warlord	10
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_economy_mod_pool_basic_food_mid	11
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_economy_mod_pool_basic_food_small	1
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_military_action_chieftain	5
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_military_action_packmaster	9
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_military_action_plague_priest	3
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_military_action_warlock_engineer	7
wh3_dlc29_skv_shop_warlord	wh3_dlc29_shop_military_green_plague_monks	2
