shop_token	chain_base_token	upgrade_to_level
#chaotic_plan_upgrade_tokens_tables;0;db/chaotic_plan_upgrade_tokens_tables/data__		
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_corruptor_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_deceiver_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_dummy_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_piece_eshin_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_piece_moulder_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_piece_skryre_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_warbringer_1	2
wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_magic_summon_verminlord_warpseer_1	2
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_corruptor_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_deceiver_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_dummy_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_piece_eshin_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_piece_moulder_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_piece_skryre_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_warbringer_1	3
wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_magic_summon_verminlord_warpseer_1	3
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_corruptor_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_deceiver_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_dummy_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_piece_eshin_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_piece_moulder_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_piece_skryre_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_warbringer_1	4
wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_magic_summon_verminlord_warpseer_1	4
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_corruptor_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_deceiver_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_dummy_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_piece_eshin_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_piece_moulder_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_piece_skryre_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_warbringer_1	5
wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_magic_summon_verminlord_warpseer_1	5
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_death_globe_bombadiers_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_doom_flayer_dlc_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_doomwheel_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_poison_wind_globadiers_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_poison_wind_mortars_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_skryre_warpfire_throwers_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_warp_lightning_cannon_warlock_1	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_green_warplock_jezzails_dlc_1	2
wh3_dlc29_military_upgrade_mutant_rat_ogre_brood_horror_2	wh3_dlc29_military_green_brood_horror_dlc_1	2
wh3_dlc29_military_upgrade_mutant_rat_ogre_brood_horror_2	wh3_dlc29_military_green_mutant_rat_ogre_dlc_1	2
wh3_dlc29_military_upgrade_rictus_stormvermin_2	wh3_dlc29_military_green_rictus_stormvermin_1	2
wh3_dlc29_military_upgrade_rictus_stormvermin_2	wh3_dlc29_military_green_rictus_stormvermin_halberds_1	2
