m_character_trait_level_key	choice_key
#character_training_dilemma_choice_traits_tables;0;db/character_training_dilemma_choice_traits_tables/data__	
wh3_main_trait_ice_training_economist_hero	wh3_main_character_training_dilemma_frost_maiden_1_first
wh3_main_trait_ice_training_court_agent_hero	wh3_main_character_training_dilemma_frost_maiden_1_fourth
wh3_main_trait_ice_training_architect_hero	wh3_main_character_training_dilemma_frost_maiden_1_second
wh3_main_trait_ice_training_protector_hero	wh3_main_character_training_dilemma_frost_maiden_1_third
wh3_main_trait_ice_training_infantry_commander_hero	wh3_main_character_training_dilemma_frost_maiden_2_first
wh3_main_trait_ice_training_ice_guard_captain_hero	wh3_main_character_training_dilemma_frost_maiden_2_fourth
wh3_main_trait_ice_training_logistician_hero	wh3_main_character_training_dilemma_frost_maiden_2_second
wh3_main_trait_ice_training_quartermaster_hero	wh3_main_character_training_dilemma_frost_maiden_2_third
wh3_main_trait_ice_training_unbreakable_hero	wh3_main_character_training_dilemma_frost_maiden_3_first
wh3_main_trait_ice_training_magic_1_hero	wh3_main_character_training_dilemma_frost_maiden_3_fourth
wh3_main_trait_ice_training_vanguard_hero	wh3_main_character_training_dilemma_frost_maiden_3_second
wh3_main_trait_ice_training_magic_2_hero	wh3_main_character_training_dilemma_frost_maiden_3_third
wh3_main_trait_ice_training_economist	wh3_main_character_training_dilemma_ice_witch_1_first
wh3_main_trait_ice_training_court_agent	wh3_main_character_training_dilemma_ice_witch_1_fourth
wh3_main_trait_ice_training_architect	wh3_main_character_training_dilemma_ice_witch_1_second
wh3_main_trait_ice_training_protector	wh3_main_character_training_dilemma_ice_witch_1_third
wh3_main_trait_ice_training_infantry_commander	wh3_main_character_training_dilemma_ice_witch_2_first
wh3_main_trait_ice_training_ice_guard_captain	wh3_main_character_training_dilemma_ice_witch_2_fourth
wh3_main_trait_ice_training_logistician	wh3_main_character_training_dilemma_ice_witch_2_second
wh3_main_trait_ice_training_quartermaster	wh3_main_character_training_dilemma_ice_witch_2_third
wh3_main_trait_ice_training_unbreakable	wh3_main_character_training_dilemma_ice_witch_3_first
wh3_main_trait_ice_training_magic_1	wh3_main_character_training_dilemma_ice_witch_3_fourth
wh3_main_trait_ice_training_vanguard	wh3_main_character_training_dilemma_ice_witch_3_second
wh3_main_trait_ice_training_magic_2	wh3_main_character_training_dilemma_ice_witch_3_third
