bonus_value_id	effect	battle_context_unit_attribute
#effect_bonus_value_battle_context_unit_attribute_junctions_tables;0;db/effect_bonus_value_battle_context_unit_attribute_junctions_tables/data__		
enable	wh2_dlc12_effect_attribute_enable_causes_fear_vs_cst	wh2_main_effect_cause_fear_versus_cst
enable	wh2_dlc12_effect_attribute_enable_causes_fear_vs_tmb	wh2_main_effect_cause_fear_versus_tmb
enable	wh2_dlc14_effect_unit_enable_attribute_immpsy_when_fighting_undead	wh2_dlc14_effect_unit_enable_attribute_immpsy_when_fighting_undead
enable	wh2_dlc16_effect_attribute_cause_fear_during_forest_ambushes_hidden	wh2_dlc16_effect_fear_ambush_during_forest_battles
enable	wh2_dlc16_effect_attribute_cause_terror_during_ambushes	wh2_dlc16_effect_terror_ambush_during_forest_battles
enable	wh2_dlc16_effect_attribute_stalk_during_ambushes	wh2_dlc16_effect_attribute_stalk_during_ambushes
enable	wh2_dlc16_effect_vanguard_deploy_forest_battles	wh2_dlc16_effect_vanguard_forest
enable	wh2_dlc17_effect_attribute_cause_fear_during_ambushes	wh2_dlc17_effect_fear_ambush
enable	wh2_dlc17_effect_enable_attribute_immpsy_when_fighting_chaos	wh2_dlc17_effect_unit_enable_attribute_immpsy_when_fighting_chaos
enable	wh2_main_effect_attribute_enable_causes_fear_vs_bst	wh2_main_effect_cause_fear_versus_bst
enable	wh2_main_effect_attribute_enable_causes_fear_vs_chs	wh2_main_effect_cause_fear_versus_chs
enable	wh2_main_effect_attribute_enable_causes_fear_vs_def	wh2_main_effect_cause_fear_versus_def
enable	wh2_main_effect_attribute_enable_causes_fear_vs_dwf	wh2_main_effect_cause_fear_versus_dwf
enable	wh2_main_effect_attribute_enable_causes_fear_vs_grn	wh2_main_effect_cause_fear_versus_grn
enable	wh2_main_effect_attribute_enable_causes_fear_vs_hef	wh2_main_effect_cause_fear_versus_hef
enable	wh2_main_effect_attribute_enable_causes_fear_vs_human	wh2_main_effect_cause_fear_versus_human
enable	wh2_main_effect_attribute_enable_causes_fear_vs_lzd	wh2_main_effect_cause_fear_versus_lzd
enable	wh2_main_effect_attribute_enable_causes_fear_vs_skv	wh2_main_effect_cause_fear_versus_skv
enable	wh2_main_effect_attribute_enable_causes_fear_vs_vmp	wh2_main_effect_cause_fear_versus_vmp
enable	wh2_main_effect_attribute_enable_causes_fear_vs_wef	wh2_main_effect_cause_fear_versus_wef
enable	wh2_main_effect_attribute_enable_causes_terror_vs_brt	wh2_main_effect_cause_terror_versus_brt
enable	wh2_main_effect_attribute_enable_causes_terror_vs_chs	wh2_main_effect_cause_terror_versus_chs
enable	wh2_main_effect_attribute_enable_causes_terror_vs_def	wh2_main_effect_cause_terror_versus_def
enable	wh2_main_effect_attribute_enable_causes_terror_vs_dwf	wh2_main_effect_cause_terror_versus_dwf
enable	wh2_main_effect_attribute_enable_causes_terror_vs_emp	wh2_main_effect_cause_terror_versus_emp
enable	wh3_main_effect_attribute_enable_causes_fear_vs_cth	wh3_main_effect_attribute_enable_causes_fear_vs_cth
enable	wh3_main_effect_attribute_enable_causes_fear_vs_dae	wh3_main_effect_attribute_enable_causes_fear_vs_dae
enable	wh3_main_effect_attribute_enable_causes_fear_vs_kho	wh3_main_effect_attribute_enable_causes_fear_vs_kho
enable	wh3_main_effect_attribute_enable_causes_fear_vs_ksl	wh3_main_effect_attribute_enable_causes_fear_vs_ksl
enable	wh3_main_effect_attribute_enable_causes_fear_vs_nur	wh3_main_effect_attribute_enable_causes_fear_vs_nur
enable	wh3_main_effect_attribute_enable_causes_fear_vs_ogr	wh3_main_effect_attribute_enable_causes_fear_vs_ogr
enable	wh3_main_effect_attribute_enable_causes_fear_vs_sla	wh3_main_effect_attribute_enable_causes_fear_vs_sla
enable	wh3_main_effect_attribute_enable_causes_fear_vs_tze	wh3_main_effect_attribute_enable_causes_fear_vs_tze
enable	wh3_main_effect_attribute_enable_causes_terror_vs_ksl	wh3_main_effect_attribute_enable_causes_terror_vs_ksl
enable	wh3_main_effect_attribute_enable_immune_to_psychology_vs_chaos_daemons	wh3_main_effect_unit_enable_attribute_immpsy_when_fighting_chaos_daemons
