bonus_value_id	effect	faction
#effect_bonus_value_faction_junctions_tables;0;db/effect_bonus_value_faction_junctions_tables/data__		
diplomatic_mod	wh2_dlc09_faction_political_diplomacy_mod_exiles_of_nehek	wh2_dlc09_tmb_exiles_of_nehek
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_followers_of_nagash	wh2_dlc09_tmb_followers_of_nagash
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vampire_coast_mutineers	wh2_dlc11_cst_vampire_coast_rebels
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	wh2_dlc09_tmb_followers_of_nagash
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	wh2_dlc11_cst_noctilus
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	wh2_dlc11_cst_the_drowned
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_vlad	wh2_dlc11_cst_vampire_coast
redirect_confederation_region_transfer_to	wh2_dlc13_lzd_spirits_of_the_jungle_confederation_lord_nakai	wh2_dlc13_lzd_spirits_of_the_jungle
diplomatic_mod	wh2_dlc14_diplomatic_relations_chevaliers_de_lyonesse	wh2_dlc14_brt_chevaliers_de_lyonesse
diplomatic_mod	wh2_dlc14_diplomatic_relations_khemri	wh2_dlc09_tmb_khemri
diplomatic_mod	wh2_dlc14_diplomatic_relations_mors	wh2_main_skv_clan_mors
diplomatic_mod	wh2_dlc14_diplomatic_relations_moulder	wh2_main_skv_clan_moulder
diplomatic_mod	wh2_dlc14_diplomatic_relations_pestilens	wh2_main_skv_clan_pestilens
diplomatic_mod	wh2_dlc14_diplomatic_relations_skryre	wh2_main_skv_clan_skryre
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_crusaders	wh2_main_brt_knights_of_origo
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_crusaders	wh2_main_brt_knights_of_the_flame
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_crusaders	wh2_main_brt_thegans_crusaders
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_crusaders	wh2_main_rogue_jerrods_errantry
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_cult_of_pleasure	wh2_main_def_cult_of_pleasure
diplomatic_mod	wh3_dlc23_faction_political_diplomacy_mod_astragoth	wh3_dlc23_chd_astragoth
diplomatic_mod	wh3_dlc23_faction_political_diplomacy_mod_drazhoath	wh3_dlc23_chd_legion_of_azgorh
diplomatic_mod	wh3_dlc23_faction_political_diplomacy_mod_zhatan	wh3_dlc23_chd_zhatan
block_region_occupation	wh3_dlc26_effect_block_beastmen_from_capturing	wh_dlc03_bst_beastmen
diplomatic_mod	wh3_main_diplomatic_relations_ice_court	wh3_main_ksl_the_ice_court
diplomatic_mod	wh3_main_diplomatic_relations_orthodoxy	wh3_main_ksl_the_great_orthodoxy
diplomatic_mod	wh3_main_faction_political_diplomacy_mod_aquitaine	wh3_main_brt_aquitaine
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_alarielle	wh2_main_hef_avelorn
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_avelorn_saphery_ellyrion	wh2_main_hef_avelorn
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_avelorn_saphery_ellyrion	wh2_main_hef_ellyrion
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_avelorn_saphery_ellyrion	wh2_main_hef_saphery
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_eataine_saphery_ellyrion	wh2_main_hef_eataine
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_eataine_saphery_ellyrion	wh2_main_hef_ellyrion
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_eataine_saphery_ellyrion	wh2_main_hef_saphery
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_grom	wh2_dlc15_grn_broken_axe
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_morathi	wh2_main_def_cult_of_pleasure
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_nkari	wh3_main_sla_seducers_of_slaanesh
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_noctilus	wh2_dlc11_cst_noctilus
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_saphery	wh2_main_hef_saphery
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_tyrion	wh2_main_hef_eataine
diplomatic_mod	wh3_main_ie_faction_political_diplomacy_mod_wulfrik	wh_dlc08_nor_norsca
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_artois	wh3_dlc20_brt_march_of_couronne
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_artois	wh_main_brt_artois
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_bastonne	wh_main_brt_bastonne
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_bordeleaux	wh_main_brt_bordeleaux
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_bretonnia	wh_main_brt_bretonnia
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_carcassonne	wh_main_brt_carcassonne
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_lyonesse	wh_main_brt_lyonesse
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_mousillon	wh_main_vmp_mousillon
diplomatic_mod	wh_dlc07_faction_political_diplomacy_mod_parravon	wh_main_brt_parravon
diplomatic_mod	wh_dlc15_faction_diplomacy_bonus_vampires_arkhan	wh2_dlc09_tmb_followers_of_nagash
