bonus_value_id	effect	force_ability
#effect_bonus_value_military_force_ability_junctions_tables;0;db/effect_bonus_value_military_force_ability_junctions_tables/data__		
uses_mod	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage_uses	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage	wh2_dlc09_army_abilities_barrage_of_the_legion
uses_mod	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm_uses	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_effect_army_ability_enable_legionary_barrage	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_effect_army_ability_enable_rictus_clanstone	wh2_dlc09_army_abilities_rictus_clanstone
enable	wh2_dlc09_effect_army_ability_enable_sand_veil	wh2_dlc09_army_abilities_sand_veil
enable	wh2_dlc09_effect_army_ability_enable_tomb_swarm	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc11_effect_army_ability_enable_norse_roar	wh2_dlc11_army_abilities_norse_roar
enable	wh2_dlc11_effect_army_ability_enable_sartosa_grapeshot	wh2_dlc11_army_abilities_sartosa_grapeshot
enable	wh2_dlc11_effect_army_ability_enable_shanty_1_ai	wh2_dlc11_army_abilities_shanty_verse_1_ai
enable	wh2_dlc11_effect_army_ability_enable_shanty_1	wh2_dlc11_army_abilities_shanty_verse_1
enable	wh2_dlc11_effect_army_ability_enable_shanty_2_ai	wh2_dlc11_army_abilities_shanty_verse_2_ai
enable	wh2_dlc11_effect_army_ability_enable_shanty_2	wh2_dlc11_army_abilities_shanty_verse_2
enable	wh2_dlc11_effect_army_ability_enable_shanty_3_ai	wh2_dlc11_army_abilities_shanty_verse_3_ai
enable	wh2_dlc11_effect_army_ability_enable_shanty_3	wh2_dlc11_army_abilities_shanty_verse_3
enable	wh2_dlc11_effect_army_ability_enable_wraith_storm	wh2_dlc11_army_abilities_wraith_storm
enable	wh2_dlc11_effect_army_ability_enable_zhufbar_42_pounders	wh2_dlc11_army_abilities_zhufbar_42_pounders
uses_mod	wh2_dlc11_effect_army_ability_uses_norse_roar_zhufbar_42_pounder_sartosa_grapeshot	wh2_dlc11_army_abilities_norse_roar
uses_mod	wh2_dlc11_effect_army_ability_uses_norse_roar_zhufbar_42_pounder_sartosa_grapeshot	wh2_dlc11_army_abilities_sartosa_grapeshot
uses_mod	wh2_dlc11_effect_army_ability_uses_norse_roar_zhufbar_42_pounder_sartosa_grapeshot	wh2_dlc11_army_abilities_zhufbar_42_pounders
enable	wh2_dlc11_effect_harkon_battle_army_abilities	wh2_dlc11_army_abilities_rod_of_the_storm
enable	wh2_dlc12_effect_army_ability_enable_great_invocation_of_sotek	wh2_dlc12_army_abilities_great_invocation_of_sotek
enable	wh2_dlc12_effect_army_ability_enable_jungle_swarm	wh2_dlc12_army_abilities_jungle_swarm
enable	wh2_dlc12_effect_army_ability_enable_nuke_upgraded	wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded
enable	wh2_dlc12_effect_army_ability_enable_nuke	wh2_dlc12_army_abilities_warpstorm_doomrocket
enable	wh2_dlc13_effect_lzd_itzl_razordon_unlock_dummy	wh2_dlc13_army_abilities_beasts_of_itzl
enable	wh2_dlc13_effect_lzd_itzl_razordon_upgrade_dummy	wh2_dlc13_army_abilities_beasts_of_itzl_upgraded
enable	wh2_dlc13_effect_lzd_quetzl_invulnerability_unlock_dummy	wh2_dlc13_army_abilities_protection_of_quetzl
enable	wh2_dlc13_effect_lzd_quetzl_invulnerability_upgrade_dummy	wh2_dlc13_army_abilities_protection_of_quetzl_upgraded
enable	wh2_dlc13_effect_lzd_xholankha_storm_unlock_dummy	wh2_dlc13_army_abilities_storm_of_xholankha
enable	wh2_dlc13_effect_lzd_xholankha_storm_upgrade_dummy	wh2_dlc13_army_abilities_storm_of_xholankha_upgraded
enable	wh2_dlc13_effect_wulfhart_battle_army_abilities	wh2_dlc13_army_abilities_amber_bow_cannons
enable	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones
enable	wh2_dlc14_final_battle_ability_summon_snikch_enable	wh2_dlc14_final_battle_ability_summon_snikch
enable	wh2_dlc15_battle_army_abilities_grimgor_waaagh	wh2_dlc15_army_abilities_grimgors_waaagh
enable	wh2_dlc15_battle_army_abilities_waaagh	wh2_dlc15_army_abilities_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_azhag	wh2_dlc15_army_abilities_azhags_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_azhag	wh2_dlc15_army_abilities_big_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh_azhag	wh2_dlc15_army_abilities_azhags_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grimgor	wh2_dlc15_army_abilities_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grimgor	wh2_dlc15_army_abilities_grimgors_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grimgor	wh2_dlc15_army_abilities_grimgors_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grom	wh2_dlc15_army_abilities_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grom	wh2_dlc15_army_abilities_groms_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh_grom	wh2_dlc15_army_abilities_groms_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_skarsnik	wh2_dlc15_army_abilities_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_skarsnik	wh2_dlc15_army_abilities_skarsniks_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh_skarsnik	wh2_dlc15_army_abilities_skarsniks_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_wurrzag	wh2_dlc15_army_abilities_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh_wurrzag	wh2_dlc15_army_abilities_wurrzags_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh_wurrzag	wh2_dlc15_army_abilities_wurrzags_big_waaagh
disable	wh2_dlc15_effect_ability_army_enable_big_waaagh	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_ability_army_enable_big_waaagh	wh2_dlc15_army_abilities_big_waaagh
enable	wh2_dlc15_effect_ability_army_enable_doom_diver_strike_enhanced	wh2_dlc15_army_abilities_doom_diver_strike_enhanced
enable	wh2_dlc15_effect_ability_army_enable_doom_diver_strike	wh2_dlc15_army_abilities_doom_diver_strike
enable	wh2_dlc15_effect_ability_army_enable_envelop_in_mist	wh2_dlc15_army_abilities_envelop_in_mist
enable	wh2_dlc15_effect_ability_army_enable_flood_trap	wh2_dlc15_army_abilities_flood_trap
enable	wh2_dlc15_effect_ability_army_enable_invocation_of_ending	wh2_dlc15_army_abilities_invocation_of_ending
enable	wh2_dlc15_effect_ability_army_enable_lightning_trap	wh2_dlc15_army_abilities_lightning_trap_1
enable	wh2_dlc15_effect_ability_army_enable_lightning_trap	wh2_dlc15_army_abilities_lightning_trap_2
enable	wh2_dlc15_effect_ability_army_enable_oath_of_replenishment_upgraded	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded
enable	wh2_dlc15_effect_ability_army_enable_oath_of_replenishment	wh2_dlc15_army_abilities_oath_of_replenishment
enable	wh2_dlc15_effect_ability_army_enable_summon_the_sentinals_upgraded	wh2_dlc15_army_abilities_summon_the_sentinels_upgraded
enable	wh2_dlc15_effect_ability_army_enable_summon_the_sentinals	wh2_dlc15_army_abilities_summon_the_sentinels
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_1a
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_1b
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_2a
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_2b
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_3a
enable	wh2_dlc15_effect_ability_army_enable_wind_trap	wh2_dlc15_army_abilities_wind_trap_3b
enable	wh2_dlc15_effect_ability_enable_unleash_the_winds	wh2_dlc15_army_abilities_unleash_the_winds
enable	wh2_dlc15_effect_enable_wardens_cage	wh2_dlc15_character_abilities_wardens_cage
enable	wh2_dlc15_effect_greenskins_waaagh_army_abilities	wh2_dlc15_army_abilities_waaagh
disable	wh2_dlc15_effect_leader_waaagh_azhag	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_leader_waaagh_azhag	wh2_dlc15_army_abilities_azhags_waaagh
disable	wh2_dlc15_effect_leader_waaagh_grimgor	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_leader_waaagh_grimgor	wh2_dlc15_army_abilities_grimgors_waaagh
disable	wh2_dlc15_effect_leader_waaagh_grom	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_leader_waaagh_grom	wh2_dlc15_army_abilities_groms_waaagh
disable	wh2_dlc15_effect_leader_waaagh_skarsnik	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_leader_waaagh_skarsnik	wh2_dlc15_army_abilities_skarsniks_waaagh
disable	wh2_dlc15_effect_leader_waaagh_wurrzag	wh2_dlc15_army_abilities_waaagh
enable	wh2_dlc15_effect_leader_waaagh_wurrzag	wh2_dlc15_army_abilities_wurrzags_waaagh
enable	wh2_dlc16_effect_ability_army_enable_call_to_ceithin_har	wh2_dlc16_army_abilities_call_to_ceithin_har
enable	wh2_dlc16_effect_ability_army_enable_transformation_of_kadon	wh2_dlc16_army_abilities_transformation_of_kadon
enable	wh2_dlc16_effect_ability_roused_to_wrath_upgrade_2	wh2_dlc16_army_abilities_roused_to_wrath_3
enable	wh2_dlc16_effect_siege_attacker_hidden	wh2_dlc16_army_abilities_siege_attacker_hidden
enable	wh2_dlc17_effect_ability_army_enable_chaos_spawn_summon_qb_scripted	wh2_dlc17_army_abilities_chaos_spawn_summon_qb_scripted
enable	wh2_dlc17_effect_ability_army_enable_ghorgon_summon_qb_scripted	wh2_dlc17_army_abilities_chaos_spawn_summon_qb_scripted
enable	wh2_dlc17_effect_ability_army_enable_ghorgon_summon_qb_scripted	wh2_dlc17_army_abilities_cygor_summon_qb_scripted
enable	wh2_dlc17_effect_ability_army_enable_ghorgon_summon_qb_scripted	wh2_dlc17_army_abilities_ghorgon_summon_qb_scripted
enable	wh2_dlc17_effect_ability_enable_soteks_sanctum_hidden	wh2_dlc17_army_abilities_soteks_sanctum
enable	wh2_dlc17_effect_ability_enable_soteks_sanctum	wh2_dlc17_army_abilities_soteks_sanctum
enable	wh2_dlc17_effect_ability_enable_tzcatlis_sanctum_hidden	wh2_dlc17_army_abilities_tzcatlis_sanctum
enable	wh2_dlc17_effect_ability_enable_tzcatlis_sanctum	wh2_dlc17_army_abilities_tzcatlis_sanctum
enable	wh2_dlc17_effect_ability_enable_viletide_army	wh2_dlc17_army_abilities_viletide
enable	wh2_dlc17_effect_ability_enable_xapatis_sanctum_hidden	wh2_dlc17_army_abilities_xapatis_sanctum
enable	wh2_dlc17_effect_ability_enable_xapatis_sanctum	wh2_dlc17_army_abilities_xapatis_sanctum
enable	wh2_dlc17_effect_ability_enable_zhufbar_42_pounders_engineer	wh2_dlc17_army_abilities_zhufbar_42_pounders_engineer
enable	wh2_dlc17_effect_ability_enabled_ancestor_rune_grimnir	wh2_dlc17_army_abilities_ancestral_rune_of_grimnir
uses_mod	wh2_dlc17_effect_ability_enabled_ancestor_rune_grimnir	wh2_dlc17_army_abilities_ancestral_rune_of_grimnir
enable	wh2_dlc17_effect_ability_enabled_ancestor_rune_grungi	wh2_dlc17_army_abilities_ancestral_rune_of_grungni
enable	wh2_dlc17_effect_ability_enabled_ancestor_rune_valaya	wh2_dlc17_army_abilities_ancestral_rune_of_valaya
enable	wh2_dlc17_effect_ability_enabled_touched_by_the_moon	wh2_dlc17_army_abilities_touched_by_the_moon
enable	wh2_dlc17_effect_ability_enabled_vile_entropy	wh2_dlc17_army_abilities_vile_entropy
uses_mod	wh2_dlc17_effect_ability_num_uses_shatterstone	wh2_dlc17_army_abilities_shatterstone
uses_mod	wh2_dlc17_effect_ability_num_uses_touched_by_the_moon	wh2_dlc17_army_abilities_touched_by_the_moon
uses_mod	wh2_dlc17_effect_ability_num_uses_vile_entropy	wh2_dlc17_army_abilities_vile_entropy
uses_mod	wh2_dlc17_effect_ability_number_of_uses_zhufbar_42_pounders_engineer	wh2_dlc17_army_abilities_zhufbar_42_pounders_engineer
disable	wh2_main_effect_ability_army_disable_brazen_cauldron_hidden	wh2_main_army_abilities_brazen_cauldron
disable	wh2_main_effect_ability_army_disable_brazen_cauldron_hidden	wh2_main_army_abilities_sky_cauldron
disable	wh2_main_effect_ability_army_disable_khaines_flail_hidden	wh2_main_army_abilities_khaines_flail
disable	wh2_main_effect_ability_army_disable_khaines_flail_hidden	wh2_main_army_abilities_khaines_lash
disable	wh2_main_effect_ability_army_disable_khaines_lash_hidden	wh2_main_army_abilities_khaines_lash
disable	wh2_main_effect_ability_army_disable_sky_cauldron_hidden	wh2_main_army_abilities_sky_cauldron
disable	wh2_main_effect_ability_army_disable_soul_rain_hidden	wh2_main_army_abilities_soul_rain
disable	wh2_main_effect_ability_army_disable_soul_torrent_hidden	wh2_main_army_abilities_soul_rain
disable	wh2_main_effect_ability_army_disable_soul_torrent_hidden	wh2_main_army_abilities_soul_torrent
enable	wh2_main_effect_ability_army_enable_feral_cold_ones_scripted	wh2_main_army_abilities_carnosaur_qb_scripted
enable	wh2_main_effect_ability_army_enable_feral_cold_ones_scripted	wh2_main_army_abilities_feral_cold_ones_qb_scripted
enable	wh2_main_effect_ability_army_enable_feral_cold_ones_scripted	wh2_main_army_abilities_stegadon_qb_scripted
enable	wh2_main_effect_army_ability_enable_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron
enable	wh2_main_effect_army_ability_enable_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite
enable	wh2_main_effect_army_ability_enable_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron
enable	wh2_main_effect_army_ability_enable_channeling_spire	wh2_main_army_abilities_channeling_spire
enable	wh2_main_effect_army_ability_enable_dark_conduit	wh2_main_army_abilities_dark_conduit
enable	wh2_main_effect_army_ability_enable_eagle_sanctuary	wh2_main_army_abilities_eagle_sanctuary
enable	wh2_main_effect_army_ability_enable_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone
enable	wh2_main_effect_army_ability_enable_feral_cold_ones	wh2_main_army_abilities_feral_cold_ones
enable	wh2_main_effect_army_ability_enable_geomantic_nexus	wh2_main_army_abilities_geomantic_nexus
enable	wh2_main_effect_army_ability_enable_holy_stela	wh2_main_army_abilities_holy_stela
enable	wh2_main_effect_army_ability_enable_khaines_flail	wh2_main_army_abilities_khaines_flail
enable	wh2_main_effect_army_ability_enable_khaines_lash	wh2_main_army_abilities_khaines_lash
enable	wh2_main_effect_army_ability_enable_khaines_scourge	wh2_main_army_abilities_khaines_scourge
enable	wh2_main_effect_army_ability_enable_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen
enable	wh2_main_effect_army_ability_enable_mors_clanstone	wh2_main_army_abilities_mors_clanstone
enable	wh2_main_effect_army_ability_enable_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone
enable	wh2_main_effect_army_ability_enable_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone
enable	wh2_main_effect_army_ability_enable_shadows_of_anlec	wh2_main_army_abilities_shadows_of_anlec
enable	wh2_main_effect_army_ability_enable_skryre_clanstone	wh2_main_army_abilities_skryre_clanstone
enable	wh2_main_effect_army_ability_enable_sky_cauldron	wh2_main_army_abilities_sky_cauldron
enable	wh2_main_effect_army_ability_enable_soul_rain	wh2_main_army_abilities_soul_rain
enable	wh2_main_effect_army_ability_enable_soul_storm	wh2_main_army_abilities_soul_storm
enable	wh2_main_effect_army_ability_enable_soul_torrent	wh2_main_army_abilities_soul_torrent
enable	wh2_main_effect_army_ability_enable_temple_of_mists	wh2_main_army_abilities_temple_of_mists
enable	wh2_main_effect_army_ability_enable_the_menace_below_hidden	wh2_main_army_abilities_the_menace_below
