bonus_value_id	unit_list	effect
#effect_bonus_value_unit_list_junctions_tables;0;db/effect_bonus_value_unit_list_junctions_tables/data__		
unit_allowance_point_cap_mod	wh3_dlc23_chd_bale_taurus	wh3_dlc23_chd_ritual_unit_cap_bale_taurus
unit_allowance_point_cap_mod	wh3_dlc23_chd_bull_centaurs	wh3_dlc23_chd_ritual_unit_cap_bull_centaurs
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_blunderbusses	wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_blunderbusses
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_warriors	wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_warriors
unit_allowance_point_cap_mod	wh3_dlc23_chd_great_taurus	wh3_dlc23_chd_ritual_unit_cap_great_taurus
unit_allowance_point_cap_mod	wh3_dlc23_chd_hellcannon	wh3_dlc23_chd_ritual_unit_cap_hellcannon
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard_fireglaives	wh3_dlc23_chd_ritual_unit_cap_infernal_guard_fireglaives
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard	wh3_dlc23_chd_ritual_unit_cap_infernal_guard
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_ironsworn	wh3_dlc23_chd_ritual_unit_cap_infernal_ironsworn
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_destroyer	wh3_dlc23_chd_ritual_unit_cap_kdaai_destroyer
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_fireborn	wh3_dlc23_chd_ritual_unit_cap_kdaai_fireborn
unit_allowance_point_cap_mod	wh3_dlc23_chd_lammasu	wh3_dlc23_chd_ritual_unit_cap_lammasu
unit_allowance_point_cap_mod	wh3_dlc23_chd_war_machines	wh3_dlc23_chd_ritual_unit_cap_warmachines
unit_allowance_point_cap_mod	wh3_dlc23_chd_bale_taurus	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_bull_centaurs	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_blunderbusses	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_chaos_dwarf_warriors	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_great_taurus	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_hellcannon	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_guard_fireglaives	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_infernal_ironsworn	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_destroyer	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_kdaai_fireborn	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_lammasu	wh3_dlc23_effect_unit_cap_all
unit_allowance_point_cap_mod	wh3_dlc23_chd_war_machines	wh3_dlc23_effect_unit_cap_all
