event	subcategory	suppress_in_startpos
#event_feed_events_tables;4;db/event_feed_events_tables/data__		
agent_action_vs_army	wh_event_subcategory_agent_action	false
agent_action_vs_army_with_immortal_general	wh_event_subcategory_agent_action	false
agent_action_vs_character	wh_event_subcategory_agent_action	false
agent_action_vs_immortal_character	wh_event_subcategory_agent_action	false
agent_action_vs_settlement	wh_event_subcategory_agent_action	false
agent_discovered	wh_event_subcategory_agent_action	false
agent_discovered_yours	wh_event_subcategory_agent_action	false
agent_recruited	wh_event_subcategory_agent_recruited	false
allied_foreign_slot_added	wh_event_subcategory_diplomacy_war_coordination	false
allied_foreign_slot_invalidated_diplomacy_changed	wh_event_subcategory_diplomacy_war_coordination	false
allied_foreign_slot_invalidated_region_owner_changed	wh_event_subcategory_diplomacy_war_coordination	false
allied_foreign_slot_invalidated_region_owner_died	wh_event_subcategory_diplomacy_war_coordination	false
armory_item_unlocked	wh_event_subcategory_character_ancillaries	false
army_loaning_time_expired	wh_event_subcategory_diplomacy_war_coordination	false
caravan_can_recruit_caravan	wh_event_subcategory_faction_developments	false
caravan_can_start_caravan	wh_event_subcategory_faction_developments	false
caravan_journey_completed	wh_event_subcategory_faction_developments	false
character_ancillary_gained	wh_event_subcategory_character_ancillaries	true
character_ancillary_lost	wh_event_subcategory_character_ancillaries	true
character_ancillary_lost_stolen	wh_event_subcategory_character_ancillaries	true
character_born_illegitimate	wh_event_subcategory_faction_developments	false
character_born_legitimate	wh_event_subcategory_faction_developments	false
character_dies_battle	wh_event_subcategory_character_deaths	false
character_dies_executed	wh_event_subcategory_character_deaths	false
character_dies_hostile	wh_event_subcategory_character_deaths	false
character_dies_in_action	wh_event_subcategory_character_deaths	false
character_dies_infant_mortality	wh_event_subcategory_character_deaths	false
character_dies_natural	wh_event_subcategory_character_deaths	false
character_dies_suspicious	wh_event_subcategory_character_deaths	false
character_enters_rift	wh_event_subcategory_character_development	false
character_initiative_unlocked	wh_event_subcategory_character_development	false
character_loyalty_critical	wh_event_subcategory_character_development	true
character_loyalty_impeding_defection	wh_event_subcategory_character_development	true
character_loyalty_low	wh_event_subcategory_character_development	true
character_loyalty_not_critical_anymore	wh_event_subcategory_character_development	true
