initiative_set	campaign_lookup
#faction_initiative_sets_tables;0;db/faction_initiative_sets_tables/data__	
wh3_dlc20_faction_initiative_set_chs_slaanesh	wh3_dlc20_feature_azazel
wh3_dlc20_faction_initiative_set_chs_undivided	wh3_dlc20_feature_azazel
wh3_dlc20_faction_initiative_set_chs_khorne	wh3_dlc20_feature_chaos_warriors
wh3_dlc20_faction_initiative_set_chs_nurgle	wh3_dlc20_feature_chaos_warriors
wh3_dlc20_faction_initiative_set_chs_slaanesh	wh3_dlc20_feature_chaos_warriors
wh3_dlc20_faction_initiative_set_chs_tzeentch	wh3_dlc20_feature_chaos_warriors
wh3_dlc20_faction_initiative_set_chs_undivided	wh3_dlc20_feature_chaos_warriors
wh3_dlc20_faction_initiative_set_chs_nurgle	wh3_dlc20_feature_festus
wh3_dlc20_faction_initiative_set_chs_undivided	wh3_dlc20_feature_festus
wh3_dlc20_faction_initiative_set_chs_khorne	wh3_dlc20_feature_valkia
wh3_dlc20_faction_initiative_set_chs_undivided	wh3_dlc20_feature_valkia
wh3_dlc20_faction_initiative_set_chs_tzeentch	wh3_dlc20_feature_vilitch
wh3_dlc20_faction_initiative_set_chs_undivided	wh3_dlc20_feature_vilitch
wh3_dlc23_faction_initiative_set_chd_category_bull_centaurs	wh3_dlc23_feature_chaos_dwarfs
wh3_dlc23_faction_initiative_set_chd_category_flying_beasts	wh3_dlc23_feature_chaos_dwarfs
wh3_dlc23_faction_initiative_set_chd_category_kdaai	wh3_dlc23_feature_chaos_dwarfs
wh3_dlc23_faction_initiative_set_chd_category_melee_infantry	wh3_dlc23_feature_chaos_dwarfs
wh3_dlc23_faction_initiative_set_chd_category_missile_infantry	wh3_dlc23_feature_chaos_dwarfs
wh3_dlc23_faction_initiative_set_chd_category_warmachines	wh3_dlc23_feature_chaos_dwarfs
