campaign_potential	base_value	random_roll_mean	random_roll_lower_bound	random_roll_upper_bound
#faction_potential_categories_tables;0;db/faction_potential_categories_tables/data__				
chaos_chs_azazel	150	0	0	50
chaos_chs_festus	150	0	0	50
chaos_chs_valkia	150	0	0	50
chaos_chs_vilitch	150	0	0	50
chaos_cth_the_northern_provinces	150	0	0	50
chaos_cth_the_western_provinces	150	0	0	50
chaos_dae_daemon_prince	150	0	0	50
chaos_kho_exiles_of_khorne	150	0	0	50
chaos_ksl_the_great_orthodoxy	200	0	0	30
chaos_ksl_the_ice_court	200	0	0	30
chaos_ksl_ursun_revivalists	150	0	0	50
chaos_nur_poxmakers_of_nurgle	150	0	0	50
chaos_ogr_disciples_of_the_maw	150	0	0	50
chaos_ogr_goldtooth	150	0	0	50
chaos_sla_seducers_of_slaanesh	150	0	0	50
chaos_tze_oracles_of_tzeentch	200	0	0	30
combi_beastmen_khazrak	175	0	0	0
combi_beastmen_malagor	175	0	0	0
combi_beastmen_morghur	175	0	0	0
combi_beastmen_taurox	175	0	0	0
combi_bretonnia_alberic	175	0	0	0
combi_bretonnia_fayenchantress	175	0	0	0
combi_bretonnia_louen	175	0	0	0
combi_bretonnia_repanse	175	0	0	0
combi_cathay_miao_ying	175	0	0	25
combi_cathay_zhao_ming	175	0	0	25
combi_chaos_settled_archaon	200	0	0	0
combi_chaos_settled_azazel	175	0	0	0
combi_chaos_settled_belakor	175	0	0	0
combi_chaos_settled_festus	175	0	0	0
combi_chaos_settled_kholek	175	0	0	0
combi_chaos_settled_sigvald	175	0	0	0
combi_chaos_settled_valkia	175	0	0	0
combi_chaos_settled_vilitch	160	0	0	30
combi_daemonprince	200	0	0	0
combi_darkelf_hellebron	175	0	0	0
combi_darkelf_lokhir	160	0	0	30
combi_darkelf_malekith	200	0	0	0
combi_darkelf_malus	150	0	0	0
combi_darkelf_morathi	175	0	0	0
combi_darkelf_rakarth	175	0	0	0
combi_dwarf_belegar	175	0	0	0
combi_dwarf_grombrindal	175	0	0	0
combi_dwarf_thorek	175	0	0	0
combi_dwarf_throgrim	175	0	0	0
combi_dwarf_ungrim	175	0	0	0
combi_empire_franz	175	0	0	0
combi_empire_gelt	175	0	0	0
combi_empire_volkmar	175	0	0	0
combi_empire_wulfhart	150	0	0	0
combi_greenskin_azhag	175	0	0	0
combi_greenskin_grimgor	175	0	0	0
combi_greenskin_grom	175	0	0	0
combi_greenskin_skarsnik	200	0	0	0
combi_greenskin_wurrzag	175	0	0	0
combi_highelf_alarielle	175	0	0	0
combi_highelf_alithanar	150	0	0	0
combi_highelf_eltharion	175	0	0	0
combi_highelf_imrik	175	0	0	0
combi_highelf_teclis	175	0	0	0
combi_highelf_tyrion	175	0	0	0
combi_khorne_skarbrand	175	0	0	0
combi_kislev_boris	175	0	0	0
combi_kislev_katarin	175	0	0	0
combi_kislev_kostaltyn	175	0	0	0
combi_lizardmen_gorrok	175	0	0	0
combi_lizardmen_kroqgar	175	0	0	0
combi_lizardmen_mazdamundi	175	0	0	0
combi_lizardmen_nakai	160	0	0	30
combi_lizardmen_oxyotl	150	0	0	0
combi_lizardmen_tehenhauin	175	0	0	0
combi_lizardmen_tiktaqto	175	0	0	0
combi_minor	20	0	0	40
combi_minor_strong	50	0	0	10
combi_norsca_throgg	175	0	0	0
combi_norsca_wulfrik	175	0	0	0
combi_nurgle_kugath	175	0	0	0
combi_ogre_greasus	175	0	0	0
combi_ogre_skrag	175	0	0	0
combi_passive	40	0	0	0
combi_sentinels	175	0	0	0
combi_skaven_ikit	200	0	0	0
combi_skaven_queek	175	0	0	0
combi_skaven_skrolk	175	0	0	0
combi_skaven_snikch	160	0	0	30
combi_skaven_throt	175	0	0	0
combi_skaven_tretch	175	0	0	0
combi_slaanesh_nkari	225	0	0	0
combi_tombking_arkhan	175	0	0	0
combi_tombking_khalida	175	0	0	0
combi_tombking_khatep	150	0	0	0
combi_tombking_settra	200	0	0	0
combi_tzeentch_kairos	225	0	0	0
combi_vampire_ghorst	175	0	0	0
combi_vampire_kemmler	175	0	0	0
combi_vampire_mannfred	175	0	0	0
combi_vampire_vlad	200	0	0	0
combi_vampirecoast_aranessa	150	0	0	0
combi_vampirecoast_cylostra	175	0	0	0
combi_vampirecoast_harkon	175	0	0	0
combi_vampirecoast_noctilus	175	0	0	0
combi_woodelf_drycha	175	0	0	0
combi_woodelf_durthu	175	0	0	0
combi_woodelf_orion	175	0	0	0
combi_woodelf_sisters	175	0	0	0
fixed_high	55	0	0	0
fixed_low	30	0	0	0
fixed_medium	40	0	0	0
major	150	0	0	50
major_buffed	70	0	0	20
minor	-25	0	0	100
minor_strong	50	0	0	75
minor_weak	-25	0	0	25
