agent	fame_level	cap
#fame_level_agent_record_junctions_tables;0;db/fame_level_agent_record_junctions_tables/data__		
champion	1037553108	1
dignitary	1037553108	1
engineer	1037553108	1
runesmith	1037553108	1
spy	1037553108	1
wizard	1037553108	1
champion	1152857900	1
dignitary	1152857900	1
engineer	1152857900	1
runesmith	1152857900	1
spy	1152857900	1
wizard	1152857900	1
champion	1174562991	1
dignitary	1174562991	1
engineer	1174562991	1
runesmith	1174562991	1
spy	1174562991	1
wizard	1174562991	1
champion	1295780765	1
dignitary	1295780765	1
engineer	1295780765	1
runesmith	1295780765	1
spy	1295780765	1
wizard	1295780765	1
champion	1327827222	1
dignitary	1327827222	1
engineer	1327827222	1
runesmith	1327827222	1
spy	1327827222	1
wizard	1327827222	1
champion	1345252336	1
dignitary	1345252336	1
engineer	1345252336	1
runesmith	1345252336	1
spy	1345252336	1
wizard	1345252336	1
champion	140039856	1
dignitary	140039856	1
engineer	140039856	1
runesmith	140039856	1
spy	140039856	1
wizard	140039856	1
champion	1403266675	1
dignitary	1403266675	1
engineer	1403266675	1
runesmith	1403266675	1
spy	1403266675	1
wizard	1403266675	1
champion	1413178338	1
dignitary	1413178338	1
engineer	1413178338	1
runesmith	1413178338	1
spy	1413178338	1
wizard	1413178338	1
champion	1419086772	1
dignitary	1419086772	1
engineer	1419086772	1
runesmith	1419086772	1
spy	1419086772	1
wizard	1419086772	1
champion	1435261274	1
dignitary	1435261274	1
engineer	1435261274	1
runesmith	1435261274	1
spy	1435261274	1
wizard	1435261274	1
champion	1482791920	1
dignitary	1482791920	1
engineer	1482791920	1
runesmith	1482791920	1
spy	1482791920	1
wizard	1482791920	1
champion	150443890	1
dignitary	150443890	1
engineer	150443890	1
runesmith	150443890	1
spy	150443890	1
wizard	150443890	1
champion	1579661406	1
dignitary	1579661406	1
engineer	1579661406	1
runesmith	1579661406	1
spy	1579661406	1
wizard	1579661406	1
champion	1594084935	1
dignitary	1594084935	1
engineer	1594084935	1
runesmith	1594084935	1
spy	1594084935	1
wizard	1594084935	1
champion	1598932906	1
dignitary	1598932906	1
engineer	1598932906	1
runesmith	1598932906	1
spy	1598932906	1
wizard	1598932906	1
champion	1653092087	1
dignitary	1653092087	1
engineer	1653092087	1
runesmith	1653092087	1
spy	1653092087	1
wizard	1653092087	1
champion	1653773370	1
dignitary	1653773370	1
engineer	1653773370	1
runesmith	1653773370	1
spy	1653773370	1
wizard	1653773370	1
champion	1687236798	1
dignitary	1687236798	1
engineer	1687236798	1
runesmith	1687236798	1
spy	1687236798	1
wizard	1687236798	1
champion	1772226924	1
dignitary	1772226924	1
engineer	1772226924	1
runesmith	1772226924	1
spy	1772226924	1
wizard	1772226924	1
champion	1812371918	1
dignitary	1812371918	1
engineer	1812371918	1
runesmith	1812371918	1
spy	1812371918	1
wizard	1812371918	1
champion	1835070185	1
dignitary	1835070185	1
engineer	1835070185	1
runesmith	1835070185	1
spy	1835070185	1
wizard	1835070185	1
champion	183967987	1
dignitary	183967987	1
engineer	183967987	1
runesmith	183967987	1
spy	183967987	1
wizard	183967987	1
champion	1847877542	1
dignitary	1847877542	1
engineer	1847877542	1
runesmith	1847877542	1
spy	1847877542	1
wizard	1847877542	1
champion	1848430167	1
dignitary	1848430167	1
engineer	1848430167	1
runesmith	1848430167	1
spy	1848430167	1
wizard	1848430167	1
champion	1862391538	1
dignitary	1862391538	1
engineer	1862391538	1
runesmith	1862391538	1
spy	1862391538	1
wizard	1862391538	1
champion	1935064686	1
dignitary	1935064686	1
engineer	1935064686	1
runesmith	1935064686	1
spy	1935064686	1
wizard	1935064686	1
champion	1947314309	1
dignitary	1947314309	1
engineer	1947314309	1
runesmith	1947314309	1
spy	1947314309	1
wizard	1947314309	1
champion	2037047857	1
dignitary	2037047857	1
engineer	2037047857	1
runesmith	2037047857	1
spy	2037047857	1
wizard	2037047857	1
