option	setting	order
#graphics_settings_to_graphics_options_junctions_tables;1;db/graphics_settings_to_graphics_options_junctions_tables/data__		
aa_msaa_2x2	anti_aliasing	2
aa_msaa_4x4	anti_aliasing	3
aa_msaa_8x8	anti_aliasing	4
fxaa	anti_aliasing	1
off	anti_aliasing	0
off	blood_on_camera	0
on	blood_on_camera	1
post_battle_only	blood_on_camera	2
high	building_detail	2
low	building_detail	0
med	building_detail	1
ultra	building_detail	3
off	depth_of_field	0
on	depth_of_field	1
dx_11	dx_version	0
dx_12	dx_version	1
high	grass_detail	2
low	grass_detail	0
med	grass_detail	1
ultra	grass_detail	3
high	lighting_quality	1
low	lighting_quality	0
2D	porthole_quality	0
3D	porthole_quality	1
extreme	shadow_detail	4
high	shadow_detail	2
med	shadow_detail	1
off	shadow_detail	0
ultra	shadow_detail	3
high	sky_detail	2
low	sky_detail	0
med	sky_detail	1
ultra	sky_detail	3
off	ss_reflections	0
on	ss_reflections	1
high	terrain_detail	2
low	terrain_detail	0
med	terrain_detail	1
ultra	terrain_detail	3
filter_aniso_16x	texture_filtering	4
filter_aniso_2x	texture_filtering	1
filter_aniso_4x	texture_filtering	2
filter_aniso_8x	texture_filtering	3
filter_tri	texture_filtering	0
high	texture_quality	2
low	texture_quality	0
med	texture_quality	1
ultra	texture_quality	3
high	tree_detail	2
low	tree_detail	0
med	tree_detail	1
ultra	tree_detail	3
high	unit_detail	2
low	unit_detail	0
med	unit_detail	1
ultra	unit_detail	3
extreme	unit_size	3
large	unit_size	2
medium	unit_size	1
small	unit_size	0
high	vfx_detail	2
low	vfx_detail	0
med	vfx_detail	1
ultra	vfx_detail	3
high	water_detail	2
low	water_detail	0
med	water_detail	1
ultra	water_detail	3
