culture	loading_quote
#loading_screen_quotes_to_cultures_tables;0;db/loading_screen_quotes_to_cultures_tables/data__	
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_hp_campaign_books_of_nagash
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_hp_campaign_canopic_jars
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_hp_campaign_day_of_awakening
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_hp_campaign_dynasties
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_hp_campaign_mortuary_cult
wh2_dlc11_cst_vampire_coast	wh2_main_hp_battle_extra_powder
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_astromancy
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_blessed_spawnings
wh2_main_hef_high_elves	wh2_main_hp_campaign_espionage
wh2_main_skv_skaven	wh2_main_hp_campaign_food
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_geomantic_web
wh2_main_hef_high_elves	wh2_main_hp_campaign_influence
wh2_main_hef_high_elves	wh2_main_hp_campaign_intrigue_at_the_court
wh2_main_def_dark_elves	wh2_main_hp_campaign_loyalty
wh2_main_skv_skaven	wh2_main_hp_campaign_loyalty
wh2_main_def_dark_elves	wh2_main_hp_campaign_rites
wh2_main_hef_high_elves	wh2_main_hp_campaign_rites
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_rites
wh2_main_skv_skaven	wh2_main_hp_campaign_rites
wh2_main_def_dark_elves	wh2_main_hp_campaign_slaves
wh2_main_skv_skaven	wh2_main_hp_campaign_the_menace_below
wh2_dlc09_tmb_tomb_kings	wh2_main_hp_campaign_treasure_hunting
wh2_dlc11_cst_vampire_coast	wh2_main_hp_campaign_treasure_hunting
wh2_main_def_dark_elves	wh2_main_hp_campaign_treasure_hunting
wh2_main_hef_high_elves	wh2_main_hp_campaign_treasure_hunting
wh2_main_lzd_lizardmen	wh2_main_hp_campaign_treasure_hunting
wh2_main_skv_skaven	wh2_main_hp_campaign_treasure_hunting
wh_dlc03_bst_beastmen	wh2_main_hp_campaign_treasure_hunting
wh_dlc05_wef_wood_elves	wh2_main_hp_campaign_treasure_hunting
wh_dlc08_nor_norsca	wh2_main_hp_campaign_treasure_hunting
wh_main_brt_bretonnia	wh2_main_hp_campaign_treasure_hunting
wh_main_chs_chaos	wh2_main_hp_campaign_treasure_hunting
wh_main_dwf_dwarfs	wh2_main_hp_campaign_treasure_hunting
wh_main_emp_empire	wh2_main_hp_campaign_treasure_hunting
wh_main_grn_greenskins	wh2_main_hp_campaign_treasure_hunting
wh_main_vmp_vampire_counts	wh2_main_hp_campaign_treasure_hunting
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_albrecht_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_albrecht_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_asteroth
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_astragoth
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_brodai
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_cranneg
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_drazhaoth
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_dreezen
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_eckhard_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_eckhard_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_ernst_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_ernst_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_gakroth
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_gerlach
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_gorduz
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_gorfgrimm
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_grumman
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_guide
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_hagrag
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_kdaai
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_korbad
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_legion_of_azgorh
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_mordian_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_mordian_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_otto
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_skavor
wh_main_dwf_dwarfs	wh3_dlc23_chd_skavor
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_ungrim
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_vikram_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_vikram_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_zhatan_1
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_zhatan_2
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_zhatan_3
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_zhorgrath
wh3_main_kho_khorne	wh3_main_hp_battle_blood_for_the_blood_god
wh3_main_cth_cathay	wh3_main_hp_battle_dragon_transformation
wh3_main_tze_tzeentch	wh3_main_hp_battle_eye_of_tzeentch
