id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/data__				
1002144821	names_def_dark_elves	family_name	f	0
1002451869	names_tze_tzeentch	forename	b	1
100271990	names_skv_skaven	forename	m	1
1002972665	names_nor_norsca	forename	m	1
1003038241	names_vmp_vampire_counts	family_name	b	1
1003161686	names_ksl_kislev_pro	family_name	m	1
100325871	names_ogr_ogre_kingdom	forename	m	1
1003570063	names_sla_slaanesh	forename	b	1
1003842572	names_def_dark_elves	forename	f	1
1003919657	names_cst_vampire_coast	family_name	b	1
1003924842	names_kho_khorne	family_name	b	1
1004201231	names_nor_norsca	family_name	m	1
1004245920	names_cth_cathay	family_name	b	1
1004304689	names_cst_vampire_coast	family_name	b	1
1005248167	names_def_dark_elves	forename	f	1
1006363117	names_brt_bretonnia	forename	f	1
1006711097	names_def_dark_elves	family_name	m	0
1007456194	names_nor_norsca	forename	f	1
1007834858	names_bst_beastmen	family_name	m	1
1008738826	names_brt_bretonnia	family_name	b	1
1009133847	names_kho_khorne	forename	b	1
1010186263	names_tze_tzeentch	family_name	b	1
1010189776	names_ksl_kislev	family_name	m	1
1010314968	names_nor_norsca	forename	m	1
1011953006	names_kho_khorne	family_name	b	1
1012073581	names_nor_norsca	forename	m	1
1012272878	names_def_dark_elves	forename	f	1
1012584779	names_lzd_lizardmen	forename	b	1
1013532462	names_lzd_lizardmen	forename	b	1
1013566103	names_grn_greenskins	forename	m	0
1013908319	names_tmb_tomb_kings	forename	f	0
1015096215	names_cth_cathay	family_name	b	1
101567873	names_def_dark_elves	family_name	m	0
1015687373	names_cst_vampire_coast	forename	f	1
1015951371	names_def_dark_elves	family_name	f	0
1016136326	names_nur_nurgle	family_name	b	1
1016162757	names_bst_beastmen	family_name	m	1
1016390767	names_lzd_lizardmen	forename	b	1
1017721779	names_brt_bretonnia	forename	m	1
1018074220	names_grn_greenskins	family_name	f	1
1018614790	names_lzd_lizardmen	forename	b	1
1019189048	names_chs_chaos	forename	m	0
1020356174	names_ksl_kislev_pro	forename	f	1
1020411399	names_kho_khorne	forename	b	1
1020465424	names_tmb_tomb_kings	forename	m	1
1021071163	names_def_dark_elves	family_name	f	0
1021442703	names_emp_empire	family_name	m	0
1021590666	names_nur_nurgle	forename	b	0
1022176898	names_lzd_lizardmen	forename	b	1
1023468856	names_lzd_lizardmen	forename	m	0
1023980541	names_hef_high_elves	forename	f	1
1024033994	names_ogr_ogre_kingdom	family_name	m	1
1024060622	names_tze_tzeentch	forename	b	1
1024280256	names_ksl_kislev_pro	family_name	b	1
102431556	names_ksl_kislev_pro	family_name	m	1
1024438729	names_brt_bretonnia	family_name	m	1
1024994805	names_nor_norsca	forename	f	1
1026187450	names_tze_tzeentch	family_name	b	1
102693422	names_ksl_kislev_pro	forename	m	1
1027251705	names_dwf_dwarfs	forename	m	1
1029175424	names_kho_khorne	family_name	b	1
1030065585	names_lzd_lizardmen	forename	b	1
1030628873	names_nor_norsca	forename	m	1
1030760937	names_cst_vampire_coast	forename	b	1
1030867864	names_tze_tzeentch	forename	b	1
1031025019	names_ksl_kislev_pro	forename	f	1
1031264987	names_tmb_tomb_kings	forename	m	1
1032718743	names_kho_khorne	forename	b	1
1032919940	names_vmp_vampire_counts	forename	f	1
1033456951	names_emp_empire	forename	m	1
103361353	names_nur_nurgle	forename	b	0
1033918902	names_nur_nurgle	family_name	b	1
1036120912	names_tze_tzeentch	forename	b	1
1036917904	names_ksl_kislev_pro	forename	f	1
1037444717	names_kho_khorne	family_name	b	1
1037815058	names_cth_cathay	family_name	b	1
1038399110	names_sla_slaanesh	family_name	b	1
103970856	names_def_dark_elves	family_name	m	0
1040488644	names_tze_tzeentch	forename	b	1
1040644774	names_brt_bretonnia	forename	f	1
1041603963	names_ksl_kislev_pro	forename	m	1
1041639151	names_tze_tzeentch	family_name	b	1
1041722221	names_nur_nurgle	forename	b	1
1041741800	names_vmp_vampire_counts	family_name	b	1
1041831958	names_cth_cathay	forename	m	1
1042385778	names_ksl_kislev	forename	m	1
1042552047	names_lzd_lizardmen	forename	b	1
1043050343	names_skv_skaven	forename	m	1
1043335079	names_def_dark_elves	forename	m	1
1044088297	names_ogr_ogre_kingdom	forename	m	1
1044214998	names_hef_high_elves	forename	f	1
1044606327	names_sla_slaanesh	forename	b	1
1044696589	names_sla_slaanesh	family_name	b	1
1044876956	names_kho_khorne	forename	b	1
1044995477	names_hef_high_elves	forename	f	1
1045238283	names_vmp_vampire_counts	forename	f	1
1045577042	names_def_dark_elves	family_name	b	0
1046370305	names_ogr_ogre_kingdom	clan_name	b	0
1046493299	names_emp_empire	family_name	b	1
104668218	names_kho_khorne	forename	b	1
104777644	names_nur_nurgle	family_name	b	1
1047924203	names_lzd_lizardmen	forename	b	1
1047966045	names_cth_cathay	family_name	b	1
1048413402	names_cst_vampire_coast	family_name	b	1
1048634847	names_nur_nurgle	forename	b	1
1049080150	names_ksl_kislev_pro	forename	m	1
1049452014	names_nor_norsca	family_name	m	1
1050464679	names_cth_cathay	family_name	b	1
1050537203	names_brt_bretonnia	forename	m	1
1050658588	names_tze_tzeentch	forename	b	1
105284769	names_grn_greenskins	forename	f	1
1053168049	names_cst_vampire_coast	family_name	m	0
1053468021	names_ksl_kislev	forename	f	1
1053838354	names_vmp_vampire_counts	forename	f	1
105567548	names_brt_bretonnia	forename	f	1
1057000402	names_brt_bretonnia	forename	f	1
1058399806	names_nur_nurgle	forename	b	1
1058692048	names_def_dark_elves	forename	f	1
1058716119	names_ksl_kislev_pro	forename	f	1
1059779049	names_lzd_lizardmen	forename	b	1
1059931174	names_sla_slaanesh	family_name	b	1
1060018528	names_ogr_ogre_kingdom	forename	m	1
1060172250	names_nor_norsca	forename	m	1
1060318561	names_lzd_lizardmen	forename	m	0
1061388652	names_ogr_ogre_kingdom	forename	m	1
1061636038	names_hef_high_elves	forename	f	1
1061845961	names_ksl_kislev	forename	m	0
1062390673	names_lzd_lizardmen	forename	b	1
1063475665	names_hef_high_elves	forename	m	1
1064315877	names_sla_slaanesh	family_name	b	1
