id	steamid	description	release_order
#pdlc_tables;3;db/pdlc_tables/data__			
TW_WH1_BEASTMEN	404012	Call of the Beastmen	-1
TW_WH1_BRETONNIA_FREE	534330	Bretonnia	-1
TW_WH1_CHAOS	404010	Chaos Warriors	-1
TW_WH1_GREY_WIZARD_FREE	551821	Grey Wizard	-1
TW_WH1_GROMBRINDAL	506190	Grombrindal	-1
TW_WH1_ISABELLA_FREE	455041	Isabella von Carstein	-1
TW_WH1_JADE_WIZARD_FREE	551820	Jade Wizard	-1
TW_WH1_KRELL_FREE	455042	Krell	-1
TW_WH1_LORDS_AND_UNITS_1	404013	The Grim & The Grave	-1
TW_WH1_LORDS_AND_UNITS_2	404014	The King & The Warlord	-1
TW_WH1_LORDS_AND_UNITS_2_FREE	404015	Wurrzag	-1
TW_WH1_NORSCA	455040	Norsca	20
TW_WH1_REGIMENTS_OF_RENOWN_FREE	635350	Regiments of Renown	21
TW_WH1_WOOD_ELVES	534331	Realm of the Wood Elves	-1
TW_WH2_BONE_GIANT_FREE	794111	Bone Giant	-1
TW_WH2_DLC10_QUEEN_CRONE	779880	The Queen & The Crone	19
TW_WH2_DLC10_QUEEN_CRONE_FREE	794110	Alith Anar	18
TW_WH2_DLC11_LOKHIR_FREE	835671	Lokhir Fellheart	23
TW_WH2_DLC11_VAMPIRE_COAST	835670	Vampire Coast	24
TW_WH2_DLC12_PROPHET	965220	The Prophet & The Warlock	26
TW_WH2_DLC12_TIKTAQTO_FREE	1003160	Tiktaq'to	25
TW_WH2_GRAND_CAMPAIGN	617810	Mortal Empires	1
TW_WH2_TOMB_KINGS	617870	Tomb Kings	16
TW_WH2_TRETCH_FREE	735420	Tretch Craventail	15
TW_WH_BLOODPACK	594591	Blood for the Blood God II	-1
