component	set	effects
#plague_component_setups_tables;0;db/plague_component_setups_tables/data__		
wh3_dlc25_nur_battle_1	festus	wh3_dlc25_nur_battle_1
wh3_dlc25_nur_battle_1	nurgle_new	wh3_dlc25_nur_battle_1
wh3_dlc25_nur_battle_2	festus	wh3_dlc25_nur_battle_2
wh3_dlc25_nur_battle_2	nurgle_new	wh3_dlc25_nur_battle_2
wh3_dlc25_nur_battle_3	festus	wh3_dlc25_nur_battle_3
wh3_dlc25_nur_battle_3	nurgle_new	wh3_dlc25_nur_battle_3
wh3_dlc25_nur_battle_4	festus	wh3_dlc25_nur_battle_4
wh3_dlc25_nur_battle_4	nurgle_new	wh3_dlc25_nur_battle_4
wh3_dlc25_nur_battle_5	festus	wh3_dlc25_nur_battle_5
wh3_dlc25_nur_battle_5	nurgle_new	wh3_dlc25_nur_battle_5
wh3_dlc25_nur_battle_6	festus	wh3_dlc25_nur_battle_6
wh3_dlc25_nur_battle_6	nurgle_new	wh3_dlc25_nur_battle_6
wh3_dlc25_nur_battle_7	festus	wh3_dlc25_nur_battle_7
wh3_dlc25_nur_battle_7	nurgle_new	wh3_dlc25_nur_battle_7
wh3_dlc25_nur_force_1	festus	wh3_dlc25_nur_force_1
wh3_dlc25_nur_force_1	nurgle_new	wh3_dlc25_nur_force_1
wh3_dlc25_nur_force_2	festus	wh3_dlc25_nur_force_2
wh3_dlc25_nur_force_2	nurgle_new	wh3_dlc25_nur_force_2
wh3_dlc25_nur_force_3	festus	wh3_dlc25_nur_force_3
wh3_dlc25_nur_force_3	nurgle_new	wh3_dlc25_nur_force_3
wh3_dlc25_nur_force_4	festus	wh3_dlc25_nur_force_4
wh3_dlc25_nur_force_4	nurgle_new	wh3_dlc25_nur_force_4
wh3_dlc25_nur_force_5_festus	festus	wh3_dlc25_nur_force_5_festus
wh3_dlc25_nur_force_5	nurgle_new	wh3_dlc25_nur_force_5
wh3_dlc25_nur_force_6	festus	wh3_dlc25_nur_force_6
wh3_dlc25_nur_force_6	nurgle_new	wh3_dlc25_nur_force_6
wh3_dlc25_nur_mutation_duration_0	festus	wh3_dlc25_nur_mutation_duration_0
wh3_dlc25_nur_mutation_duration_0	nurgle_new	wh3_dlc25_nur_mutation_duration_0
wh3_dlc25_nur_mutation_duration_1	festus	wh3_dlc25_nur_mutation_duration_1
wh3_dlc25_nur_mutation_duration_1	nurgle_new	wh3_dlc25_nur_mutation_duration_1
wh3_dlc25_nur_mutation_duration_2	festus	wh3_dlc25_nur_mutation_duration_2
wh3_dlc25_nur_mutation_duration_2	nurgle_new	wh3_dlc25_nur_mutation_duration_2
wh3_dlc25_nur_mutation_duration_3	festus	wh3_dlc25_nur_mutation_duration_3
wh3_dlc25_nur_mutation_duration_3	nurgle_new	wh3_dlc25_nur_mutation_duration_3
wh3_dlc25_nur_mutation_immunity_0	festus	wh3_dlc25_nur_mutation_immunity_0
wh3_dlc25_nur_mutation_immunity_0	nurgle_new	wh3_dlc25_nur_mutation_immunity_0
wh3_dlc25_nur_mutation_immunity_1	festus	wh3_dlc25_nur_mutation_immunity_1
wh3_dlc25_nur_mutation_immunity_1	nurgle_new	wh3_dlc25_nur_mutation_immunity_1
wh3_dlc25_nur_mutation_immunity_2	festus	wh3_dlc25_nur_mutation_immunity_2
wh3_dlc25_nur_mutation_immunity_2	nurgle_new	wh3_dlc25_nur_mutation_immunity_2
wh3_dlc25_nur_mutation_immunity_3	festus	wh3_dlc25_nur_mutation_immunity_3
wh3_dlc25_nur_mutation_immunity_3	nurgle_new	wh3_dlc25_nur_mutation_immunity_3
wh3_dlc25_nur_mutation_spread_0	festus	wh3_dlc25_nur_mutation_spread_0
wh3_dlc25_nur_mutation_spread_0	nurgle_new	wh3_dlc25_nur_mutation_spread_0
wh3_dlc25_nur_mutation_spread_1	festus	wh3_dlc25_nur_mutation_spread_1
wh3_dlc25_nur_mutation_spread_1	nurgle_new	wh3_dlc25_nur_mutation_spread_1
wh3_dlc25_nur_mutation_spread_2	festus	wh3_dlc25_nur_mutation_spread_2
wh3_dlc25_nur_mutation_spread_2	nurgle_new	wh3_dlc25_nur_mutation_spread_2
wh3_dlc25_nur_mutation_spread_3	festus	wh3_dlc25_nur_mutation_spread_3
wh3_dlc25_nur_mutation_spread_3	nurgle_new	wh3_dlc25_nur_mutation_spread_3
wh3_dlc25_nur_settlement_1	festus	wh3_dlc25_nur_settlement_1
wh3_dlc25_nur_settlement_1	nurgle_new	wh3_dlc25_nur_settlement_1
wh3_dlc25_nur_settlement_2	festus	wh3_dlc25_nur_settlement_2
wh3_dlc25_nur_settlement_2	nurgle_new	wh3_dlc25_nur_settlement_2
wh3_dlc25_nur_settlement_3_festus	festus	wh3_dlc25_nur_settlement_3_festus
wh3_dlc25_nur_settlement_3	nurgle_new	wh3_dlc25_nur_settlement_3
wh3_dlc25_nur_settlement_4	festus	wh3_dlc25_nur_settlement_4
wh3_dlc25_nur_settlement_4	nurgle_new	wh3_dlc25_nur_settlement_4
wh3_dlc25_nur_settlement_5	festus	wh3_dlc25_nur_settlement_5
wh3_dlc25_nur_settlement_5	nurgle_new	wh3_dlc25_nur_settlement_5
wh3_nur_plague_component_10	nurgle_test	wh3_nur_plague_component_6
wh3_nur_plague_component_11	nurgle_test	wh3_nur_plague_component_12
wh3_nur_plague_component_12	nurgle_test	wh3_nur_plague_component_13
wh3_nur_plague_component_13	nurgle_test	wh3_nur_plague_component_15
wh3_nur_plague_component_14	nurgle_test	wh3_nur_plague_component_14
wh3_nur_plague_component_15	nurgle_test	wh3_nur_plague_component_11
wh3_nur_plague_component_16	nurgle_test	wh3_nur_plague_component_16
wh3_nur_plague_component_17	nurgle_test	wh3_nur_plague_component_17
wh3_nur_plague_component_18	nurgle_test	wh3_nur_plague_component_18
wh3_nur_plague_component_19	nurgle_test	wh3_nur_plague_component_19
wh3_nur_plague_component_1	nurgle_test	wh3_nur_plague_component_2
wh3_nur_plague_component_20	nurgle_test	wh3_nur_plague_component_20
