key	infection_duration	spread_count_max	force_to_force_battle_infection_chance	force_to_force_infection_chance	force_to_region_infection_chance	region_to_force_infection_chance	region_to_region_infection_chance
#plague_parameters_tables;0;db/plague_parameters_tables/data__							
ague_base_parameters	2	4	100	20	20	20	20
beastmen_parameters	3	4	50	25	10	25	20
buboes_base_parameters	3	4	100	20	20	20	20
component_default_parameters	0	0	0	0	0	0	0
component_duration_parameters	4	0	0	0	0	0	0
component_force_spread_parameters	0	0	100	30	0	30	0
component_settlement_spread_parameters	0	0	0	0	30	0	30
component_spread_count_parameters	0	4	0	0	0	0	0
daemon_prince_parameters	5	100	50	25	0	0	0
pox_base_parameters	3	4	100	20	20	20	20
rot_base_parameters	3	4	100	20	20	20	20
shakes_base_parameters	3	4	100	20	20	20	20
skaven_parameters	5	25	50	25	10	25	20
wh3_nur_plague_component_16	0	0	20	20	20	20	20
wh3_nur_plague_component_17	3	0	0	0	0	0	0
wh3_nur_plague_component_20	0	4	0	0	0	0	0
wh3_nur_plague_component_7	0	0	5	5	5	5	5
wh3_nur_plague_component_recipe_1	5	0	15	15	15	15	15
wh3_nur_plague_component_recipe_2	5	0	15	15	15	15	15
wh3_nur_plague_component_recipe_3	5	0	15	15	15	15	15
wh3_nur_plague_component_recipe_4	5	0	15	15	15	15	15
wh3_nur_plague_component_recipe_5	5	0	15	15	15	15	15
