pooled_resource	region
#pooled_resource_to_region_junctions_tables;0;db/pooled_resource_to_region_junctions_tables/data__	
wef_worldroots_athel_loren	wh3_main_combi_region_the_oak_of_ages
wef_worldroots_emerald_pools	wh3_main_combi_region_the_sacred_pools
wef_worldroots_gaean_vale	wh3_main_combi_region_gaean_vale
wef_worldroots_gryphon_wood	wh3_main_combi_region_gryphon_wood
wef_worldroots_heart_of_the_jungle	wh3_main_combi_region_oreons_camp
wef_worldroots_jungles_of_chian	wh3_main_combi_region_jungles_of_chian
wef_worldroots_laurelorn	wh3_main_combi_region_laurelorn_forest
wef_worldroots_naggarond_glade	wh3_main_combi_region_the_witchwood
wef_worldroots_the_haunted_forest	wh3_main_combi_region_the_haunted_forest
wef_worldroots_vale_of_webs	wh3_main_combi_region_forest_of_gloom
