payload	unit_record	capacity
#ritual_payload_change_unit_capacities_tables;0;db/ritual_payload_change_unit_capacities_tables/data__		
wh2_dlc17_bst_ritual_unit_cap_bestigor_herd	wh_dlc03_bst_inf_bestigor_herd_0	1
wh2_dlc17_bst_ritual_unit_cap_centigors_all	wh3_dlc24_bst_inf_centigors_great_weapons_mtze	1
wh2_dlc17_bst_ritual_unit_cap_centigors_all	wh_dlc03_bst_inf_centigors_0	1
wh2_dlc17_bst_ritual_unit_cap_centigors_all	wh_dlc03_bst_inf_centigors_1	1
wh2_dlc17_bst_ritual_unit_cap_centigors_all	wh_dlc03_bst_inf_centigors_2	1
wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants	wh_dlc03_bst_mon_chaos_spawn_0	1
wh2_dlc17_bst_ritual_unit_cap_chaos_spawn_giants	wh_dlc03_bst_mon_giant_0	1
wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd	wh_dlc03_bst_inf_chaos_warhounds_1	2
wh2_dlc17_bst_ritual_unit_cap_chaos_warhounds_poison_razorgor_herd	wh_dlc03_bst_inf_razorgor_herd_0	2
wh2_dlc17_bst_ritual_unit_cap_cygor	wh_dlc03_bst_inf_cygor_0	1
wh2_dlc17_bst_ritual_unit_cap_ghorgon	wh2_dlc17_bst_mon_ghorgon_0	1
wh2_dlc17_bst_ritual_unit_cap_gor_herd_all	wh_dlc03_bst_inf_gor_herd_0	2
wh2_dlc17_bst_ritual_unit_cap_gor_herd_all	wh_dlc03_bst_inf_gor_herd_1	2
wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore	wh_dlc03_bst_feral_manticore	1
wh2_dlc17_bst_ritual_unit_cap_harpies_feral_manticore	wh_dlc05_bst_mon_harpies_0	1
wh2_dlc17_bst_ritual_unit_cap_jabberslythe	wh2_dlc17_bst_mon_jabberslythe_0	1
wh2_dlc17_bst_ritual_unit_cap_jabberslythe	wh3_dlc24_bst_mon_cockatrice	1
wh2_dlc17_bst_ritual_unit_cap_minotaurs_great_weapons	wh_dlc03_bst_inf_minotaurs_1	1
wh2_dlc17_bst_ritual_unit_cap_minotaurs_shield	wh_dlc03_bst_inf_minotaurs_2	1
wh2_dlc17_bst_ritual_unit_cap_minotaurs	wh_dlc03_bst_inf_minotaurs_0	1
wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariots	wh2_dlc17_bst_cav_tuskgor_chariot_0	1
wh2_dlc17_bst_ritual_unit_cap_tuskgor_chariots_razorgor_chariots	wh_dlc03_bst_cav_razorgor_chariot_0	1
wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd	wh_dlc03_bst_inf_ungor_herd_1	2
wh2_dlc17_bst_ritual_unit_cap_ungor_herd_spearmen_herd	wh_dlc03_bst_inf_ungor_spearmen_1	2
wh2_dlc17_dwf_ritual_thorek_artifact_1	wh2_dlc17_dwf_mon_carnosaur_thorek_0	1
wh3_dlc24_bst_ritual_unit_cap_incarnate_elemental_beasts	wh3_dlc24_bst_mon_incarnate_elemental_of_beasts	1
wh3_dlc24_bst_ritual_unit_cap_tzaangors	wh3_dlc24_bst_inf_tzaangors	1
wh3_dlc25_bst_ritual_unit_cap_pestigors	wh3_dlc25_bst_inf_pestigors	1
wh3_dlc26_bst_ritual_unit_cap_khorngors	wh3_dlc26_bst_inf_khorngors	1
