payload	max_turns_duration	strength	region	type
#ritual_payload_spawn_storms_tables;1;db/ritual_payload_spawn_storms_tables/data__				
wh2_dlc09_ritual_tmb_khsar	5	1		land_storm
wh2_dlc11_ritual_cst_sea_mist	5	1		cst_fog_storm
wh3_main_ritual_ksl_winter_dazh	10	1		ksl_winter
wh3_main_ritual_ksl_winter_dazh_upgraded	10	1		ksl_winter
wh3_main_ritual_ksl_winter_salyak	10	1		ksl_winter
wh3_main_ritual_ksl_winter_salyak_upgraded	10	1		ksl_winter
wh3_main_ritual_ksl_winter_tor	10	1		ksl_winter
wh3_main_ritual_ksl_winter_tor_upgraded	10	1		ksl_winter
wh3_main_ritual_ksl_winter_ursun	10	1		ksl_winter
wh3_main_ritual_ksl_winter_ursun_province	5	1		ksl_winter
wh3_main_ritual_ksl_winter_ursun_upgraded	10	1		ksl_winter
