order	chain	ritual
#rituals_to_ritual_chains_tables;2;db/rituals_to_ritual_chains_tables/data__		
0	wh2_dlc11_ritual_bloodlines_blood_dragon	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01
1	wh2_dlc11_ritual_bloodlines_blood_dragon	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02
2	wh2_dlc11_ritual_bloodlines_blood_dragon	wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03
0	wh2_dlc11_ritual_bloodlines_lahmian	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01
1	wh2_dlc11_ritual_bloodlines_lahmian	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02
2	wh2_dlc11_ritual_bloodlines_lahmian	wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03
0	wh2_dlc11_ritual_bloodlines_necrarch	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01
1	wh2_dlc11_ritual_bloodlines_necrarch	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02
2	wh2_dlc11_ritual_bloodlines_necrarch	wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03
0	wh2_dlc11_ritual_bloodlines_strigoi	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01
1	wh2_dlc11_ritual_bloodlines_strigoi	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02
2	wh2_dlc11_ritual_bloodlines_strigoi	wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03
0	wh2_dlc11_ritual_bloodlines_von_carstein	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01
1	wh2_dlc11_ritual_bloodlines_von_carstein	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_02
2	wh2_dlc11_ritual_bloodlines_von_carstein	wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_03
0	wh2_dlc14_ritual_mortal_empires_eshin	wh2_dlc14_eshin_actions_mortal_empires_mission_1
1	wh2_dlc14_ritual_mortal_empires_eshin	wh2_dlc14_eshin_actions_mortal_empires_mission_2
2	wh2_dlc14_ritual_mortal_empires_eshin	wh2_dlc14_eshin_actions_mortal_empires_mission_3
3	wh2_dlc14_ritual_mortal_empires_eshin	wh2_dlc14_eshin_actions_mortal_empires_mission_4
0	wh2_dlc15_athel_tamarha_influence	wh2_dlc15_athel_tamarha_influence_1
1	wh2_dlc15_athel_tamarha_influence	wh2_dlc15_athel_tamarha_influence_2
2	wh2_dlc15_athel_tamarha_influence	wh2_dlc15_athel_tamarha_influence_3
0	wh2_dlc15_athel_tamarha_interrogation	wh2_dlc15_athel_tamarha_interrogation_1
1	wh2_dlc15_athel_tamarha_interrogation	wh2_dlc15_athel_tamarha_interrogation_2
2	wh2_dlc15_athel_tamarha_interrogation	wh2_dlc15_athel_tamarha_interrogation_3
0	wh2_dlc15_athel_tamarha_melee_mistwalkers	wh2_dlc15_athel_tamarha_melee_mistwalkers_1
1	wh2_dlc15_athel_tamarha_melee_mistwalkers	wh2_dlc15_athel_tamarha_melee_mistwalkers_2
