key	composite_scene	type
#slot_sets_tables;0;db/slot_sets_tables/data__		
wh2_dlc11_slot_set_pirate_cove	pirate_cove	PIRATE_COVE
wh2_dlc12_slot_set_underempire	under_empire_settlement	UNDEREMPIRE
wh2_dlc12_slot_set_underempire_unique	under_empire_settlement	UNDEREMPIRE
wh2_dlc17_slot_set_silent_sanctum	silent_sanctum	SILENT_SANCTUM
wh3_dlc24_slot_set_tze_changeling		HIDDEN_CULT
wh3_dlc24_slot_set_tze_changeling_startpos		HIDDEN_CULT
wh3_main_slot_set_allied_building		ALLIED
wh3_main_slot_set_kho_cult		CULT
wh3_main_slot_set_nur_cult		CULT
wh3_main_slot_set_sla_cult		CULT
wh3_main_slot_set_tze_cult		CULT
