character_trait	technology_node
#technology_character_traits_junctions_tables;0;db/technology_character_traits_junctions_tables/data__	
wh2_main_trait_innate_dummy_oglok	grn_tech_node_16
wh2_main_trait_innate_dummy_raknik	grn_tech_node_7
wh2_dlc09_dummy_trait_dynasty_1	wh2_dlc09_tech_tmb_tomb_king_1
wh2_dlc09_dummy_trait_dynasty_2	wh2_dlc09_tech_tmb_tomb_king_2
wh2_dlc09_dummy_trait_dynasty_3	wh2_dlc09_tech_tmb_tomb_king_3
wh2_dlc09_dummy_trait_dynasty_4	wh2_dlc09_tech_tmb_tomb_king_4
wh2_dlc09_dummy_trait_dynasty_5	wh2_dlc09_tech_tmb_tomb_king_5
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_tech_tmb_tomb_king_6
wh2_dlc11_admiral_01_trait	wh2_dlc11_tech_cst_admirals_01
wh2_dlc11_admiral_02_trait	wh2_dlc11_tech_cst_admirals_02
wh2_dlc11_admiral_03_trait	wh2_dlc11_tech_cst_admirals_03
wh2_dlc11_admiral_04_trait	wh2_dlc11_tech_cst_admirals_04
wh3_trait_dlc29_handmaiden_upgrade_1	wh3_dlc29_tech_nef_covens_2a
wh3_trait_dlc29_handmaiden_upgrade_2	wh3_dlc29_tech_nef_covens_2c
wh3_trait_dlc29_handmaiden_upgrade_3	wh3_dlc29_tech_nef_covens_2d
wh3_trait_dlc29_lycindia_1	wh3_dlc29_tech_nef_handmaidens_2a
wh3_trait_dlc29_giselle_1	wh3_dlc29_tech_nef_handmaidens_2b
wh3_trait_dlc29_heterneb_1	wh3_dlc29_tech_nef_handmaidens_2c
wh3_trait_dlc29_bellatash_1	wh3_dlc29_tech_nef_handmaidens_2d
wh3_trait_dlc29_naaima_1	wh3_dlc29_tech_nef_handmaidens_2e
wh3_trait_dlc29_lycindia_2	wh3_dlc29_tech_nef_handmaidens_3a
wh3_trait_dlc29_giselle_2	wh3_dlc29_tech_nef_handmaidens_3b
wh3_trait_dlc29_heterneb_2	wh3_dlc29_tech_nef_handmaidens_3c
wh3_trait_dlc29_bellatash_2	wh3_dlc29_tech_nef_handmaidens_3d
wh3_trait_dlc29_naaima_2	wh3_dlc29_tech_nef_handmaidens_3e
wh3_trait_dlc29_imentet_1	wh3_dlc29_tech_nef_imentet_1
wh3_trait_dlc29_imentet_2	wh3_dlc29_tech_nef_imentet_2
wh3_dlc29_vmp_ulrika	wh3_dlc29_tech_nef_ulrika
wh3_dlc29_vmp_dieter_helsnicht	wh3_main_tech_vmp_necromancers_dieter_helnisnicht_1
wh3_dlc29_vmp_walach_harkon	wh3_main_tech_vmp_vampires_main_6_a
wh3_dlc29_vmp_red_duke	wh3_main_tech_vmp_vampires_main_6_b
