key	unit	unit_set
#ui_effect_excluded_units_and_sets_tables;0;db/ui_effect_excluded_units_and_sets_tables/data__		
1015400725		tmb_settra_on_chariot
1018666384		dlc16_all_units_rank2
1024045349	wh3_dlc25_chs_cha_chaos_lord_mnur_chaos_steed	
1038003432		
1040232530	wh2_twa02_wef_cha_glade_captain_2	
1045585746		lzd_dread_saurians_rank7_ror
104812434	wh_main_grn_cha_orc_warboss_2	
1048289670		dlc16_all_units_rank4
1051723419		
1083038855		
1090134879		dlc14_all_units_excluding_characters
1095657968		skv_all
1103015974	wh3_main_nur_cha_cultist_1	
1106280544		wh3_main_tze_mon_lord_of_change_0
1120319367		
1124598788	wh2_dlc13_emp_inf_greatswords_imperial_supply	
1147961724	wh3_dlc25_emp_cha_elspeth_von_draken_warhorse	
1150773809	wh3_dlc20_chs_cha_exalted_hero_mnur_chaos_chariot	
1154712311		tmb_skeleton_warrior_spearmen
1159840685		tze_iridescent_horrors
1164792391		thorek_mounted
1186360982	wh3_dlc25_chs_cha_chaos_sorcerer_nurgle_mnur_warshrine	
1189176252		all_units
1201985876		
1209959407		dlc16_all_units_rank5
1211149613		all_units_excluding_immune_to_psychology
1212090303		wh3_main_tze_all
1212419905		
1218094926	wh3_dlc25_nur_cha_tamurkhan_bubebolos	
1219081693	wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	
1229899176	wh3_dlc25_chs_cha_chaos_lord_mnur_rot_beast	
1236239010	wh_main_dwf_veh_gyrobomber_malakai	
1240367631		dlc16_all_units_rank6
1248917422		wh3_dlc24_cth_dragons_human_form
1273245760		wh3_main_tmb_cha_liche_priests
1275019054	wh_dlc05_emp_cha_wizard_life_1	
1275738809		dlc16_all_units_rank2
1280736264	wh_main_grn_cha_orc_warboss_1	
1287983236		tze_exalted_lords_of_change_kairos
1296445555	wh3_dlc25_chs_cha_chaos_sorcerer_lord_nurgle_mnur_rot_beast	
1296880500		vmp_all
1297101188		ksl_by_our_blood
1302365107	wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	
1303523974		
1305191129	wh_dlc05_emp_cha_wizard_life_2	
1312613480	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed	
1320273794		wef_dlc05_wood_elf_elf_units
1323094857		
1324470842	wh3_dlc25_nur_cha_exalted_hero_chieftain_chaos_dragon	
1329125127		dlc16_all_units_rank4
1329724817		bst_primal_fury_units
1330928231	wh3_dlc25_nur_cha_exalted_hero_chieftain	
1336082444		wh3_dlc20_sla_daemons
1339625600	wh_main_dwf_art_organ_gun_malakai	
1343746237	wh_dlc05_wef_cha_glade_lord_2	
134600002	wh2_dlc13_emp_cav_reiksguard_imperial_supply	
1348871366		dlc16_all_units_rank5
135566206	wh_main_grn_cha_orc_shaman_1	
1358305032	wh_main_dwf_art_cannon_malakai	
1363470313		
1364691957	wh3_dlc25_chs_cha_chaos_sorcerer_death_mnur_rot_beast	
1369154368		wh3_dlc24_all_characters_except_changeling
1379474054	wh2_pro09_grn_cha_black_orc_big_boss_1	
1383527489		
1385561549	wh3_dlc25_dwf_inf_miners_1_summoned	
1386464660		nor_all
1386469616		dwarf_all_units_exclude_slayers
1386545831	wh_dlc03_emp_cha_wizard_beasts_3	
1387497745		
139080485		hef_casters
1408757392		dlc16_all_units_rank8
1410098090		dlc16_all_units_rank2
1410655887	wh_dlc05_wef_cha_female_glade_lord_0_qb	
1437126280	wh3_dlc25_nur_cha_kayzk_the_befouled	
1441578274		hef_all
1448149671	wh3_dlc23_chd_cha_gorduz_backstabber_giant_wolf	
1455720454	wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	
1485206843	wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	
1506783352	wh3_dlc25_chs_cha_chaos_sorcerer_nurgle_mnur_rot_beast	
1507132436	wh_dlc05_wef_cha_female_glade_lord_3	
1512569054		
15233669		dlc14_all_units_rank7
1527711643		
1539152050	wh3_dlc26_grn_cha_gorbad_ironclaw_gnarla	
1540271019	wh2_twa01_grn_cha_goblin_great_shaman_3	
154280325	wh2_dlc16_skv_mon_hell_pit_abomination_flesh_lab	
1542956114		brt_all
1544641935	wh3_dlc25_chs_cha_chaos_sorcerer_death_mnur_warshrine	
1546749576		
1557613747		dlc16_all_units_rank7
155778805	wh3_dlc25_nur_cha_exalted_hero_chieftain_chaos_chariot	
1581274852	wh_main_grn_cha_goblin_big_boss_1	
1588814518	wh3_main_nur_cha_cultist_1	
1595158316	wh_main_emp_cha_wizard_heavens_2	
1600120951		
1619100504	wh_dlc03_emp_cha_wizard_beasts_2	
162441627		wh3_main_nur_all
1631160874		cth_melee_ogr
1664577055	wh3_dlc25_emp_cha_master_engineer_steam_tank	
166513123	wh3_dlc26_grn_cha_savage_orc_great_shaman_boar	
1666273202		all_ogr
1671201215		
1690318150	wh3_dlc26_grn_cha_savage_orc_great_shaman_wyvern	
1696036092		wh3_dlc20_tze_daemons
1698522210		
1717355641	wh_dlc05_wef_cha_glade_lord_3	
1720961670		bst_all
1721184902	wh_main_dwf_veh_gyrocopter_0_malakai	
1751582653		just_the_changeling
1752566936	wh3_dlc25_nur_cha_tamurkhan_bubebolos	
1763575967		
1765223702	wh_main_emp_cha_wizard_fire_1	
1770010994	wh2_dlc16_wef_cha_glade_lord_4	
1783982305	wh2_pro07_emp_cha_wizard_death_2	
1794535238	wh3_dlc25_chs_cha_chaos_lord_mnur_chaos_chariot	
1801836862	wh_pro02_vmp_cha_isabella_von_carstein_0	
1807518106		
1809687620		dlc16_all_units_rank1
1813174831	wh3_main_nur_mon_spawn_of_nurgle_0_warriors	
1816468990		
1821645028	wh_main_grn_cha_azhag_the_slaughterer_1	
1825513655	wh3_dlc20_nur_cha_cultist_mnur_warshrine	
1825773815	wh2_dlc14_def_cha_malus_darkblade_0	
1834515115		all_units_rank_0_to_3
1838312831		wh3_main_sla_all
185125408		dlc16_all_units_rank7
1853811584	wh2_main_lzd_cav_horned_ones_0_nakai	
1854943386		wh3_main_kho_all
1861214508		tze_cultist
1862149840	wh2_dlc16_skv_inf_skavenslave_spearmen_0_flesh_lab	
1866008348		
187103998		
1873317265	wh3_dlc25_dwf_veh_thunderbarge_malakai	
1884680011	wh3_dlc25_dwf_art_goblin_hewer_malakai	
1886556314		wh2_main_lzd_blessed_units
1901489733	wh2_dlc14_def_cha_malus_darkblade_1	
1906211075	wh2_twa02_wef_cha_glade_captain_3	
1907831627	wh3_dlc25_emp_cha_engineer_warhorse	
190958635		lzd_mounted_characters
1911304834	wh3_dlc25_emp_cha_wizard_metal_warhorse	
1911796530	wh2_dlc16_skv_mon_wolf_rats_1_flesh_lab	
1917942619	wh3_dlc25_chs_cha_exalted_hero_mnur_rot_beast	
1924754434		undead_units
1930739326	wh_main_grn_cha_goblin_great_shaman_1	
1933769398		
1937358099	wh2_dlc13_emp_inf_huntsmen_0_imperial_supply	
1937418946	wh_main_grn_cha_goblin_big_boss_2	
194819367	wh_dlc05_wef_cha_glade_lord_1	
1951672903		lzd_all
1954338690		dlc16_all_units_rank4
1957262361	wh3_dlc25_nur_cha_bray_shaman_wild_chieftain_tuskgor_chariot	
1963781939	wh2_dlc13_emp_art_great_cannon_imperial_supply	
1975739273	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine	
1980659914		dlc16_all_units_rank1
1995451290	wh3_dlc20_nur_cha_cultist_mnur_warshrine	
1996334054	wh_dlc05_emp_cha_wizard_shadows_2	
2000050043		mp_cap_unit_tmb_mon_ushabti_1
