faction	ui_feature
#ui_features_to_factions_tables;0;db/ui_features_to_factions_tables/data__	
wh2_dlc15_grn_broken_axe	COOKING
wh2_dlc16_wef_drycha	CITY_INFO_BAR_MERCENARIES
wh2_dlc16_wef_sisters_of_twilight	FORGE_OF_DAITH
wh2_dlc17_bst_taurox	TAUROX_RAMPAGE
wh2_dlc17_dwf_thorek_ironbrow	ARTIFACT_VAULT
wh2_dlc17_lzd_oxyotl	SILENT_SANCTUM
wh2_dlc17_lzd_oxyotl	THREAT_MAP
wh2_main_hef_yvresse	ELTHARIONS_PRISON
wh2_main_skv_clan_eshin	SHADOWY_DEALINGS
wh2_main_skv_clan_moulder	FLESH_LAB
wh3_dlc20_chs_festus	NURGLE_PLAGUES
wh3_dlc20_chs_kholek	HAS_CENTERED_TECH_TREE
wh3_dlc20_chs_sigvald	HAS_CENTERED_TECH_TREE
wh3_main_chs_shadow_legion	HAS_CENTERED_TECH_TREE
wh3_main_cth_the_northern_provinces	CHAOS_REALMS
wh3_main_cth_the_western_provinces	CHAOS_REALMS
wh3_main_dae_daemon_prince	CHAOS_REALMS
wh3_main_emp_cult_of_sigmar	BOOKS_OF_NAGASH
wh3_main_kho_exiles_of_khorne	CHAOS_REALMS
wh3_main_ksl_the_great_orthodoxy	CHAOS_REALMS
wh3_main_ksl_the_ice_court	CHAOS_REALMS
wh3_main_ksl_ursun_revivalists	CHAOS_REALMS
wh3_main_nur_poxmakers_of_nurgle	CHAOS_REALMS
wh3_main_nur_poxmakers_of_nurgle	DISABLE_DEFAULT_RECRUITMENT
wh3_main_ogr_disciples_of_the_maw	CHAOS_REALMS
wh3_main_ogr_goldtooth	CHAOS_REALMS
wh3_main_sla_seducers_of_slaanesh	CHAOS_REALMS
wh3_main_tze_oracles_of_tzeentch	CHAOS_REALMS
wh3_main_tze_oracles_of_tzeentch	HAS_CENTERED_TECH_TREE
wh_main_chs_chaos	HAS_CENTERED_TECH_TREE
wh_main_vmp_vampire_counts	BOOKS_OF_NAGASH
