component	unique_agent	value
#unique_agent_component_junctions_tables;1;db/unique_agent_component_junctions_tables/data__		
INDIVIDUALLY_UNIQUE	wh2_dlc12_lzd_lord_kroak	0
INDIVIDUALLY_UNIQUE	wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	0
INDIVIDUALLY_UNIQUE	wh2_dlc13_emp_hunter_jorek_grimm	0
INDIVIDUALLY_UNIQUE	wh2_dlc13_emp_hunter_kalara_of_wydrioth	0
INDIVIDUALLY_UNIQUE	wh2_dlc13_emp_hunter_rodrik_l_anguille	0
INDIVIDUALLY_UNIQUE	wh2_dlc14_brt_henri_le_massif	0
INDIVIDUALLY_UNIQUE	wh2_dlc16_skv_ghoritch	0
INDIVIDUALLY_UNIQUE	wh2_dlc16_wef_ariel	0
INDIVIDUALLY_UNIQUE	wh2_dlc16_wef_coeddil	0
INDIVIDUALLY_UNIQUE	wh2_dlc17_dwf_thane_ghost_artifact	0
INDIVIDUALLY_UNIQUE	wh3_dlc23_chd_gorduz_backstabber	0
INDIVIDUALLY_UNIQUE	wh3_dlc23_neu_ulrika	0
INDIVIDUALLY_UNIQUE	wh3_main_ie_nor_burplesmirk_spewpit	0
INDIVIDUALLY_UNIQUE	wh3_main_ie_nor_killgore_slaymaim	0
INDIVIDUALLY_UNIQUE	wh3_main_pro_ksl_frost_maiden_ice	0
INDIVIDUALLY_UNIQUE	wh_dlc04_vmp_vlad_von_carstein_hero	0
INDIVIDUALLY_UNIQUE	wh_dlc07_brt_green_knight	0
LIMITED_LIFE_SPAN	wh_dlc07_brt_green_knight	25
POOLED_RESOURCE_CHARGES	wh_dlc07_brt_green_knight	0
SPAWN_COOLDOWN	wh_dlc07_brt_green_knight	5
INDIVIDUALLY_UNIQUE	wh_dlc08_nor_kihar	0
INDIVIDUALLY_UNIQUE	wh_pro02_vmp_isabella_von_carstein_hero	0
