fatigue_level	stat	value
#unit_fatigue_effects_tables;3;db/unit_fatigue_effects_tables/data__		
threshold_active	scalar_speed	1.0
threshold_active	stat_melee_attack	0.95000005
threshold_active	stat_reloading	1.0
threshold_exhausted	scalar_speed	0.85
threshold_exhausted	stat_armour	0.75
threshold_exhausted	stat_charge_bonus	0.7
threshold_exhausted	stat_melee_attack	0.7
threshold_exhausted	stat_melee_damage_ap	0.90000004
threshold_exhausted	stat_melee_defence	0.90000004
threshold_exhausted	stat_reloading	0.6
threshold_tired	scalar_speed	0.90000004
threshold_tired	stat_charge_bonus	0.90000004
threshold_tired	stat_melee_attack	0.85
threshold_tired	stat_melee_damage_ap	0.90000004
threshold_tired	stat_reloading	0.8
threshold_very_tired	scalar_speed	0.85
threshold_very_tired	stat_armour	0.90000004
threshold_very_tired	stat_charge_bonus	0.75
threshold_very_tired	stat_melee_attack	0.75
threshold_very_tired	stat_melee_damage_ap	0.90000004
threshold_very_tired	stat_reloading	0.7
threshold_winded	scalar_speed	0.95000005
threshold_winded	stat_melee_attack	0.95000005
threshold_winded	stat_melee_damage_ap	0.90000004
threshold_winded	stat_reloading	0.90000004
