xp_level	fatigue	mp_fixed_cost	mp_experience_cost_multiplier	additional_melee_cp	additional_missile_cp
#unit_stats_land_experience_bonuses_tables;2;db/unit_stats_land_experience_bonuses_tables/data__					
0	0	0	1.0000	0.0000	0.0000
1	0	11	1.0300	26.0000	26.0000
2	0	22	1.0600	51.0000	51.0000
3	-1	33	1.0900	77.0000	77.0000
4	-1	44	1.1200	102.0000	102.0000
5	-2	55	1.1500	128.0000	128.0000
6	-2	66	1.1800	154.0000	154.0000
7	-3	77	1.2100	179.0000	179.0000
8	-3	88	1.2400	205.0000	205.0000
9	-4	99	1.2700	230.0000	230.0000
