key	text	tooltip
#Loc;1;text/db/battle_set_piece_armies__.loc		
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	Skaven Mercenaries	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	Skaven Reinforcements	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	Skaven Reinforcements	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	Skaven Reinforcements	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	Arkhan the Black	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	Umat'adan's Cohort	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02	Lizardmen Reinforcements	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_03	Lizardmen Reinforcements	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	Tomb Kings	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_arkhan	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3	Pawns of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4	Pawns of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_1	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_2	Followers of Nagash	false
battle_set_piece_armies_army_onscreen_name_wh2_dlc09_qb_tmb_final_battle_fon_khalida_1	Lybaras	false
