key	text	tooltip
#Loc;1;text/db/building_flavour_texts__.loc		
building_flavour_texts_flavour_placeholder	placeholder	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_main_chain_1	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_main_chain_2	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_main_chain_3	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_main_chain_4	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_main_chain_5	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_herdstone_beastmen_special_chain_1	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_arcane_1	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_arcane_2	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_arcane_3	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_terror_1	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_terror_2	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh2_dlc17_horde_beastmen_army_buffs_terror_3	remove me, yes this table is supposed to be removed as it is not actually used anymore	false
building_flavour_texts_flavour_wh_dlc03_horde_beastmen_arcane_1	Bray-Shamans are born into magic and wield it with instinctive ease. A palpable miasma of dark sorcery surrounds them and when roused to anger, reality itself distorts. Trees writhe at their passing, insects scurry to their feet, and when the Bray -Shamans come to rest, the ground boils, rising up into a fell mound, clogged with tree roots and bones. These mounds are places of power where the Bray-Shamans recite litanies to the Gods. 	false
building_flavour_texts_flavour_wh_dlc03_horde_beastmen_arcane_2	Darkling councils are fortunately rare for when the most powerful Bray-Shamans gather together putting aside their own enmities then the nations of order should be wary. Here the darkling council gathers to offer darkling counsel to each other... but such a concentration of magic-users in the heart of the deepest forests is sure to lure out Cygors from their caves. In most cases, this is a deliberate act by the council, for a Cygor is a powerful weapon to send against mankind and its allies. 	false
