key	text	tooltip
#Loc;1;text/db/campaign_streak_effects__.loc		
campaign_streak_effects_onscreen_name_wh3_dlc20_valkia_win_streak_0	Bloodletting – Maiming\\n(0-1 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_dlc20_valkia_win_streak_1	Bloodletting – Mutilating\\n(2-4 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_dlc20_valkia_win_streak_2	Bloodletting – Murdering\\n(5-7 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_dlc20_valkia_win_streak_3	Bloodletting – Massacring\\n(8+ battle victories)	false
campaign_streak_effects_onscreen_name_wh3_dlc20_valkia_win_streak_negative	Bloodletting – Inactive	false
campaign_streak_effects_onscreen_name_wh3_main_khorne_win_streak_0	Bloodletting – Maiming\\n(0-1 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_main_khorne_win_streak_1	Bloodletting – Mutilating\\n(2-4 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_main_khorne_win_streak_2	Bloodletting – Murdering\\n(5-7 battle victories)	false
campaign_streak_effects_onscreen_name_wh3_main_khorne_win_streak_3	Bloodletting – Massacring\\n(8+ battle victories)	false
campaign_streak_effects_onscreen_name_wh3_main_khorne_win_streak_negative	Bloodletting – Inactive	false
